,ID,BRAND,SUB_DETAIL,AMOUNT,START_DATE,END_DATE,DURATION,REVENUE
105,001NOKZ662,RetroReel,paid monthly,29.99,2023-07-01,2023-12-31,184.0,149.95000000000002
107,001NUQI691,ChillStream,paid monthly,24.98,2023-07-01,2023-12-31,183.0,174.86
109,001OJEK601,ChillStream,paid monthly,25.0,2023-07-01,2023-12-31,184.0,125.0
111,001OZTH974,Pulse,paid monthly,8.0,2023-08-04,2023-12-31,149.0,40.0
112,001PIBK965,CineQuest,paid monthly,12.01,2023-07-01,2023-12-31,184.0,60.05000000000001
115,001PIBK965,LimeLight,discounted monthly,9.64,2023-07-10,2023-12-31,174.0,57.84
117,001PILU789,CineQuest,paid annual,60.01,2023-09-26,2023-11-05,40.0,180.01
118,001PKYB529,LimeLight,paid monthly,20.0,2023-07-01,2023-09-15,77.0,40.0
120,001QBUN395,CineQuest,paid monthly,12.02,2023-07-01,2023-10-19,110.0,204.20999999999998
122,001QSLT093,Pulse,paid annual,49.98,2023-07-01,2023-12-31,184.0,0.0
123,001RBOC950,LimeLight,paid monthly,19.99,2023-07-01,2023-11-15,138.0,79.96000000000004
126,001SIVU071,ChillStream,paid monthly,24.99,2023-09-12,2023-12-31,110.0,99.96
127,001SIVU071,LimeLight,paid monthly,20.01,2023-07-01,2023-12-31,184.0,120.06000000000003
129,001SIVU071,Pulse,paid annual,50.0,2023-07-01,2023-12-31,184.0,0.0
131,001SQXC187,CineQuest,paid monthly,11.99,2023-12-31,2023-12-31,0.0,0.0
134,001SXFZ276,ChillStream,paid monthly,25.01,2023-07-01,2023-09-24,85.0,149.99
135,001SXFZ276,ChillStream,paid monthly,25.01,2023-10-16,2023-12-31,76.0,75.03
138,001TTLN903,CineQuest,trial monthly,10.04,2023-07-01,2023-12-31,183.0,60.24
139,001TTLN903,LimeLight,paid monthly,20.01,2023-07-01,2023-08-27,57.0,40.02000000000001
141,001TTLN903,Pulse,paid monthly,8.0,2023-07-01,2023-12-31,183.0,48.0
143,001UAHA863,ChillStream,paid annual,99.99,2023-07-01,2023-12-31,184.0,0.0
145,001UAHA863,CineQuest,paid annual,60.01,2023-07-01,2023-12-31,183.0,0.0
147,001UAHA863,Pulse,paid monthly,8.02,2023-07-01,2023-07-18,17.0,48.06999999999999
148,001UAHA863,RetroReel,expired annual,120.02,2023-07-01,2023-11-27,149.0,0.0
149,001UDSL771,CineQuest,paid monthly,12.0,2023-07-01,2023-12-31,184.0,60.0
151,001UFAQ102,CineQuest,paid annual,59.98,2023-12-08,2023-12-31,23.0,59.98
152,001UNNH865,RetroReel,paid monthly,30.0,2023-10-23,2023-12-31,69.0,90.0
153,001UYQB422,LimeLight,paid annual,80.0,2023-07-01,2023-12-31,184.0,0.0
155,001VLBV485,CineQuest,paid monthly,12.0,2023-07-01,2023-12-31,184.0,72.0
157,001WKVX393,LimeLight,trial monthly,12.43,2023-07-01,2023-12-31,183.0,74.58
159,001WOTZ983,Pulse,paid monthly,7.99,2023-07-01,2023-12-31,184.0,39.949999999999996
160,001WZZE262,LimeLight,paid annual,80.0,2023-07-01,2023-12-31,184.0,0.0
161,001WZZE262,RetroReel,expired monthly,29.98,2023-07-01,2023-11-01,123.0,89.93999999999994
163,001XDRM026,LimeLight,paid monthly,20.0,2023-12-21,2023-12-31,10.0,20.0
165,001XPYF468,Pulse,paid annual,50.01,2023-07-01,2023-12-31,183.0,0.0
167,001YPUL192,ChillStream,paid annual,100.0,2023-07-01,2023-12-31,183.0,0.0
168,002ANIL633,Pulse,paid annual,50.02,2023-07-01,2023-08-30,61.0,0.0
169,002AOWO547,LimeLight,paid annual,79.99,2023-07-01,2023-12-31,183.0,0.0
170,002ARCP357,ChillStream,paid monthly,24.98,2023-11-20,2023-12-31,41.0,49.96
171,002BKVK889,ChillStream,paid monthly,25.0,2023-10-05,2023-12-31,87.0,75.0
172,002BKVK889,RetroReel,expired annual,119.98,2023-07-01,2023-07-15,14.0,0.0
174,002BZGD044,CineQuest,discounted monthly,10.26,2023-07-01,2023-12-31,183.0,61.559999999999995
177,002CNQR282,LimeLight,paid monthly,20.01,2023-07-01,2023-12-31,184.0,100.05000000000001
178,002CREJ862,Pulse,paid monthly,8.0,2023-07-01,2023-08-10,40.0,46.4
179,002CUYF788,LimeLight,paid monthly,20.0,2023-07-01,2023-12-31,184.0,100.0
181,002CXBG255,CineQuest,paid monthly,12.01,2023-07-01,2023-10-16,107.0,72.30999999999999
184,002EAAX725,CineQuest,paid monthly,12.01,2023-07-01,2023-12-31,183.0,72.06
185,002EXCW867,LimeLight,paid monthly,20.01,2023-07-01,2023-12-31,184.0,100.05000000000001
186,002EXCW867,RetroReel,paid monthly,29.99,2023-07-01,2023-12-13,166.0,119.96000000000001
188,002FCKO341,RetroReel,paid monthly,30.01,2023-07-20,2023-12-31,164.0,180.06
191,002FIHW100,CineQuest,paid monthly,12.0,2023-07-01,2023-12-31,184.0,60.0
192,002FIHW100,LimeLight,expired monthly,20.01,2023-07-01,2023-09-06,67.0,20.01000000000002
194,002FMLQ798,Pulse,paid monthly,8.01,2023-07-01,2023-10-24,115.0,119.93
195,002GOMV479,LimeLight,paid annual,80.0,2023-07-01,2023-12-31,184.0,0.0
197,002HTBP303,CineQuest,paid monthly,11.99,2023-07-01,2023-12-31,184.0,71.93999999999997
198,002IPLW094,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,184.0,150.0
199,002IWPX234,CineQuest,paid monthly,12.0,2023-07-01,2023-12-31,184.0,60.0
201,002JYSZ401,LimeLight,paid monthly,20.0,2023-07-01,2023-12-31,184.0,100.0
203,002KBTX257,ChillStream,paid monthly,25.02,2023-08-08,2023-12-31,145.0,125.1
205,002KDWJ981,ChillStream,paid monthly,25.02,2023-07-01,2023-12-31,183.0,150.11999999999998
207,002KGKA332,CineQuest,paid monthly,12.02,2023-07-01,2023-07-29,28.0,72.03
208,002KGKA332,CineQuest,paid monthly,11.99,2023-08-11,2023-12-31,142.0,156.01999999999998
210,002KIAG292,Pulse,discounted monthly,4.17,2023-07-01,2023-12-31,183.0,25.020000000000003
211,002KPEI614,LimeLight,paid monthly,20.0,2023-12-27,2023-12-31,4.0,20.0
212,002MCDO278,LimeLight,paid monthly,19.99,2023-07-01,2023-12-31,183.0,119.93999999999998
213,002MYOP233,RetroReel,paid monthly,29.99,2023-07-01,2023-12-31,184.0,149.95000000000002
215,002NKQR179,LimeLight,paid monthly,20.0,2023-07-01,2023-07-25,25.0,107.78999999999996
216,002NKQR179,LimeLight,discounted annual,41.16,2023-10-07,2023-12-31,85.0,41.16
221,002NLTJ592,Pulse,paid monthly,8.0,2023-07-01,2023-12-31,183.0,48.0
223,002NYZB724,CineQuest,paid monthly,11.99,2023-07-01,2023-12-31,184.0,59.94999999999999
225,002NYZB724,Pulse,paid annual,50.0,2023-09-23,2023-12-31,99.0,50.0
227,002OADV079,ChillStream,paid monthly,25.0,2023-07-01,2023-11-07,130.0,125.0
229,002ODJA245,Pulse,paid annual,50.0,2023-07-01,2023-12-31,183.0,0.0
231,002OFHC379,CineQuest,paid monthly,12.01,2023-07-01,2023-12-31,183.0,72.06
233,002OFHC379,Pulse,paid monthly,8.0,2023-07-01,2023-12-31,183.0,48.0
234,002OHHT519,Pulse,paid monthly,8.01,2023-07-01,2023-08-06,36.0,8.01
235,002OHHT519,Pulse,paid monthly,8.02,2023-12-28,2023-12-31,3.0,8.02
237,002PPXS156,LimeLight,paid monthly,20.01,2023-07-01,2023-09-15,77.0,100.00999999999999
238,002PXRI930,LimeLight,paid annual,80.0,2023-07-01,2023-12-31,184.0,0.0
240,002QROR117,LimeLight,paid annual,79.97,2023-11-25,2023-12-31,36.0,79.97
241,002QTOP811,LimeLight,paid monthly,20.0,2023-10-11,2023-12-31,81.0,60.0
243,002RFCE675,Pulse,paid monthly,7.99,2023-07-01,2023-12-31,184.0,39.95000000000001
245,002RIEU470,CineQuest,paid monthly,12.01,2023-08-10,2023-12-31,143.0,60.05
247,002RKAR661,ChillStream,paid monthly,24.99,2023-07-01,2023-09-08,69.0,174.92999999999998
248,002RKAR661,RetroReel,paid monthly,29.99,2023-07-01,2023-12-31,184.0,149.95000000000002
251,002RWXN391,CineQuest,paid monthly,12.01,2023-07-01,2023-10-02,93.0,192.03
252,002SOIZ089,ChillStream,paid annual,100.02,2023-07-01,2023-12-31,184.0,0.0
253,002SOIZ089,LimeLight,paid annual,80.02,2023-07-01,2023-07-30,30.0,0.0
254,002TRCU179,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,184.0,150.0
255,002UQOE027,RetroReel,paid monthly,30.01,2023-07-01,2023-12-19,172.0,185.59000000000006
256,002URLO240,CineQuest,paid annual,60.0,2023-07-01,2023-12-31,184.0,0.0
257,002UYEH047,Pulse,paid monthly,8.0,2023-10-15,2023-12-31,77.0,24.0
259,002VKQJ659,Pulse,paid monthly,7.99,2023-08-19,2023-12-31,134.0,39.95
261,002VXNA655,Pulse,paid monthly,8.01,2023-07-01,2023-12-31,183.0,48.06
262,002WGSA012,CineQuest,paid monthly,12.02,2023-07-01,2023-11-03,126.0,36.05999999999999
264,002WKIG010,Pulse,paid monthly,8.0,2023-07-01,2023-12-31,183.0,48.0
265,002XLWQ630,ChillStream,paid monthly,25.01,2023-07-01,2023-12-31,184.0,125.04999999999998
268,002ZPKN335,Pulse,paid annual,50.0,2023-10-02,2023-12-31,90.0,50.0
270,003AEKA966,LimeLight,paid annual,80.0,2023-07-01,2023-12-31,184.0,0.0
272,003AFDK971,CineQuest,paid monthly,11.98,2023-07-01,2023-12-31,183.0,71.88
274,003ANID263,LimeLight,paid monthly,19.99,2023-07-01,2023-12-31,184.0,99.94999999999999
276,003DAQK199,ChillStream,paid monthly,24.99,2023-07-01,2023-12-31,184.0,124.95000000000002
277,003FHPQ342,CineQuest,paid annual,60.0,2023-07-01,2023-07-25,25.0,0.0
279,003FIZU237,CineQuest,paid monthly,12.0,2023-07-01,2023-12-31,183.0,72.0
282,003FXVZ713,Pulse,paid monthly,8.02,2023-07-01,2023-11-12,135.0,98.33999999999999
284,003GPNN238,LimeLight,paid annual,79.99,2023-07-01,2023-12-31,183.0,0.0
286,003HHJL570,Pulse,paid annual,49.97,2023-08-08,2023-12-31,145.0,49.97
289,003HLEM814,CineQuest,paid monthly,12.01,2023-10-08,2023-12-31,84.0,36.03
291,003HOFE542,RetroReel,paid monthly,30.01,2023-10-26,2023-12-31,66.0,90.03
294,003IMVF953,RetroReel,paid monthly,29.99,2023-07-01,2023-12-31,183.0,209.93
295,003IPDP078,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,183.0,180.0
296,003ISHD993,ChillStream,paid monthly,25.0,2023-11-26,2023-12-31,35.0,50.0
298,003JAJC959,LimeLight,paid monthly,20.01,2023-09-16,2023-12-31,106.0,80.04
300,003JOSE263,CineQuest,paid monthly,12.0,2023-07-01,2023-12-31,183.0,72.0
302,003JXTS440,LimeLight,paid annual,80.0,2023-07-01,2023-12-31,184.0,0.0
303,003KGDD155,LimeLight,paid annual,79.98,2023-07-01,2023-12-31,184.0,0.0
304,003KHGQ561,ChillStream,paid monthly,25.01,2023-07-01,2023-12-31,184.0,125.04999999999998
306,003LTEX955,LimeLight,paid annual,79.99,2023-07-01,2023-12-31,184.0,0.0
308,003NBZB582,Pulse,discounted monthly,4.81,2023-07-01,2023-12-31,183.0,28.86
309,003NRLM550,LimeLight,paid monthly,20.0,2023-07-01,2023-12-31,184.0,100.0
311,003OLXB119,Pulse,trial monthly,7.07,2023-09-19,2023-12-31,103.0,28.28
313,003ONER290,CineQuest,paid monthly,12.0,2023-07-01,2023-12-31,184.0,60.0
315,003QYGK056,ChillStream,paid annual,100.01,2023-07-01,2023-12-31,184.0,0.0
318,003QZTI046,CineQuest,paid monthly,11.99,2023-07-01,2023-12-31,184.0,59.95000000000002
319,003SUPC452,RetroReel,paid monthly,29.98,2023-09-18,2023-12-31,104.0,119.92
320,003TCEP184,CineQuest,paid monthly,12.01,2023-07-01,2023-11-14,136.0,48.04
323,003TEQR186,LimeLight,expired monthly,20.0,2023-07-01,2023-07-23,22.0,-20.0
324,003TEQR186,LimeLight,discounted annual,29.12,2023-09-08,2023-12-31,114.0,29.12
326,003UKIB964,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,184.0,150.0
327,003UYFP763,RetroReel,paid annual,120.01,2023-07-01,2023-12-31,184.0,0.0
328,003VDDJ532,ChillStream,paid monthly,25.0,2023-07-01,2023-12-31,183.0,150.0
329,003WHEB120,CineQuest,paid monthly,12.01,2023-07-01,2023-11-19,141.0,60.04999999999998
330,003WNAG684,ChillStream,paid annual,100.0,2023-07-01,2023-07-08,8.0,0.0
331,003WSHV251,ChillStream,paid annual,100.02,2023-07-01,2023-12-31,183.0,0.0
332,003XKHS955,LimeLight,paid monthly,20.01,2023-07-01,2023-12-31,183.0,120.06
336,003XTUL243,CineQuest,paid monthly,12.01,2023-07-21,2023-12-31,163.0,72.06
337,003XTUL243,Pulse,paid annual,49.99,2023-07-01,2023-12-31,184.0,0.0
339,003YXVZ587,RetroReel,paid monthly,30.01,2023-07-01,2023-12-31,183.0,180.06000000000003
342,003YZJM392,LimeLight,discounted monthly,18.04,2023-07-11,2023-12-31,173.0,108.24
343,003YZJM392,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,184.0,150.0
344,003ZHRQ771,LimeLight,paid monthly,19.99,2023-08-30,2023-10-30,61.0,82.91
345,003ZHRQ771,LimeLight,paid monthly,20.0,2023-11-20,2023-12-31,41.0,40.0
346,003ZUGW210,RetroReel,paid monthly,30.0,2023-11-22,2023-12-31,39.0,60.0
347,003ZURQ459,ChillStream,paid annual,100.01,2023-07-01,2023-12-31,184.0,0.0
349,003ZZGJ163,ChillStream,discounted monthly,22.74,2023-07-01,2023-12-31,183.0,136.43999999999997
350,003ZZGJ163,Pulse,paid monthly,8.0,2023-07-01,2023-12-31,184.0,40.0
353,004AKNN688,ChillStream,trial monthly,7.98,2023-07-19,2023-12-31,165.0,47.88
355,004AMJN950,LimeLight,paid monthly,20.01,2023-07-09,2023-12-31,175.0,120.06
357,004AXNW235,CineQuest,paid annual,59.99,2023-07-01,2023-10-18,110.0,28.709999999999987
358,004AXNW235,CineQuest,paid annual,60.0,2023-12-14,2023-12-31,17.0,60.0
360,004BELU613,ChillStream,paid monthly,25.01,2023-11-11,2023-12-31,50.0,50.02
362,004BTTQ071,LimeLight,paid monthly,19.99,2023-07-01,2023-12-31,184.0,99.95000000000002
363,004DCYD190,RetroReel,paid annual,119.99,2023-10-16,2023-12-31,76.0,119.99
366,004EFKZ926,Pulse,paid annual,50.0,2023-07-01,2023-12-31,183.0,0.0
367,004EPOB480,RetroReel,paid annual,120.02,2023-07-01,2023-12-31,184.0,0.0
370,004ERWY396,CineQuest,paid monthly,12.0,2023-09-14,2023-12-31,108.0,48.0
373,004GBPK269,CineQuest,paid monthly,11.99,2023-07-01,2023-12-31,183.0,71.94
374,004GNEP305,LimeLight,paid annual,80.0,2023-07-01,2023-12-31,184.0,0.0
375,004GNHV340,ChillStream,paid annual,100.0,2023-07-01,2023-07-27,27.0,0.0
376,004ILUO342,LimeLight,paid annual,79.99,2023-07-01,2023-12-31,184.0,0.0
377,004JATO962,RetroReel,paid annual,119.99,2023-07-01,2023-12-31,183.0,0.0
379,004JKTR944,RetroReel,trial monthly,25.16,2023-07-01,2023-12-31,183.0,150.95999999999998
382,004JQHL248,RetroReel,paid annual,119.98,2023-07-01,2023-12-31,183.0,0.0
384,004JVWK677,LimeLight,paid monthly,19.99,2023-07-01,2023-12-31,184.0,99.95000000000002
387,004KQJC323,LimeLight,paid monthly,20.01,2023-07-01,2023-12-31,184.0,100.04999999999998
388,004KXZQ857,RetroReel,paid monthly,30.0,2023-07-01,2023-08-20,51.0,30.0
391,004LDOW280,Pulse,discounted monthly,4.7,2023-11-07,2023-12-31,54.0,9.4
392,004MHUO064,Pulse,paid monthly,7.98,2023-07-01,2023-12-31,184.0,47.88000000000001
395,004MTZV947,CineQuest,paid annual,60.02,2023-07-01,2023-12-31,184.0,0.0
397,004NNGI157,RetroReel,paid monthly,29.99,2023-07-01,2023-08-02,32.0,239.99
399,004PAMY118,LimeLight,paid annual,80.01,2023-09-24,2023-12-31,98.0,80.01
400,004PMLD524,LimeLight,paid monthly,19.99,2023-07-01,2023-12-31,183.0,119.93999999999998
402,004PNMJ902,CineQuest,paid monthly,12.01,2023-07-01,2023-12-31,183.0,72.05999999999999
404,004PNMJ902,Pulse,paid monthly,8.0,2023-07-01,2023-12-31,183.0,56.0
406,004POHC309,LimeLight,paid monthly,20.0,2023-10-28,2023-12-31,64.0,60.0
408,004QHPK778,ChillStream,paid monthly,24.99,2023-07-01,2023-12-31,184.0,124.95000000000002
409,004QIOK665,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,183.0,180.0
411,004QKDC600,RetroReel,paid monthly,30.01,2023-11-03,2023-12-31,58.0,60.02
413,004QPCZ325,Pulse,paid monthly,8.02,2023-08-22,2023-12-31,131.0,40.099999999999994
414,004QZPU504,RetroReel,paid annual,120.0,2023-11-19,2023-12-31,42.0,120.0
416,004RNEC476,ChillStream,paid monthly,24.98,2023-07-01,2023-10-01,92.0,147.66
417,004RNEC476,ChillStream,paid monthly,25.01,2023-11-14,2023-12-31,47.0,50.02
419,004RPPT922,ChillStream,paid annual,100.0,2023-07-01,2023-12-31,183.0,0.0
422,004SFGA279,LimeLight,paid monthly,19.99,2023-07-01,2023-12-31,183.0,119.93999999999998
426,004SZWZ820,Pulse,paid monthly,8.0,2023-10-10,2023-12-31,82.0,24.0
427,004TECZ734,LimeLight,paid annual,80.01,2023-07-01,2023-12-31,184.0,0.0
429,004UOHX798,LimeLight,paid annual,80.01,2023-07-27,2023-12-31,157.0,80.01
431,004VACU875,ChillStream,paid monthly,25.01,2023-07-01,2023-09-13,74.0,125.02
433,004VACU875,Pulse,paid monthly,8.01,2023-07-01,2023-12-31,183.0,48.06
438,004WBSE248,CineQuest,paid monthly,12.0,2023-07-01,2023-10-05,97.0,108.01999999999998
439,004WBSE248,Pulse,paid monthly,7.99,2023-07-01,2023-07-06,6.0,-7.990000000000002
440,004WBSE248,Pulse,paid monthly,8.01,2023-08-07,2023-12-31,146.0,40.05
442,004WDNE622,Pulse,paid monthly,8.0,2023-07-01,2023-12-09,161.0,75.66
444,004WENA386,Pulse,paid monthly,8.0,2023-07-01,2023-12-31,184.0,48.0
446,004WPRH738,ChillStream,paid monthly,24.99,2023-09-11,2023-12-31,111.0,99.96
448,004WSAQ537,ChillStream,paid monthly,25.0,2023-07-01,2023-07-23,22.0,161.8
449,004XLSY951,ChillStream,paid monthly,25.0,2023-07-01,2023-12-31,184.0,125.0
451,004XMMN681,LimeLight,paid monthly,19.99,2023-07-01,2023-12-31,183.0,119.94
452,004XNMR137,RetroReel,paid annual,119.99,2023-07-01,2023-12-31,184.0,0.0
456,004XVQK228,CineQuest,paid monthly,12.01,2023-07-01,2023-12-11,164.0,127.72
458,004ZETP103,RetroReel,paid monthly,30.0,2023-07-01,2023-12-31,183.0,180.0
461,004ZVVX124,CineQuest,paid monthly,11.99,2023-07-01,2023-12-31,183.0,71.94
464,004ZXAB891,CineQuest,paid monthly,12.01,2023-08-31,2023-12-17,108.0,72.05
467,005AJTJ963,CineQuest,paid annual,60.01,2023-07-01,2023-12-14,166.0,143.92000000000002
469,005APHH960,CineQuest,paid monthly,12.0,2023-07-01,2023-10-29,121.0,92.0
470,005APHH960,Pulse,paid annual,50.01,2023-07-01,2023-12-07,160.0,0.0
472,005AVDY361,ChillStream,paid annual,100.0,2023-07-01,2023-12-31,184.0,0.0
475,005BCIQ004,LimeLight,paid monthly,20.0,2023-07-01,2023-12-31,183.0,120.0
477,005CBWF649,Pulse,paid annual,50.0,2023-07-01,2023-12-31,183.0,0.0
479,005CKJF445,LimeLight,paid monthly,20.0,2023-07-01,2023-12-31,183.0,120.0
481,005CLAH698,RetroReel,paid monthly,29.98,2023-07-01,2023-12-31,184.0,149.89999999999998
482,005CLOA577,RetroReel,paid annual,119.99,2023-07-01,2023-12-31,184.0,0.0
485,005CRSD874,CineQuest,paid annual,60.0,2023-10-29,2023-11-10,12.0,198.07
487,005CRSD874,Pulse,paid annual,50.01,2023-07-01,2023-12-31,183.0,0.0
489,005CVHE823,CineQuest,paid monthly,11.99,2023-07-01,2023-12-31,184.0,59.94999999999999
491,005CVMO725,LimeLight,paid annual,79.99,2023-07-01,2023-12-31,183.0,0.0
493,005CVMO725,RetroReel,paid monthly,30.01,2023-07-01,2023-12-31,183.0,180.06
494,005DEST751,ChillStream,paid annual,100.02,2023-09-22,2023-12-31,100.0,100.02
