,ID,BRAND,SUB_DETAIL,AMOUNT,START_DATE,END_DATE,DURATION,REVENUE
50,000TOJT688,RetroReel,expired monthly,30.01,2023-01-01,2023-06-30,181.0,210.07000000000002
52,000TZZT543,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
54,000UCAC008,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
55,000UJBA972,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
56,000ULLT010,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
57,000UPJQ162,RetroReel,paid annual,120.01,2023-01-01,2023-06-30,181.0,120.01
58,000UQTO352,LimeLight,paid monthly,20.02,2023-01-01,2023-04-10,100.0,60.06
61,000UQTO352,Pulse,discounted annual,49.04,2023-01-09,2023-06-30,173.0,49.04
62,000UTKY023,Pulse,paid monthly,8.0,2023-01-01,2023-06-30,181.0,56.0
66,000VLET636,RetroReel,paid annual,120.01,2023-01-01,2023-03-01,60.0,0.0
67,000XORN373,ChillStream,paid annual,100.01,2023-01-01,2023-06-30,181.0,100.01
69,000XYZK575,Pulse,paid annual,50.0,2023-04-26,2023-06-30,66.0,50.0
70,000YBDY680,Pulse,trial monthly,6.67,2023-01-01,2023-06-29,180.0,40.019999999999996
73,000YRER318,CineQuest,paid monthly,11.99,2023-02-22,2023-06-30,129.0,59.95
74,000YUBG396,RetroReel,paid monthly,29.98,2023-01-01,2023-06-30,181.0,209.86
75,000YWTK044,Pulse,paid annual,50.01,2023-01-01,2023-06-30,181.0,50.01
76,000YZXN802,Pulse,discounted monthly,4.26,2023-01-25,2023-02-08,14.0,4.26
77,000YZXN802,Pulse,paid monthly,8.0,2023-04-28,2023-06-30,64.0,24.0
79,000ZBDO909,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
80,001AJCT513,ChillStream,paid monthly,25.01,2023-01-01,2023-06-30,181.0,175.07000000000002
81,001ARPK279,ChillStream,paid monthly,25.01,2023-01-01,2023-05-31,151.0,125.05
82,001ARPK279,ChillStream,discounted monthly,11.52,2023-06-13,2023-06-30,18.0,11.52
84,001AVSB880,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
86,001BZBX615,RetroReel,paid annual,120.0,2023-01-01,2023-06-30,181.0,120.0
90,001DLTR482,CineQuest,paid monthly,12.0,2023-06-23,2023-06-30,8.0,12.0
91,001FSQJ082,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
92,001GBJC687,LimeLight,paid monthly,20.02,2023-01-01,2023-06-30,181.0,140.14
93,001GUVF664,LimeLight,paid annual,80.01,2023-01-01,2023-06-30,181.0,80.01
96,001JDME989,LimeLight,paid annual,80.0,2023-06-15,2023-06-30,16.0,80.0
97,001JYOY737,LimeLight,paid monthly,20.0,2023-01-01,2023-02-24,55.0,40.0
98,001KIWF507,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
99,001LPDP619,Pulse,paid monthly,8.01,2023-01-01,2023-06-30,181.0,56.07
100,001MJIH685,Pulse,paid annual,50.01,2023-01-01,2023-06-30,181.0,50.01
104,001NOKZ662,CineQuest,paid annual,60.0,2023-01-01,2023-06-30,181.0,60.0
105,001NOKZ662,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
107,001NUQI691,ChillStream,paid monthly,24.98,2023-06-01,2023-06-30,30.0,24.98
109,001OJEK601,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
112,001PIBK965,CineQuest,paid monthly,12.01,2023-01-01,2023-06-30,181.0,84.07
114,001PIBK965,LimeLight,paid monthly,20.0,2023-05-18,2023-06-15,28.0,80.06
116,001PILU789,CineQuest,paid annual,60.0,2023-01-01,2023-06-04,155.0,60.0
118,001PKYB529,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
119,001QBUN395,CineQuest,paid monthly,12.01,2023-01-01,2023-03-26,85.0,36.03
120,001QBUN395,CineQuest,paid monthly,12.02,2023-04-12,2023-06-30,80.0,36.06
122,001QSLT093,Pulse,paid annual,49.98,2023-01-01,2023-06-30,181.0,49.98
123,001RBOC950,LimeLight,paid monthly,19.99,2023-01-01,2023-06-30,181.0,139.92999999999998
124,001RLIN262,LimeLight,paid monthly,20.01,2023-01-01,2023-03-05,64.0,40.02000000000001
127,001SIVU071,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
129,001SIVU071,Pulse,paid annual,50.0,2023-01-01,2023-06-30,181.0,50.0
134,001SXFZ276,ChillStream,paid monthly,25.01,2023-04-18,2023-06-30,74.0,75.03
138,001TTLN903,CineQuest,trial monthly,10.04,2023-02-14,2023-06-30,137.0,50.199999999999996
139,001TTLN903,LimeLight,paid monthly,20.01,2023-04-16,2023-06-30,76.0,60.03
141,001TTLN903,Pulse,paid monthly,8.0,2023-02-21,2023-06-30,130.0,40.0
143,001UAHA863,ChillStream,paid annual,99.99,2023-01-01,2023-06-30,181.0,99.99
145,001UAHA863,CineQuest,paid annual,60.01,2023-01-06,2023-06-30,176.0,60.01
147,001UAHA863,Pulse,paid monthly,8.02,2023-03-16,2023-06-30,107.0,32.08
148,001UAHA863,RetroReel,expired annual,120.02,2023-01-01,2023-06-30,181.0,120.02
149,001UDSL771,CineQuest,paid monthly,12.0,2023-01-01,2023-06-30,181.0,84.0
153,001UYQB422,LimeLight,paid annual,80.0,2023-01-01,2023-06-30,181.0,80.0
155,001VLBV485,CineQuest,paid monthly,12.0,2023-01-01,2023-06-30,181.0,84.0
157,001WKVX393,LimeLight,trial monthly,12.43,2023-01-05,2023-06-30,177.0,74.58
159,001WOTZ983,Pulse,paid monthly,7.99,2023-01-01,2023-06-30,181.0,55.93
160,001WZZE262,LimeLight,paid annual,80.0,2023-01-01,2023-06-30,181.0,80.0
161,001WZZE262,RetroReel,expired monthly,29.98,2023-01-01,2023-06-30,181.0,209.86
164,001XPYF468,Pulse,paid monthly,8.0,2023-01-01,2023-05-15,135.0,32.0
165,001XPYF468,Pulse,paid annual,50.01,2023-06-10,2023-06-30,21.0,50.01
166,001YPUL192,ChillStream,paid monthly,24.99,2023-01-01,2023-05-08,128.0,124.94999999999999
167,001YPUL192,ChillStream,paid annual,100.0,2023-06-28,2023-06-30,3.0,100.0
168,002ANIL633,Pulse,paid annual,50.02,2023-01-01,2023-06-30,181.0,50.02
169,002AOWO547,LimeLight,paid annual,79.99,2023-02-20,2023-06-30,131.0,79.99
172,002BKVK889,RetroReel,expired annual,119.98,2023-01-01,2023-06-30,181.0,119.98
174,002BZGD044,CineQuest,discounted monthly,10.26,2023-03-09,2023-06-30,114.0,41.04
177,002CNQR282,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
178,002CREJ862,Pulse,paid monthly,8.0,2023-06-10,2023-06-30,21.0,8.0
179,002CUYF788,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
180,002CXBG255,CineQuest,discounted annual,36.28,2023-01-01,2023-02-01,32.0,0.0
181,002CXBG255,CineQuest,paid monthly,12.01,2023-06-18,2023-06-30,13.0,12.01
183,002EAAX725,CineQuest,paid monthly,12.0,2023-01-03,2023-02-14,42.0,84.0
184,002EAAX725,CineQuest,paid monthly,12.01,2023-03-23,2023-06-30,100.0,48.04
185,002EXCW867,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
186,002EXCW867,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
191,002FIHW100,CineQuest,paid monthly,12.0,2023-01-01,2023-06-30,181.0,84.0
192,002FIHW100,LimeLight,expired monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
194,002FMLQ798,Pulse,paid monthly,8.01,2023-04-13,2023-06-30,79.0,24.03
195,002GOMV479,LimeLight,paid annual,80.0,2023-01-01,2023-06-30,181.0,80.0
197,002HTBP303,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
198,002IPLW094,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
199,002IWPX234,CineQuest,paid monthly,12.0,2023-01-01,2023-06-30,181.0,84.0
201,002JYSZ401,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
205,002KDWJ981,ChillStream,paid monthly,25.02,2023-02-05,2023-06-30,146.0,125.1
207,002KGKA332,CineQuest,paid monthly,12.02,2023-05-23,2023-06-30,39.0,24.04
209,002KIAG292,Pulse,paid monthly,8.0,2023-01-01,2023-02-17,48.0,16.0
210,002KIAG292,Pulse,discounted monthly,4.17,2023-04-25,2023-06-30,67.0,12.51
212,002MCDO278,LimeLight,paid monthly,19.99,2023-03-23,2023-06-30,100.0,79.96
213,002MYOP233,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
215,002NKQR179,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
220,002NLTJ592,Pulse,paid monthly,8.0,2023-01-27,2023-02-03,7.0,63.120000000000005
221,002NLTJ592,Pulse,paid monthly,8.0,2023-05-18,2023-06-30,44.0,16.0
222,002NWGK515,Pulse,paid monthly,8.0,2023-01-01,2023-01-06,6.0,0.0
223,002NYZB724,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
227,002OADV079,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
229,002ODJA245,Pulse,paid annual,50.0,2023-01-07,2023-06-30,175.0,50.0
231,002OFHC379,CineQuest,paid monthly,12.01,2023-01-23,2023-06-30,159.0,72.06
233,002OFHC379,Pulse,paid monthly,8.0,2023-02-19,2023-06-30,132.0,40.0
234,002OHHT519,Pulse,paid monthly,8.01,2023-06-19,2023-06-30,12.0,8.01
237,002PPXS156,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
238,002PXRI930,LimeLight,paid annual,80.0,2023-01-01,2023-06-30,181.0,80.0
243,002RFCE675,Pulse,paid monthly,7.99,2023-01-01,2023-06-30,181.0,55.93
246,002RKAR661,ChillStream,paid monthly,24.99,2023-01-01,2023-02-06,37.0,24.989999999999995
247,002RKAR661,ChillStream,paid monthly,24.99,2023-06-22,2023-06-30,9.0,24.99
248,002RKAR661,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
251,002RWXN391,CineQuest,paid monthly,12.01,2023-05-28,2023-06-30,34.0,24.02
252,002SOIZ089,ChillStream,paid annual,100.02,2023-01-01,2023-06-30,181.0,100.02
253,002SOIZ089,LimeLight,paid annual,80.02,2023-01-01,2023-06-30,181.0,80.02
254,002TRCU179,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
255,002UQOE027,RetroReel,paid monthly,30.01,2023-01-01,2023-06-30,181.0,210.07000000000002
256,002URLO240,CineQuest,paid annual,60.0,2023-01-01,2023-06-30,181.0,60.0
261,002VXNA655,Pulse,paid monthly,8.01,2023-06-22,2023-06-30,9.0,8.01
262,002WGSA012,CineQuest,paid monthly,12.02,2023-01-01,2023-06-30,181.0,84.14
264,002WKIG010,Pulse,paid monthly,8.0,2023-06-11,2023-06-30,20.0,8.0
265,002XLWQ630,ChillStream,paid monthly,25.01,2023-01-01,2023-06-30,181.0,175.07000000000002
267,002ZPKN335,Pulse,paid monthly,8.0,2023-02-12,2023-04-15,62.0,24.0
270,003AEKA966,LimeLight,paid annual,80.0,2023-01-01,2023-06-30,181.0,80.0
271,003AFDK971,CineQuest,discounted monthly,10.34,2023-01-01,2023-03-01,60.0,20.68
272,003AFDK971,CineQuest,paid monthly,11.98,2023-05-16,2023-06-30,46.0,23.96
274,003ANID263,LimeLight,paid monthly,19.99,2023-01-01,2023-06-30,181.0,139.92999999999998
275,003AUQO335,Pulse,paid annual,50.0,2023-01-01,2023-03-20,79.0,50.0
276,003DAQK199,ChillStream,paid monthly,24.99,2023-01-01,2023-06-30,181.0,174.92999999999998
277,003FHPQ342,CineQuest,paid annual,60.0,2023-01-01,2023-06-30,181.0,60.0
279,003FIZU237,CineQuest,paid monthly,12.0,2023-03-06,2023-06-30,117.0,48.0
282,003FXVZ713,Pulse,paid monthly,8.02,2023-01-01,2023-06-30,181.0,56.14
284,003GPNN238,LimeLight,paid annual,79.99,2023-03-30,2023-06-30,93.0,79.99
290,003HOFE542,RetroReel,paid monthly,30.0,2023-01-01,2023-05-13,133.0,150.0
294,003IMVF953,RetroReel,paid monthly,29.99,2023-01-02,2023-06-30,180.0,179.94
295,003IPDP078,RetroReel,paid monthly,30.0,2023-04-27,2023-06-30,65.0,90.0
297,003JAJC959,LimeLight,paid monthly,20.0,2023-01-01,2023-06-09,160.0,100.0
300,003JOSE263,CineQuest,paid monthly,12.0,2023-01-22,2023-06-30,160.0,72.0
302,003JXTS440,LimeLight,paid annual,80.0,2023-01-01,2023-06-30,181.0,80.0
303,003KGDD155,LimeLight,paid annual,79.98,2023-01-01,2023-06-30,181.0,79.98
304,003KHGQ561,ChillStream,paid monthly,25.01,2023-01-01,2023-06-30,181.0,175.07000000000002
306,003LTEX955,LimeLight,paid annual,79.99,2023-01-01,2023-06-30,181.0,79.99
308,003NBZB582,Pulse,discounted monthly,4.81,2023-04-27,2023-06-30,65.0,14.43
309,003NRLM550,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
310,003OLXB119,Pulse,paid monthly,8.0,2023-01-01,2023-06-29,180.0,48.0
313,003ONER290,CineQuest,paid monthly,12.0,2023-01-01,2023-06-30,181.0,84.0
315,003QYGK056,ChillStream,paid annual,100.01,2023-01-01,2023-06-30,181.0,100.01
318,003QZTI046,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
320,003TCEP184,CineQuest,paid monthly,12.01,2023-03-25,2023-06-30,98.0,48.04
322,003TEQR186,CineQuest,paid monthly,12.01,2023-01-01,2023-05-07,127.0,84.07000000000002
323,003TEQR186,LimeLight,expired monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
326,003UKIB964,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
327,003UYFP763,RetroReel,paid annual,120.01,2023-01-01,2023-06-30,181.0,120.01
328,003VDDJ532,ChillStream,paid monthly,25.0,2023-03-09,2023-06-30,114.0,100.0
329,003WHEB120,CineQuest,paid monthly,12.01,2023-01-05,2023-06-30,177.0,72.06
330,003WNAG684,ChillStream,paid annual,100.0,2023-01-01,2023-06-30,181.0,100.0
331,003WSHV251,ChillStream,paid annual,100.02,2023-04-24,2023-06-30,68.0,100.02
332,003XKHS955,LimeLight,paid monthly,20.01,2023-02-09,2023-06-30,142.0,100.05000000000001
333,003XKHS955,RetroReel,expired monthly,30.01,2023-01-01,2023-03-27,85.0,60.02000000000004
335,003XTUL243,CineQuest,paid monthly,11.99,2023-03-09,2023-05-15,67.0,107.97
337,003XTUL243,Pulse,paid annual,49.99,2023-01-01,2023-06-30,181.0,49.99
338,003YXVZ587,RetroReel,expired monthly,30.01,2023-01-01,2023-03-11,69.0,60.02000000000004
339,003YXVZ587,RetroReel,paid monthly,30.01,2023-04-24,2023-06-30,68.0,90.03
343,003YZJM392,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
347,003ZURQ459,ChillStream,paid annual,100.01,2023-01-01,2023-06-30,181.0,100.01
348,003ZZGJ163,ChillStream,expired monthly,24.98,2023-01-01,2023-03-11,69.0,49.95999999999998
349,003ZZGJ163,ChillStream,discounted monthly,22.74,2023-06-17,2023-06-30,14.0,22.74
350,003ZZGJ163,Pulse,paid monthly,8.0,2023-01-01,2023-06-30,181.0,56.0
352,004AKNN688,ChillStream,paid monthly,24.99,2023-01-01,2023-05-27,147.0,174.95
357,004AXNW235,CineQuest,paid annual,59.99,2023-01-01,2023-06-30,181.0,59.99
362,004BTTQ071,LimeLight,paid monthly,19.99,2023-01-01,2023-06-30,181.0,139.92999999999998
366,004EFKZ926,Pulse,paid annual,50.0,2023-01-30,2023-06-30,152.0,50.0
367,004EPOB480,RetroReel,paid annual,120.02,2023-01-01,2023-06-30,181.0,120.02
369,004ERWY396,CineQuest,discounted monthly,11.5,2023-02-22,2023-04-01,38.0,143.0
373,004GBPK269,CineQuest,paid monthly,11.99,2023-01-18,2023-06-30,164.0,71.94
374,004GNEP305,LimeLight,paid annual,80.0,2023-01-01,2023-06-30,181.0,80.0
375,004GNHV340,ChillStream,paid annual,100.0,2023-01-01,2023-06-30,181.0,100.0
376,004ILUO342,LimeLight,paid annual,79.99,2023-01-01,2023-06-30,181.0,79.99
377,004JATO962,RetroReel,paid annual,119.99,2023-05-20,2023-06-30,42.0,119.99
378,004JKTR944,RetroReel,paid monthly,30.0,2023-01-01,2023-03-17,76.0,60.0
379,004JKTR944,RetroReel,trial monthly,25.16,2023-04-24,2023-06-30,68.0,75.48
381,004JNYB810,Pulse,paid annual,49.99,2023-01-01,2023-03-30,89.0,24.000000000000007
382,004JQHL248,RetroReel,paid annual,119.98,2023-03-12,2023-06-30,111.0,119.98
384,004JVWK677,LimeLight,paid monthly,19.99,2023-01-01,2023-06-30,181.0,139.92999999999998
387,004KQJC323,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
388,004KXZQ857,RetroReel,paid monthly,30.0,2023-01-01,2023-06-30,181.0,210.0
390,004LDOW280,Pulse,paid monthly,8.01,2023-01-01,2023-04-17,107.0,56.03
392,004MHUO064,Pulse,paid monthly,7.98,2023-01-01,2023-06-30,181.0,55.86
395,004MTZV947,CineQuest,paid annual,60.02,2023-01-01,2023-06-30,181.0,60.02
397,004NNGI157,RetroReel,paid monthly,29.99,2023-03-27,2023-06-30,96.0,119.96
398,004PAMY118,LimeLight,paid monthly,19.99,2023-01-01,2023-02-24,55.0,39.97999999999996
400,004PMLD524,LimeLight,paid monthly,19.99,2023-06-05,2023-06-30,26.0,19.99
402,004PNMJ902,CineQuest,paid monthly,12.01,2023-06-14,2023-06-30,17.0,12.01
404,004PNMJ902,Pulse,paid monthly,8.0,2023-01-03,2023-06-30,179.0,48.0
408,004QHPK778,ChillStream,paid monthly,24.99,2023-01-01,2023-06-30,181.0,174.92999999999998
409,004QIOK665,RetroReel,paid monthly,30.0,2023-06-24,2023-06-30,7.0,30.0
416,004RNEC476,ChillStream,paid monthly,24.98,2023-02-03,2023-06-30,148.0,124.9
419,004RPPT922,ChillStream,paid annual,100.0,2023-01-29,2023-06-30,153.0,100.0
421,004SFGA279,LimeLight,paid annual,80.02,2023-01-01,2023-05-19,139.0,119.93999999999998
422,004SFGA279,LimeLight,paid monthly,19.99,2023-06-28,2023-06-30,3.0,19.99
423,004SZWZ820,LimeLight,expired monthly,20.01,2023-01-01,2023-04-05,94.0,60.03000000000003
425,004SZWZ820,Pulse,paid monthly,7.98,2023-01-01,2023-03-23,82.0,73.94
427,004TECZ734,LimeLight,paid annual,80.01,2023-01-01,2023-06-30,181.0,80.01
431,004VACU875,ChillStream,paid monthly,25.01,2023-06-30,2023-06-30,1.0,25.01
433,004VACU875,Pulse,paid monthly,8.01,2023-05-29,2023-06-30,33.0,16.02
435,004WBSE248,ChillStream,paid monthly,25.01,2023-01-01,2023-03-30,89.0,265.5
438,004WBSE248,CineQuest,paid monthly,12.0,2023-01-01,2023-06-30,181.0,84.0
439,004WBSE248,Pulse,paid monthly,7.99,2023-01-01,2023-06-30,181.0,55.93
442,004WDNE622,Pulse,paid monthly,8.0,2023-05-03,2023-06-30,59.0,16.0
444,004WENA386,Pulse,paid monthly,8.0,2023-01-01,2023-06-30,181.0,56.0
448,004WSAQ537,ChillStream,paid monthly,25.0,2023-04-13,2023-06-30,79.0,75.0
449,004XLSY951,ChillStream,paid monthly,25.0,2023-01-01,2023-06-30,181.0,175.0
451,004XMMN681,LimeLight,paid monthly,19.99,2023-02-27,2023-06-30,124.0,99.94999999999999
452,004XNMR137,RetroReel,paid annual,119.99,2023-01-01,2023-06-30,181.0,119.99
456,004XVQK228,CineQuest,paid monthly,12.01,2023-01-01,2023-06-30,181.0,84.07
458,004ZETP103,RetroReel,paid monthly,30.0,2023-03-17,2023-06-30,106.0,120.0
461,004ZVVX124,CineQuest,paid monthly,11.99,2023-03-27,2023-06-30,96.0,47.96
466,005AJTJ963,CineQuest,paid monthly,12.02,2023-01-01,2023-03-11,70.0,119.88000000000002
467,005AJTJ963,CineQuest,paid annual,60.01,2023-04-03,2023-06-30,89.0,60.01
468,005AJTJ963,Pulse,expired annual,50.02,2023-01-01,2023-04-12,101.0,50.02
469,005APHH960,CineQuest,paid monthly,12.0,2023-01-01,2023-06-30,181.0,84.0
470,005APHH960,Pulse,paid annual,50.01,2023-01-01,2023-06-30,181.0,50.01
472,005AVDY361,ChillStream,paid annual,100.0,2023-01-01,2023-06-30,181.0,100.0
475,005BCIQ004,LimeLight,paid monthly,20.0,2023-03-02,2023-06-30,121.0,100.0
477,005CBWF649,Pulse,paid annual,50.0,2023-06-10,2023-06-30,21.0,50.0
478,005CKJF445,LimeLight,paid monthly,19.98,2023-01-01,2023-04-19,109.0,79.92
479,005CKJF445,LimeLight,paid monthly,20.0,2023-05-05,2023-06-30,57.0,40.0
481,005CLAH698,RetroReel,paid monthly,29.98,2023-01-01,2023-06-30,181.0,209.86
482,005CLOA577,RetroReel,paid annual,119.99,2023-01-01,2023-06-30,181.0,119.99
484,005CRSD874,CineQuest,paid annual,60.01,2023-01-09,2023-06-17,159.0,138.07
486,005CRSD874,LimeLight,expired monthly,19.99,2023-01-01,2023-01-03,2.0,0.0
487,005CRSD874,Pulse,paid annual,50.01,2023-04-02,2023-06-30,90.0,50.01
489,005CVHE823,CineQuest,paid monthly,11.99,2023-01-01,2023-06-30,181.0,83.93
491,005CVMO725,LimeLight,paid annual,79.99,2023-06-21,2023-06-30,10.0,79.99
493,005CVMO725,RetroReel,paid monthly,30.01,2023-01-06,2023-06-30,176.0,180.06
495,005DEST751,CineQuest,paid annual,60.0,2023-01-01,2023-05-08,128.0,60.0
496,005DTWK409,RetroReel,paid monthly,29.99,2023-01-01,2023-06-30,181.0,209.92999999999998
497,005EBJD636,Pulse,paid annual,49.99,2023-01-01,2023-06-30,181.0,49.99
500,005EDVN799,RetroReel,paid monthly,29.99,2023-02-03,2023-06-30,148.0,149.95
501,005EQLX678,RetroReel,paid monthly,29.97,2023-01-01,2023-06-30,181.0,209.79
503,005FXWL713,CineQuest,paid annual,59.99,2023-01-01,2023-06-30,181.0,59.99
504,005IKHP676,CineQuest,paid monthly,12.01,2023-01-01,2023-04-10,100.0,54.06
508,005ITHJ033,LimeLight,paid monthly,20.01,2023-01-01,2023-06-14,165.0,120.06
511,005IZSJ697,LimeLight,paid monthly,19.99,2023-01-01,2023-06-30,181.0,139.92999999999998
514,005JAMG408,LimeLight,paid monthly,20.0,2023-01-01,2023-06-30,181.0,140.0
516,005KLHD033,LimeLight,expired annual,79.98,2023-01-01,2023-04-29,118.0,79.98
517,005KMLV801,RetroReel,paid annual,119.98,2023-01-01,2023-06-30,181.0,119.98
519,005LMLD320,LimeLight,paid monthly,19.99,2023-02-09,2023-06-30,142.0,99.94999999999999
521,005MQWT219,LimeLight,paid monthly,20.01,2023-06-23,2023-06-30,8.0,20.01
524,005MVVN443,Pulse,paid monthly,7.99,2023-01-01,2023-02-25,56.0,100.42
528,005NTLW643,CineQuest,paid monthly,11.98,2023-06-15,2023-06-30,16.0,11.98
531,005PSDD172,ChillStream,paid annual,100.01,2023-01-01,2023-06-30,181.0,100.01
533,005PTBD329,RetroReel,paid monthly,30.01,2023-01-01,2023-06-30,181.0,210.07000000000002
535,005PUYF561,LimeLight,paid monthly,20.01,2023-02-25,2023-06-30,126.0,100.05000000000001
540,005PXZW655,Pulse,paid monthly,8.0,2023-02-25,2023-06-30,126.0,40.0
543,005QIBK768,Pulse,paid monthly,8.0,2023-05-10,2023-06-30,52.0,16.0
546,005RCWZ068,CineQuest,paid annual,60.01,2023-01-01,2023-06-30,181.0,60.01
548,005RCWZ068,LimeLight,paid monthly,20.01,2023-04-28,2023-06-30,64.0,60.03
550,005RVSJ622,RetroReel,discounted monthly,25.15,2023-01-01,2023-05-06,126.0,220.60000000000002
551,005SNFH303,RetroReel,paid annual,120.01,2023-01-01,2023-06-30,181.0,120.01
553,005TCXI940,CineQuest,paid monthly,12.01,2023-01-01,2023-06-30,181.0,84.07
556,005TLRF516,Pulse,paid monthly,8.0,2023-06-10,2023-06-30,21.0,8.0
558,005TQVA378,LimeLight,paid monthly,20.01,2023-01-01,2023-06-30,181.0,140.07000000000002
560,005TXTH594,LimeLight,paid annual,79.99,2023-01-01,2023-06-30,181.0,79.99
561,005UNBK676,RetroReel,paid annual,119.99,2023-01-01,2023-06-30,181.0,119.99
562,005UXRN097,ChillStream,expired monthly,25.01,2023-01-01,2023-01-11,10.0,0.0
563,005UXRN097,ChillStream,paid monthly,25.01,2023-05-15,2023-06-30,47.0,50.02
