,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,2023_REVENUE,LTVCluster,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value
99,009OAZT384,LimeLight,256,220.0,1,0,0,2,2,0.0,0,0,1,0
100,009OWTK397,LimeLight,269,80.01,1,0,0,0,0,120.0,1,0,1,0
101,009PNHD703,LimeLight,65,79.99,1,2,0,0,2,40.0,0,0,1,0
102,009SDTY662,LimeLight,192,219.93,1,1,0,2,3,0.0,0,0,0,1
103,009WCWO485,LimeLight,355,240.0,2,0,1,2,3,140.06,1,0,0,1
104,009YWEP229,LimeLight,39,180.09,1,2,0,2,4,120.04,1,0,0,1
105,009ZZUD567,LimeLight,25,80.01,1,2,0,0,2,0.0,0,0,1,0
106,010DWEH981,LimeLight,94,180.0,1,2,0,2,4,80.0,1,0,0,1
107,010HPEQ987,LimeLight,199,220.15000000000003,1,1,0,2,3,0.0,0,0,0,1
108,010IITI122,LimeLight,3,15.7,1,2,0,0,2,39.98,0,0,1,0
109,010LGPV785,LimeLight,160,160.0,1,1,0,1,2,0.0,0,0,1,0
110,010MJGC911,LimeLight,56,40.0,1,2,0,0,2,0.0,0,0,1,0
111,010MURF353,LimeLight,182,80.0,3,1,2,0,3,0.0,0,0,0,1
112,010PKHU916,LimeLight,232,159.84,1,1,0,1,2,239.88,2,0,1,0
113,010SYJP308,LimeLight,359,20.0,3,0,2,0,2,0.0,0,0,1,0
114,010UGQJ077,LimeLight,96,80.01,1,2,0,0,2,139.92999999999998,1,0,1,0
115,010UXXD311,LimeLight,29,160.0,1,2,0,1,3,120.0,1,0,0,1
116,010UZAZ742,LimeLight,34,32.36,2,2,1,0,3,0.0,0,0,0,1
117,010VECF139,LimeLight,289,80.0,2,0,1,0,1,0.0,0,0,1,0
118,010WSZH215,LimeLight,227,80.01,2,1,1,0,2,60.03,1,0,1,0
119,010XTJU142,LimeLight,104,80.02,1,2,0,0,2,0.0,0,0,1,0
120,010ZSQB664,LimeLight,346,80.01,2,0,1,0,1,0.0,0,0,1,0
121,011CQIW361,LimeLight,262,130.32,1,0,0,1,1,220.03,2,0,1,0
122,011DGAN495,LimeLight,121,30.0,1,1,0,0,1,180.0,2,0,1,0
123,011FKXG559,LimeLight,353,240.0,1,0,0,2,2,120.0,1,0,1,0
124,011KFWT471,LimeLight,142,36.29,1,1,0,0,1,80.01,1,0,1,0
125,011LSEX181,LimeLight,193,79.98,2,1,1,0,2,79.99,1,0,1,0
126,011LXVA830,LimeLight,36,59.98,2,2,1,0,3,0.0,0,0,0,1
127,011PNDQ451,LimeLight,115,80.0,1,1,0,0,1,80.01,1,0,1,0
128,011RJQJ064,LimeLight,231,99.95,1,1,0,1,2,140.07000000000002,1,0,1,0
129,011WHSO110,LimeLight,294,59.97,2,0,1,0,1,49.04,1,0,1,0
130,011YPPT247,LimeLight,50,39.98,1,2,0,0,2,0.0,0,0,1,0
131,011ZCGJ198,LimeLight,274,200.0,1,0,0,2,2,0.0,0,0,1,0
132,012BVEM711,LimeLight,306,239.89,1,0,0,2,2,0.0,0,0,1,0
133,012COPQ802,LimeLight,166,159.98,1,1,0,1,2,0.0,0,0,1,0
134,012EATX685,LimeLight,188,139.92999999999998,1,1,0,1,2,0.0,0,0,1,0
135,012EOCL372,LimeLight,207,139.92999999999998,2,1,1,1,3,220.10000000000002,2,0,0,1
136,012GHKT061,LimeLight,322,27.24,2,0,1,0,1,79.99,1,0,1,0
137,012GOPO394,LimeLight,29,20.01,1,2,0,0,2,160.04,2,0,1,0
138,012GYNX134,LimeLight,280,159.98,1,0,0,1,1,0.0,0,0,1,0
139,012JTXS726,LimeLight,136,179.92,1,1,0,2,3,0.0,0,0,0,1
140,012KUUP502,LimeLight,353,19.98,1,0,0,0,0,80.0,1,0,1,0
141,012MCDK776,LimeLight,275,200.1,1,0,0,2,2,79.96,1,0,1,0
142,012QOKK113,LimeLight,209,120.0,2,1,1,1,3,199.89999999999998,2,0,0,1
143,012QPKE887,LimeLight,70,200.06,3,2,2,2,6,0.0,0,1,0,0
144,012ROSW222,LimeLight,258,79.96,1,0,0,0,0,100.0,1,0,1,0
145,012XNXP920,LimeLight,76,80.01,1,2,0,0,2,0.0,0,0,1,0
146,013MUXZ573,LimeLight,96,149.84,1,2,0,1,3,0.0,0,0,0,1
147,013OGQF693,LimeLight,220,159.84,1,1,0,1,2,0.0,0,0,1,0
148,013QGID965,LimeLight,288,200.0,1,0,0,2,2,171.20999999999998,2,0,1,0
149,013QOEF984,LimeLight,60,199.8,1,2,0,2,4,219.89,2,0,0,1
150,013SJGK748,LimeLight,295,200.0,1,0,0,2,2,0.0,0,0,1,0
151,013VHQH230,LimeLight,225,160.08,1,1,0,1,2,0.0,0,0,1,0
152,013WTOI330,LimeLight,90,123.75,1,2,0,1,3,100.0,1,0,0,1
153,014DOWC205,LimeLight,243,80.01,1,0,0,0,0,160.07,2,0,1,0
154,014ESGL019,LimeLight,9,160.0,1,2,0,1,3,0.0,0,0,0,1
155,014EUJF794,LimeLight,162,80.0,2,1,1,0,2,0.0,0,0,1,0
156,014EZXN555,LimeLight,179,80.01,1,1,0,0,1,140.11,1,0,1,0
157,014HDED385,LimeLight,217,159.99,1,1,0,1,2,0.0,0,0,1,0
158,014LSWK188,LimeLight,211,120.0,1,1,0,1,2,60.0,1,0,1,0
159,014LWTH723,LimeLight,136,180.09000000000003,1,1,0,2,3,0.0,0,0,0,1
160,014NKXD507,LimeLight,130,179.91000000000005,1,1,0,2,3,0.0,0,0,0,1
161,014XEPR381,LimeLight,42,180.05,1,2,0,2,4,0.0,0,0,0,1
162,014ZCIU221,LimeLight,136,100.0,1,1,0,1,2,120.06,1,0,1,0
163,015DQGV741,LimeLight,81,119.97,1,2,0,1,3,140.07000000000002,1,0,0,1
164,015FOOP690,LimeLight,190,139.92999999999998,1,1,0,1,2,0.0,0,0,1,0
165,015JHHY812,LimeLight,62,154.35000000000002,1,2,0,1,3,19.99,0,0,0,1
166,015MDTG749,LimeLight,223,79.99,1,1,0,0,1,79.99,1,0,1,0
167,015NWAR843,LimeLight,66,219.81,1,2,0,2,4,0.0,0,0,0,1
168,015QKAZ245,LimeLight,62,60.0,1,2,0,0,2,120.0,1,0,1,0
169,015SHKO155,LimeLight,229,160.16,1,1,0,1,2,0.0,0,0,1,0
170,015TINI387,LimeLight,349,239.76,1,0,0,2,2,0.0,0,0,1,0
171,015YDBL808,LimeLight,186,139.92999999999998,1,1,0,1,2,0.0,0,0,1,0
172,016DJGC691,LimeLight,354,222.12,1,0,0,2,2,80.0,1,0,1,0
173,016DSUS372,LimeLight,351,240.0,1,0,0,2,2,0.0,0,0,1,0
174,016EDKI066,LimeLight,129,53.58,1,1,0,0,1,240.12,2,0,1,0
175,016GAJZ406,LimeLight,291,161.1,1,0,0,1,1,120.0,1,0,1,0
176,016JBWX743,LimeLight,341,240.0,1,0,0,2,2,19.99,0,0,1,0
177,016LHTI895,LimeLight,253,180.0,1,0,0,2,2,0.0,0,0,1,0
178,016LJYF537,LimeLight,206,79.98,1,1,0,0,1,80.02,1,0,1,0
179,016LXUI104,LimeLight,47,40.02,1,2,0,0,2,79.94,1,0,1,0
180,016OYMJ988,LimeLight,150,100.05,1,1,0,1,2,0.0,0,0,1,0
181,016PARE178,LimeLight,17,240.0,1,2,0,2,4,200.10000000000002,2,0,0,1
182,016XHQX010,LimeLight,317,143.11,2,0,1,1,2,80.01,1,0,1,0
183,016XRMB711,LimeLight,92,80.0,1,2,0,0,2,0.0,0,0,1,0
184,016YHAR018,LimeLight,105,119.98,1,2,0,1,3,139.92000000000002,1,0,0,1
185,016YIWI121,LimeLight,69,80.03,1,2,0,0,2,0.0,0,0,1,0
186,016ZEND478,LimeLight,153,80.01,1,1,0,0,1,0.0,0,0,1,0
187,017FTCG762,LimeLight,84,119.94,1,2,0,1,3,40.0,0,0,0,1
188,017IYEH485,LimeLight,98,100.0,1,2,0,1,3,239.87999999999997,2,0,0,1
189,017JQZU523,LimeLight,326,40.02,3,0,2,0,2,0.0,0,0,1,0
190,017LBSF882,LimeLight,293,200.0,1,0,0,2,2,0.0,0,0,1,0
191,017QJQY473,LimeLight,194,140.0,1,1,0,1,2,0.0,0,0,1,0
192,017SOQL997,LimeLight,102,80.08,2,2,1,0,3,220.11,2,0,0,1
193,017UAZJ233,LimeLight,81,200.0,2,2,1,2,5,0.0,0,1,0,0
194,017WANR517,LimeLight,85,60.0,1,2,0,0,2,219.89,2,0,1,0
195,017XQNJ663,LimeLight,189,139.92999999999998,1,1,0,1,2,0.0,0,0,1,0
196,017ZIUW421,LimeLight,335,80.0,1,0,0,0,0,0.0,0,0,1,0
197,017ZUOQ892,LimeLight,164,80.01,2,1,1,0,2,120.02000000000001,1,0,1,0
198,018ANQW913,LimeLight,7,40.0,1,2,0,0,2,0.0,0,0,1,0
199,018CLYH740,LimeLight,135,80.0,1,1,0,0,1,0.0,0,0,1,0
200,018CMLX700,LimeLight,287,200.0,1,0,0,2,2,0.0,0,0,1,0
201,018ILID103,LimeLight,106,79.92,1,2,0,0,2,259.95,2,0,1,0
202,018JQWM859,LimeLight,92,69.96,2,2,1,0,3,140.07000000000002,1,0,0,1
203,018JYUQ162,LimeLight,200,140.07000000000002,2,1,1,1,3,0.0,0,0,0,1
204,018SYTG759,LimeLight,218,80.02,1,1,0,0,1,0.0,0,0,1,0
205,018TEQB415,LimeLight,47,40.02,1,2,0,0,2,0.0,0,0,1,0
206,018WPHQ081,LimeLight,52,79.99,1,2,0,0,2,0.0,0,0,1,0
207,019DEBX261,LimeLight,123,80.0,1,1,0,0,1,0.0,0,0,1,0
208,019EJNL218,LimeLight,298,200.1,1,0,0,2,2,0.0,0,0,1,0
209,019GZNM737,LimeLight,127,59.93,2,1,1,0,2,0.0,0,0,1,0
210,019HUZO580,LimeLight,84,19.47,1,2,0,0,2,259.87,2,0,1,0
211,019IZYK997,LimeLight,353,79.99,2,0,1,0,1,0.0,0,0,1,0
212,019KWEW913,LimeLight,273,159.98000000000002,2,0,1,1,2,159.98,2,0,1,0
213,019MXNP037,LimeLight,65,85.3,1,2,0,0,2,0.0,0,0,1,0
214,019RMYF977,LimeLight,96,240.04,1,2,0,2,4,219.89,2,0,0,1
215,019TJNF293,LimeLight,320,220.0,1,0,0,2,2,0.0,0,0,1,0
216,019XAQV659,LimeLight,7,20.01,2,2,1,0,3,0.0,0,0,0,1
217,019XKSH906,LimeLight,321,220.11,1,0,0,2,2,0.0,0,0,1,0
218,019XLLK713,LimeLight,101,80.0,1,2,0,0,2,160.0,2,0,1,0
219,020GIHZ158,LimeLight,88,80.01,2,2,1,0,3,0.0,0,0,0,1
220,020LIWM012,LimeLight,100,79.96,1,2,0,0,2,0.0,0,0,1,0
221,020LLQN909,LimeLight,277,200.0,1,0,0,2,2,74.92999999999999,1,0,1,0
222,020MTYR398,LimeLight,59,99.95,1,2,0,1,3,89.65,1,0,0,1
223,020NCJW242,LimeLight,330,220.11,1,0,0,2,2,99.94999999999999,1,0,1,0
224,020PRNI876,LimeLight,169,80.0,3,1,2,0,3,0.0,0,0,0,1
225,020QGYI708,LimeLight,149,70.6,1,1,0,0,1,100.0,1,0,1,0
226,020TWZC657,LimeLight,357,79.99,1,0,0,0,0,0.0,0,0,1,0
227,020USXG483,LimeLight,331,239.88,1,0,0,2,2,0.0,0,0,1,0
228,020VLEL966,LimeLight,62,79.99,1,2,0,0,2,80.0,1,0,1,0
229,021BQNT823,LimeLight,88,59.97,1,2,0,0,2,219.89,2,0,1,0
230,021CLRG434,LimeLight,279,280.0,1,0,0,3,3,155.66000000000003,2,0,0,1
231,021CYYK192,LimeLight,255,79.99,1,0,0,0,0,79.99,1,0,1,0
232,021CZRU553,LimeLight,222,220.16,1,1,0,2,3,0.0,0,0,0,1
233,021HMTS617,LimeLight,163,131.05,1,1,0,1,2,160.0,2,0,1,0
234,021LHHP368,LimeLight,339,239.88,1,0,0,2,2,239.94,2,0,1,0
235,021LSUI847,LimeLight,64,79.98,1,2,0,0,2,0.0,0,0,1,0
236,021MSTM422,LimeLight,212,179.92,1,1,0,2,3,0.0,0,0,0,1
237,021OGPA308,LimeLight,337,80.02,1,0,0,0,0,180.01,2,0,1,0
238,021OJSG472,LimeLight,310,220.0,1,0,0,2,2,0.0,0,0,1,0
239,021QHIP232,LimeLight,6,99.95,1,2,0,1,3,0.0,0,0,0,1
240,021SOMG129,LimeLight,283,40.0,1,0,0,0,0,239.88,2,0,1,0
241,021YQHK510,LimeLight,107,79.96,1,2,0,0,2,0.0,0,0,1,0
242,021ZINA742,LimeLight,61,48.96,1,2,0,0,2,199.8,2,0,1,0
243,022AJRP140,LimeLight,282,200.3,1,0,0,2,2,0.0,0,0,1,0
244,022BDWY395,LimeLight,243,80.0,1,0,0,0,0,0.0,0,0,1,0
245,022DEEO879,LimeLight,254,80.01,1,0,0,0,0,220.0,2,0,1,0
246,022EUFS929,LimeLight,287,80.0,2,0,1,0,1,80.0,1,0,1,0
247,022GXME748,LimeLight,121,100.0,1,1,0,1,2,0.0,0,0,1,0
248,022HBGW840,LimeLight,52,39.94,2,2,1,0,3,0.0,0,0,0,1
249,022HRQF479,LimeLight,260,180.0,1,0,0,2,2,0.0,0,0,1,0
250,022IGZS622,LimeLight,179,79.99,2,1,1,0,2,0.0,0,0,1,0
251,022KRBF944,LimeLight,34,137.63,1,2,0,1,3,120.0,1,0,0,1
252,022LCFG185,LimeLight,142,119.18,1,1,0,1,2,160.0,2,0,1,0
253,022ORAK664,LimeLight,208,44.06,1,1,0,0,1,79.99,1,0,1,0
254,022TNQG939,LimeLight,105,60.6,1,2,0,0,2,19.98,0,0,1,0
255,022VSBY924,LimeLight,1,92.84,2,2,1,1,4,159.92,2,0,0,1
256,022WSQP330,LimeLight,169,119.94,1,1,0,1,2,219.98,2,0,1,0
257,022XZGJ976,LimeLight,258,39.06,1,0,0,0,0,240.0,2,0,1,0
258,023AEMD568,LimeLight,129,100.0,2,1,1,1,3,240.12,2,0,0,1
259,023CNYC765,LimeLight,249,179.91,2,0,1,2,3,0.0,0,0,0,1
260,023JACZ720,LimeLight,216,100.0,2,1,1,1,3,79.96,1,0,0,1
261,023JYNY103,LimeLight,87,161.4,1,2,0,1,3,0.0,0,0,0,1
262,023KSTZ127,LimeLight,0,199.68,2,2,1,2,5,80.0,1,1,0,0
263,023NBMO154,LimeLight,29,20.0,1,2,0,0,2,0.0,0,0,1,0
264,023OBAE790,LimeLight,84,37.86,2,2,1,0,3,259.87,2,0,0,1
265,023QYNL524,LimeLight,316,80.0,1,0,0,0,0,0.0,0,0,1,0
266,023TUXH308,LimeLight,335,240.0,2,0,1,2,3,0.0,0,0,0,1
267,023YBKB436,LimeLight,12,20.0,1,2,0,0,2,80.0,1,0,1,0
268,023ZPCU442,LimeLight,186,140.0,1,1,0,1,2,200.0,2,0,1,0
269,024BTWL734,LimeLight,66,60.0,1,2,0,0,2,0.0,0,0,1,0
270,024CDKX638,LimeLight,198,120.0,1,1,0,1,2,240.0,2,0,1,0
271,024COKF930,LimeLight,57,240.03000000000003,1,2,0,2,4,100.0,1,0,0,1
272,024JVTH723,LimeLight,61,140.07000000000002,1,2,0,1,3,0.0,0,0,0,1
273,024KCAD609,LimeLight,261,80.0,3,0,2,0,2,0.0,0,0,1,0
274,024OVKF458,LimeLight,206,220.08,1,1,0,2,3,0.0,0,0,0,1
275,024PZOR538,LimeLight,313,80.01,1,0,0,0,0,239.98000000000002,2,0,1,0
276,024QQRE334,LimeLight,254,80.0,2,0,1,0,1,119.88,1,0,1,0
277,024RHDD920,LimeLight,293,199.9,2,0,1,2,3,0.0,0,0,0,1
278,024URLQ304,LimeLight,312,40.02,1,0,0,0,0,99.97999999999999,1,0,1,0
279,024VVIC434,LimeLight,76,139.99,1,2,0,1,3,219.89999999999998,2,0,0,1
280,024XEGX467,LimeLight,95,79.99,1,2,0,0,2,69.51,1,0,1,0
281,024XMTM051,LimeLight,64,199.94,1,2,0,2,4,139.92999999999998,1,0,0,1
282,025CGZS202,LimeLight,143,180.06,1,1,0,2,3,159.84,2,0,0,1
283,025GTYJ034,LimeLight,310,240.22,1,0,0,2,2,119.99,1,0,1,0
284,025ITFZ496,LimeLight,38,39.98,2,2,1,0,3,0.0,0,0,0,1
285,025IVWT679,LimeLight,196,159.99,1,1,0,1,2,123.29,1,0,1,0
286,025LFEI109,LimeLight,212,160.0,1,1,0,1,2,0.0,0,0,1,0
287,025MEBN694,LimeLight,358,240.12,1,0,0,2,2,179.90999999999997,2,0,1,0
288,025NQAL295,LimeLight,167,119.94,1,1,0,1,2,100.0,1,0,1,0
289,025RXMR903,LimeLight,114,159.88,1,2,0,1,3,119.94,1,0,0,1
290,025TQUE999,LimeLight,163,119.94,1,1,0,1,2,0.0,0,0,1,0
291,025UMCY722,LimeLight,33,180.0,1,2,0,2,4,55.52,1,0,0,1
292,025XILG335,LimeLight,357,80.01,1,0,0,0,0,79.98,1,0,1,0
293,025YMFI743,LimeLight,14,10.12,1,2,0,0,2,100.0,1,0,1,0
294,026DSWO376,LimeLight,17,52.78,1,2,0,0,2,199.7,2,0,1,0
295,026EMLC497,LimeLight,275,200.0,1,0,0,2,2,140.0,1,0,1,0
296,026JUGA498,LimeLight,346,240.0,1,0,0,2,2,65.1,1,0,1,0
297,026OHPD321,LimeLight,70,180.27,1,2,0,2,4,239.76,2,0,0,1
298,026OJXT664,LimeLight,61,117.89,1,2,0,1,3,140.07000000000002,1,0,0,1
299,026OZCH655,LimeLight,286,52.62,1,0,0,0,0,160.0,2,0,1,0
300,026PNDH746,LimeLight,305,219.89,1,0,0,2,2,0.0,0,0,1,0
301,026RJOR814,LimeLight,40,119.98,1,2,0,1,3,0.0,0,0,0,1
302,026TIBP449,LimeLight,56,13.04,1,2,0,0,2,40.0,0,0,1,0
303,026TMFB727,LimeLight,269,180.09,2,0,1,2,3,0.0,0,0,0,1
304,026WCBJ610,LimeLight,12,59.98,1,2,0,0,2,0.0,0,0,1,0
305,026XKSR079,LimeLight,248,79.92,1,0,0,0,0,79.98,1,0,1,0
306,026YHQQ997,LimeLight,45,220.32,1,2,0,2,4,120.0,1,0,0,1
307,027FGUK196,LimeLight,64,200.2,1,2,0,2,4,59.97,1,0,0,1
308,027GTSJ413,LimeLight,89,60.0,1,2,0,0,2,0.0,0,0,1,0
309,027JSJR650,LimeLight,148,68.85,1,1,0,0,1,159.92,2,0,1,0
310,027LKCD084,LimeLight,363,80.0,1,0,0,0,0,0.0,0,0,1,0
311,027QGJI157,LimeLight,152,80.0,1,1,0,0,1,0.0,0,0,1,0
312,027UIEB629,LimeLight,246,29.56,1,0,0,0,0,160.03,2,0,1,0
313,027UYBT302,LimeLight,101,172.69,1,2,0,2,4,0.0,0,0,0,1
314,027WIAZ178,LimeLight,198,80.0,2,1,1,0,2,79.56,1,0,1,0
