,Unnamed: 0,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
397,397,009BNUY561,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
398,398,009BYWQ378,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
404,404,009HIOA323,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
405,405,009ILTP035,LimeLight,92,0.0,1,1,0,0,1,Low-Value
410,410,009MCBT205,LimeLight,0,100.0,1,2,0,1,3,Mid-Value
412,412,009MNVS084,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
415,415,009OAZT384,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
421,421,009SDTY662,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
423,423,009WCWO485,LimeLight,13,120.0,1,2,0,2,4,Mid-Value
425,425,009YWEP229,LimeLight,56,220.09,1,1,0,3,4,Mid-Value
430,430,009ZZUD567,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
431,431,010ADQH166,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
438,438,010FMTD776,LimeLight,0,140.0,4,2,2,2,6,High-Value
444,444,010HPEQ987,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
446,446,010KWCU194,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
447,447,010LGPV785,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
449,449,010MJGC911,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
455,455,010PKHU916,LimeLight,0,139.86,2,2,1,2,5,High-Value
465,465,010SSVA945,LimeLight,0,79.96,1,2,0,1,3,Mid-Value
468,468,010UGQJ077,LimeLight,0,19.99,1,2,0,0,2,Low-Value
470,470,010UZAZ742,LimeLight,0,113.26,2,2,1,1,4,Mid-Value
471,471,010VECF139,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
475,475,010XTJU142,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
482,482,011ANYH850,LimeLight,0,100.0,1,2,0,1,3,Mid-Value
488,488,011CQIW361,LimeLight,0,83.44,1,2,0,1,3,Mid-Value
490,490,011DGAN495,LimeLight,0,40.0,1,2,0,0,2,Low-Value
494,494,011FKXG559,LimeLight,4,120.0,1,2,0,2,4,Mid-Value
502,502,011LSEX181,LimeLight,0,79.98,2,2,1,1,4,Mid-Value
505,505,011LXVA830,LimeLight,0,140.0,2,2,1,2,5,High-Value
511,511,011QAYX660,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
513,513,011RJQJ064,LimeLight,0,20.01,1,2,0,0,2,Low-Value
516,516,011TADD214,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
521,521,011WHSO110,LimeLight,0,12.26,2,2,1,0,3,Mid-Value
525,525,011YPPT247,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
528,528,011ZCGJ198,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
531,531,012BVEM711,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
532,532,012BZSE813,LimeLight,0,80.04,1,2,0,1,3,Mid-Value
535,535,012COPQ802,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
538,538,012EATX685,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
541,541,012EOCL372,LimeLight,0,139.92999999999998,2,2,1,2,5,High-Value
545,545,012GOPO394,LimeLight,126,40.02,1,0,0,0,0,Low-Value
546,546,012GYNX134,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
550,550,012JTXS726,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
552,552,012MCDK776,LimeLight,66,60.02999999999997,1,1,0,0,1,Low-Value
559,559,012QOKK113,LimeLight,0,79.96,2,2,1,1,4,Mid-Value
560,560,012QPKE887,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
571,571,013CXMJ572,LimeLight,89,20.02,1,1,0,0,1,Low-Value
576,576,013MUXZ573,LimeLight,0,69.83,1,2,0,1,3,Mid-Value
579,579,013OGQF693,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
581,581,013QGID965,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
583,583,013QOEF984,LimeLight,0,99.95,1,2,0,1,3,Mid-Value
585,585,013SJGK748,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
589,589,013VHQH230,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
594,594,014CMHT778,LimeLight,0,39.96,1,2,0,0,2,Low-Value
596,596,014DOWC205,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
597,597,014ESGL019,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
602,602,014EZXN555,LimeLight,0,220.12,1,2,0,3,5,High-Value
604,604,014HDED385,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
609,609,014LWTH723,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
610,610,014NKXD507,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
620,620,014XEPR381,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
622,622,014ZCIU221,LimeLight,22,154.8,1,2,0,2,4,Mid-Value
628,628,015DQGV741,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
629,629,015EBAN782,LimeLight,0,100.05,1,2,0,1,3,Mid-Value
631,631,015FOOP690,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
640,640,015MDTG749,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
644,644,015NWAR843,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
647,647,015PWDY650,LimeLight,0,160.0,2,2,1,2,5,High-Value
650,650,015QKAZ245,LimeLight,23,100.0,1,2,0,1,3,Mid-Value
653,653,015SHKO155,LimeLight,0,140.14,1,2,0,2,4,Mid-Value
654,654,015TINI387,LimeLight,0,139.86,1,2,0,2,4,Mid-Value
660,660,015YDBL808,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
664,664,016CMYY649,LimeLight,121,79.99,1,0,0,1,1,Low-Value
665,665,016DSUS372,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
667,667,016EDKI066,LimeLight,0,120.06,1,2,0,2,4,Mid-Value
670,670,016FXDT429,LimeLight,0,160.0,3,2,2,2,6,High-Value
679,679,016JBWX743,LimeLight,171,0.0,1,0,0,0,0,Low-Value
684,684,016LHTI895,LimeLight,0,140.0,2,2,1,2,5,High-Value
686,686,016LJYF537,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
688,688,016LXUI104,LimeLight,119,40.02,1,0,0,0,0,Low-Value
692,692,016OYMJ988,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
693,693,016PARE178,LimeLight,0,80.04,1,2,0,1,3,Mid-Value
696,696,016PJBD893,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
704,704,016UWSQ897,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
710,710,016XRMB711,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
711,711,016YHAR018,LimeLight,70,39.97999999999999,1,1,0,0,1,Low-Value
712,712,016YIWI121,LimeLight,0,140.07000000000002,2,2,1,2,5,High-Value
715,715,016ZEND478,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
718,718,017FCHV079,LimeLight,0,120.0,1,2,0,2,4,Mid-Value
721,721,017FTCG762,LimeLight,0,40.0,1,2,0,0,2,Low-Value
725,725,017IYEH485,LimeLight,0,99.97,1,2,0,1,3,Mid-Value
730,730,017LBSF882,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
735,735,017QJQY473,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
741,741,017SOQL997,LimeLight,0,140.14,2,2,1,2,5,High-Value
751,751,017WANR517,LimeLight,0,79.97999999999999,1,2,0,1,3,Mid-Value
756,756,017XQNJ663,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
758,758,017ZIUW421,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
761,761,017ZUOQ892,LimeLight,103,0.0,2,1,1,0,2,Low-Value
766,766,018CLYH740,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
767,767,018CMLX700,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
775,775,018ILID103,LimeLight,0,167.76999999999998,1,2,0,2,4,Mid-Value
778,778,018JQWM859,LimeLight,0,20.01,2,2,1,0,3,Mid-Value
781,781,018JYUQ162,LimeLight,0,140.07000000000002,3,2,2,2,6,High-Value
790,790,018OGLN087,LimeLight,0,51.72,1,2,0,0,2,Low-Value
794,794,018SYTG759,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
795,795,018TEQB415,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
802,802,018WPHQ081,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
805,805,019DEBX261,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
808,808,019EJNL218,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
809,809,019GAMZ891,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
811,811,019GZNM737,LimeLight,0,59.93,2,2,1,0,3,Mid-Value
813,813,019HUZO580,LimeLight,0,119.94,1,2,0,2,4,Mid-Value
818,818,019IZYK997,LimeLight,0,79.99,2,2,1,1,4,Mid-Value
821,821,019KWEW913,LimeLight,22,159.98000000000002,2,2,1,2,5,High-Value
836,836,019RMYF977,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
839,839,019TJNF293,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
844,844,019WCFM523,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
847,847,019XAQV659,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
848,848,019XKSH906,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
849,849,019XLLK713,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
875,875,020LIWM012,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
876,876,020LLQN909,LimeLight,110,40.0,1,0,0,0,0,Low-Value
884,884,020MTYR398,LimeLight,89,139.95,1,1,0,2,3,Mid-Value
885,885,020NCJW242,LimeLight,50,100.05,1,1,0,1,2,Low-Value
906,906,020TWZC657,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
907,907,020USXG483,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
909,909,020VLEL966,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
919,919,021BQNT823,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
920,920,021CLRG434,LimeLight,0,170.82,1,2,0,2,4,Mid-Value
921,921,021CZRU553,LimeLight,0,140.14,1,2,0,2,4,Mid-Value
926,926,021HMTS617,LimeLight,0,40.0,1,2,0,0,2,Low-Value
928,928,021IKLM931,LimeLight,17,79.99,1,2,0,1,3,Mid-Value
932,932,021LHHP368,LimeLight,15,99.95,1,2,0,1,3,Mid-Value
934,934,021LSUI847,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
935,935,021MSTM422,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
936,936,021OGPA308,LimeLight,175,0.0,1,0,0,0,0,Low-Value
937,937,021OJSG472,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
941,941,021QHIP232,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
945,945,021SOMG129,LimeLight,0,119.94,1,2,0,2,4,Mid-Value
953,953,021XWKH942,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
954,954,021YQHK510,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
955,955,021ZINA742,LimeLight,0,79.92,1,2,0,1,3,Mid-Value
958,958,022AJRP140,LimeLight,0,140.21,1,2,0,2,4,Mid-Value
962,962,022BDWY395,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
967,967,022DEEO879,LimeLight,0,100.0,1,2,0,1,3,Mid-Value
971,971,022EUFS929,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
976,976,022GXME748,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
977,977,022HBGW840,LimeLight,0,139.79,2,2,1,2,5,High-Value
980,980,022HRQF479,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
981,981,022IGZS622,LimeLight,0,79.99,2,2,1,1,4,Mid-Value
984,984,022LCFG185,LimeLight,0,40.0,1,2,0,0,2,Low-Value
985,985,022MTDU350,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
989,989,022ODOM133,LimeLight,18,100.05,1,2,0,1,3,Mid-Value
991,991,022ORAK664,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
1000,1000,022VSBY924,LimeLight,0,39.98,2,2,1,0,3,Mid-Value
1002,1002,022WSQP330,LimeLight,0,99.98999999999998,2,2,1,1,4,Mid-Value
1008,1008,022XZGJ976,LimeLight,0,120.0,1,2,0,2,4,Mid-Value
1014,1014,023AEMD568,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1016,1016,023CNYC765,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
1031,1031,023JYNY103,LimeLight,0,96.46,1,2,0,1,3,Mid-Value
1039,1039,023NBMO154,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1043,1043,023OBAE790,LimeLight,0,119.94,1,2,0,2,4,Mid-Value
1046,1046,023QYNL524,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
1050,1050,023TUXH308,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1053,1053,023YBKB436,LimeLight,84,220.8,1,1,0,3,4,Mid-Value
1057,1057,023ZPCU442,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1061,1061,024BTWL734,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1062,1062,024CDKX638,LimeLight,0,120.0,1,2,0,2,4,Mid-Value
1064,1064,024EAID291,LimeLight,0,139.92999999999998,2,2,1,2,5,High-Value
1080,1080,024OVKF458,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1083,1083,024PZOR538,LimeLight,0,139.98000000000002,1,2,0,2,4,Mid-Value
1088,1088,024RHDD920,LimeLight,0,139.92999999999998,2,2,1,2,5,High-Value
1095,1095,024URLQ304,LimeLight,0,60.0,1,2,0,0,2,Low-Value
1096,1096,024VVIC434,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1097,1097,024XAZB966,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
1098,1098,024XMTM051,LimeLight,0,139.86,2,2,1,2,5,High-Value
1104,1104,025CGZS202,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
1116,1116,025GTYJ034,LimeLight,174,20.0,1,0,0,0,0,Low-Value
1120,1120,025ITFZ496,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
1121,1121,025IVWT679,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
1123,1123,025LFEI109,LimeLight,0,140.0,2,2,1,2,5,High-Value
1126,1126,025MEBN694,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
1128,1128,025NQAL295,LimeLight,33,99.95,1,2,0,1,3,Mid-Value
1134,1134,025TQUE999,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
1136,1136,025UMCY722,LimeLight,0,13.88,1,2,0,0,2,Low-Value
1138,1138,025XILG335,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
1149,1149,026DSWO376,LimeLight,0,99.85,1,2,0,1,3,Mid-Value
1151,1151,026EMLC497,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1156,1156,026IMJQ245,LimeLight,0,140.07000000000002,2,2,1,2,5,High-Value
1159,1159,026JUGA498,LimeLight,180,0.0,1,0,0,0,0,Low-Value
1165,1165,026OHPD321,LimeLight,0,119.88,1,2,0,2,4,Mid-Value
1167,1167,026OJXT664,LimeLight,0,20.01,1,2,0,0,2,Low-Value
1168,1168,026OZCH655,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
1170,1170,026PNDH746,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
1173,1173,026RJOR814,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
1177,1177,026SHHC102,LimeLight,111,39.95999999999998,2,0,1,0,1,Low-Value
1180,1180,026TCAF188,LimeLight,0,140.0,3,2,2,2,6,High-Value
1183,1183,026TMFB727,LimeLight,0,140.07000000000002,2,2,1,2,5,High-Value
1187,1187,026WCBJ610,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1189,1189,026XKSR079,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
1192,1192,026XXER432,LimeLight,67,59.96999999999997,3,1,2,0,3,Mid-Value
1195,1195,026YHQQ997,LimeLight,38,210.73,1,1,0,3,4,Mid-Value
1200,1200,027GTSJ413,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1206,1206,027INHN718,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
1209,1209,027JSJR650,LimeLight,0,39.98,1,2,0,0,2,Low-Value
1213,1213,027LKCD084,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
1218,1218,027QGJI157,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
1224,1224,027SHZU688,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1226,1226,027UIEB629,LimeLight,0,29.56,1,2,0,0,2,Low-Value
1227,1227,027UYBT302,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
1230,1230,027WNFP029,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
1235,1235,027XRPZ616,LimeLight,101,40.02000000000001,1,1,0,0,1,Low-Value
1236,1236,027XZAS168,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
1239,1239,027YLVV098,LimeLight,0,139.92999999999998,1,2,0,2,4,Mid-Value
1241,1241,028BGKV321,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
1242,1242,028BZES179,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
1252,1252,028JVFL091,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
1260,1260,028MKPI360,LimeLight,74,79.91999999999999,1,1,0,1,2,Low-Value
1263,1263,028MQNF994,LimeLight,0,80.0,2,2,1,1,4,Mid-Value
1267,1267,028NIYO825,LimeLight,33,0.0,1,2,0,0,2,Low-Value
1269,1269,028OKYV684,LimeLight,29,100.0,1,2,0,1,3,Mid-Value
1279,1279,028VRNT831,LimeLight,0,80.02,1,2,0,1,3,Mid-Value
1282,1282,028YDML976,LimeLight,124,0.0,1,0,0,0,0,Low-Value
1286,1286,028YYJQ200,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
1288,1288,028ZHFX355,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
1290,1290,029AFLP481,LimeLight,66,79.99,1,1,0,1,2,Low-Value
1300,1300,029FQHZ498,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
1311,1311,029MONS807,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
1313,1313,029MWBW680,LimeLight,30,100.0,1,2,0,1,3,Mid-Value
1318,1318,029OQQF991,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1321,1321,029PEPP791,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
1324,1324,029QTGK700,LimeLight,0,99.95,1,2,0,1,3,Mid-Value
1330,1330,029TIYB373,LimeLight,91,277.61,1,1,0,3,4,Mid-Value
1332,1332,029UXLP759,LimeLight,0,140.0,1,2,0,2,4,Mid-Value
1334,1334,029WHZE211,LimeLight,0,79.98,1,2,0,1,3,Mid-Value
1338,1338,029YYCK736,LimeLight,0,80.04,1,2,0,1,3,Mid-Value
1346,1346,030CQBR544,LimeLight,0,60.0,1,2,0,0,2,Low-Value
1347,1347,030CUNR849,LimeLight,131,40.0,1,0,0,0,0,Low-Value
1350,1350,030DYDJ141,LimeLight,0,79.99,1,2,0,1,3,Mid-Value
1351,1351,030EFIE253,LimeLight,0,140.07000000000002,1,2,0,2,4,Mid-Value
1353,1353,030GUCT701,LimeLight,0,20.02,1,2,0,0,2,Low-Value
1356,1356,030HDNY468,LimeLight,93,119.71,2,1,1,2,4,Mid-Value
1357,1357,030HJKU811,LimeLight,0,199.94,1,2,0,3,5,High-Value
1358,1358,030HTEC414,LimeLight,0,80.0,1,2,0,1,3,Mid-Value
