,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
532,016GAJZ406,LimeLight,107,64.44,1,1,0,1,2,Low-Value
542,016JBWX743,LimeLight,157,120.0,1,0,0,2,2,Low-Value
546,016LHTI895,LimeLight,69,60.0,1,1,0,1,2,Low-Value
547,016LJYF537,LimeLight,22,79.98,1,2,0,1,3,Mid-Value
560,016XHQX010,LimeLight,133,143.11,1,0,0,3,3,Mid-Value
562,016YHAR018,LimeLight,128,39.98,1,0,0,0,0,Low-Value
563,016YIWI121,LimeLight,169,20.0,1,0,0,0,0,Low-Value
569,017FTCG762,LimeLight,67,59.97,1,1,0,1,2,Low-Value
572,017IYEH485,LimeLight,19,20.0,1,2,0,0,2,Low-Value
574,017JQZU523,LimeLight,142,40.02,2,0,1,0,1,Low-Value
577,017LBSF882,LimeLight,109,80.0,1,1,0,1,2,Low-Value
581,017QJQY473,LimeLight,10,20.0,1,2,0,0,2,Low-Value
599,017XQNJ663,LimeLight,5,19.99,1,2,0,0,2,Low-Value
601,017ZIUW421,LimeLight,151,80.0,1,0,0,1,1,Low-Value
603,018CMLX700,LimeLight,103,80.0,1,1,0,1,2,Low-Value
609,018ILID103,LimeLight,65,40.71,1,1,0,0,1,Low-Value
612,018JYUQ162,LimeLight,16,20.01,2,2,1,0,3,Mid-Value
621,018SYTG759,LimeLight,34,80.02,1,2,0,1,3,Mid-Value
622,018TEQB415,LimeLight,26,7.13,1,2,0,0,2,Low-Value
626,018WPHQ081,LimeLight,84,28.29,1,1,0,0,1,Low-Value
631,019EJNL218,LimeLight,114,80.04,1,1,0,1,2,Low-Value
639,019IZYK997,LimeLight,169,79.99,1,0,0,1,1,Low-Value
642,019KWEW913,LimeLight,89,159.98000000000002,1,1,0,3,4,Mid-Value
643,019MXNP037,LimeLight,178,51.17999999999999,1,0,0,1,1,Low-Value
655,019TJNF293,LimeLight,136,100.0,1,0,0,2,2,Low-Value
660,019XKSH906,LimeLight,137,100.05,1,0,0,2,2,Low-Value
681,020LLQN909,LimeLight,93,80.0,1,1,0,1,2,Low-Value
686,020MTYR398,LimeLight,15,19.99,1,2,0,0,2,Low-Value
687,020NCJW242,LimeLight,146,100.05,1,0,0,2,2,Low-Value
705,020TWZC657,LimeLight,173,79.99,1,0,0,1,1,Low-Value
706,020USXG483,LimeLight,147,99.95,1,0,0,2,2,Low-Value
708,020VLEL966,LimeLight,80,79.99,1,1,0,1,2,Low-Value
715,021CLRG434,LimeLight,95,160.0,1,1,0,3,4,Mid-Value
716,021CYYK192,LimeLight,71,79.99,1,1,0,1,2,Low-Value
717,021CZRU553,LimeLight,38,100.04,1,2,0,2,4,Mid-Value
720,021HMTS617,LimeLight,126,79.99,1,0,0,1,1,Low-Value
724,021LHHP368,LimeLight,155,119.94,1,0,0,2,2,Low-Value
726,021MSTM422,LimeLight,28,39.99,1,2,0,0,2,Low-Value
727,021OGPA308,LimeLight,153,80.02,1,0,0,1,1,Low-Value
728,021OJSG472,LimeLight,126,100.0,1,0,0,2,2,Low-Value
730,021QHIP232,LimeLight,19,79.96,1,2,0,1,3,Mid-Value
734,021SOMG129,LimeLight,99,40.0,1,1,0,0,1,Low-Value
741,022AJRP140,LimeLight,98,80.12,1,1,0,1,2,Low-Value
745,022BDWY395,LimeLight,59,80.0,1,1,0,1,2,Low-Value
750,022DEEO879,LimeLight,70,80.01,1,1,0,1,2,Low-Value
754,022EUFS929,LimeLight,103,80.0,2,1,1,1,3,Mid-Value
759,022HRQF479,LimeLight,76,60.0,1,1,0,1,2,Low-Value
761,022KRBF944,LimeLight,94,37.68,1,1,0,0,1,Low-Value
762,022LCFG185,LimeLight,157,99.18,1,0,0,2,2,Low-Value
766,022ORAK664,LimeLight,24,44.06,1,2,0,0,2,Low-Value
776,022XZGJ976,LimeLight,74,39.06,1,1,0,0,1,Low-Value
782,023CNYC765,LimeLight,65,59.97,2,1,1,1,3,Mid-Value
796,023JACZ720,LimeLight,32,100.0,2,2,1,2,5,High-Value
798,023JYNY103,LimeLight,141,100.05,1,0,0,2,2,Low-Value
801,023KSTZ127,LimeLight,137,59.75,2,0,1,1,2,Low-Value
807,023QYNL524,LimeLight,132,80.0,1,0,0,1,1,Low-Value
810,023TUXH308,LimeLight,151,120.0,2,0,1,2,3,Mid-Value
813,023YBKB436,LimeLight,119,64.32,1,0,0,1,1,Low-Value
817,023ZPCU442,LimeLight,2,20.0,1,2,0,0,2,Low-Value
821,024BTWL734,LimeLight,160,104.52,1,0,0,2,2,Low-Value
822,024CDKX638,LimeLight,14,120.0,1,2,0,2,4,Mid-Value
830,024JVTH723,LimeLight,67,60.03,1,1,0,1,2,Low-Value
833,024KCAD609,LimeLight,77,80.0,3,1,2,1,4,Mid-Value
840,024OVKF458,LimeLight,22,100.08,1,2,0,2,4,Mid-Value
843,024PZOR538,LimeLight,129,80.01,1,0,0,1,1,Low-Value
845,024QQRE334,LimeLight,70,80.0,2,1,1,1,3,Mid-Value
848,024RHDD920,LimeLight,109,79.96,2,1,1,1,3,Mid-Value
853,024URLQ304,LimeLight,128,40.02,1,0,0,0,0,Low-Value
854,024VVIC434,LimeLight,94,79.99,1,1,0,1,2,Low-Value
855,024XEGX467,LimeLight,50,79.99,1,2,0,1,3,Mid-Value
860,025CGZS202,LimeLight,2,80.01,1,2,0,1,3,Mid-Value
868,025GTYJ034,LimeLight,126,120.1,1,0,0,2,2,Low-Value
870,025IVWT679,LimeLight,12,159.99,1,2,0,3,5,High-Value
871,025LFEI109,LimeLight,28,20.0,1,2,0,0,2,Low-Value
873,025MEBN694,LimeLight,174,120.06,1,0,0,2,2,Low-Value
879,025RXMR903,LimeLight,30,59.96,1,2,0,1,3,Mid-Value
882,025UMCY722,LimeLight,93,80.0,1,1,0,1,2,Low-Value
886,025XILG335,LimeLight,173,80.01,1,0,0,1,1,Low-Value
891,026DSWO376,LimeLight,23,39.98,1,2,0,0,2,Low-Value
893,026EMLC497,LimeLight,91,80.0,1,1,0,1,2,Low-Value
899,026JUGA498,LimeLight,162,120.0,1,0,0,2,2,Low-Value
902,026OHPD321,LimeLight,135,100.15,1,0,0,2,2,Low-Value
904,026OJXT664,LimeLight,110,40.0,1,1,0,0,1,Low-Value
905,026OZCH655,LimeLight,102,52.62,1,1,0,1,2,Low-Value
907,026PNDH746,LimeLight,121,99.95,1,0,0,2,2,Low-Value
912,026RJOR814,LimeLight,65,79.96,1,1,0,1,2,Low-Value
920,026TMFB727,LimeLight,85,60.03,2,1,1,1,3,Mid-Value
924,026WCBJ610,LimeLight,26,19.99,1,2,0,0,2,Low-Value
926,026XKSR079,LimeLight,64,79.92,1,1,0,1,2,Low-Value
931,026YHQQ997,LimeLight,25,80.01,1,2,0,1,3,Mid-Value
937,027GTSJ413,LimeLight,52,34.02,1,2,0,0,2,Low-Value
945,027LKCD084,LimeLight,179,80.0,1,0,0,1,1,Low-Value
955,027UIEB629,LimeLight,62,29.56,1,1,0,0,1,Low-Value
956,027UYBT302,LimeLight,111,74.16,1,1,0,1,2,Low-Value
959,027WIAZ178,LimeLight,14,80.0,2,2,1,1,4,Mid-Value
965,027XZAS168,LimeLight,13,120.06,1,2,0,2,4,Mid-Value
968,027YLVV098,LimeLight,47,80.0,1,2,0,1,3,Mid-Value
969,028BGKV321,LimeLight,83,80.01,1,1,0,1,2,Low-Value
970,028BZES179,LimeLight,177,120.06,1,0,0,2,2,Low-Value
977,028JVFL091,LimeLight,54,40.02,1,2,0,0,2,Low-Value
983,028MKPI360,LimeLight,146,99.9,1,0,0,2,2,Low-Value
990,028OKYV684,LimeLight,138,100.0,1,0,0,2,2,Low-Value
992,028PVHM115,LimeLight,168,120.18,1,0,0,2,2,Low-Value
998,028VRNT831,LimeLight,178,80.02,1,0,0,1,1,Low-Value
1005,028YYJQ200,LimeLight,57,79.99,2,2,1,1,4,Mid-Value
1006,028ZHFX355,LimeLight,166,80.01,1,0,0,1,1,Low-Value
1008,029AFLP481,LimeLight,92,79.99,1,1,0,1,2,Low-Value
1014,029FQHZ498,LimeLight,83,79.98,1,1,0,1,2,Low-Value
1023,029MWBW680,LimeLight,2,20.0,1,2,0,0,2,Low-Value
1027,029OQQF991,LimeLight,104,40.32,1,1,0,0,1,Low-Value
1030,029PEPP791,LimeLight,96,60.0,1,1,0,1,2,Low-Value
1036,029TIYB373,LimeLight,166,120.12,1,0,0,2,2,Low-Value
1038,029UXLP759,LimeLight,129,100.0,1,0,0,2,2,Low-Value
1039,029WHZE211,LimeLight,152,65.46000000000001,1,0,0,1,1,Low-Value
1042,029ZDFO054,LimeLight,159,120.06,1,0,0,2,2,Low-Value
1048,030CQBR544,LimeLight,106,120.04,1,1,0,2,3,Mid-Value
1049,030CUNR849,LimeLight,83,60.0,1,1,0,1,2,Low-Value
1054,030HDNY468,LimeLight,117,59.97,1,1,0,1,2,Low-Value
1055,030HJKU811,LimeLight,41,99.9,1,2,0,2,4,Mid-Value
1056,030HTEC414,LimeLight,119,79.99,1,0,0,1,1,Low-Value
1068,030RGUW544,LimeLight,78,60.03,1,1,0,1,2,Low-Value
1073,030WRAI043,LimeLight,96,60.03,1,1,0,1,2,Low-Value
1074,030YMJC402,LimeLight,23,14.52,1,2,0,0,2,Low-Value
1075,031ABWA973,LimeLight,56,80.0,1,2,0,1,3,Mid-Value
1077,031BPCV774,LimeLight,110,60.0,1,1,0,1,2,Low-Value
1095,031SBKW341,LimeLight,93,79.96,2,1,1,1,3,Mid-Value
1096,031SBNW862,LimeLight,66,60.03,1,1,0,1,2,Low-Value
1098,031UHYO005,LimeLight,62,80.01,1,1,0,1,2,Low-Value
1108,031XMQM855,LimeLight,106,80.0,1,1,0,1,2,Low-Value
1110,031YKUM285,LimeLight,89,48.2,1,1,0,1,2,Low-Value
1111,031ZGOE516,LimeLight,116,59.94,1,1,0,1,2,Low-Value
1113,032BKUP986,LimeLight,37,119.98,2,2,1,2,5,High-Value
1118,032EOMX154,LimeLight,17,40.0,1,2,0,0,2,Low-Value
1121,032GFSZ055,LimeLight,130,40.02,1,0,0,0,0,Low-Value
1129,032ORNY757,LimeLight,135,159.99,1,0,0,3,3,Mid-Value
1135,032TAGO264,LimeLight,79,80.08,2,1,1,1,3,Mid-Value
1137,032VYRN972,LimeLight,81,79.97,1,1,0,1,2,Low-Value
1139,032WKQF887,LimeLight,28,20.0,1,2,0,0,2,Low-Value
1150,033DNHG900,LimeLight,24,20.01,1,2,0,0,2,Low-Value
1151,033EHXR794,LimeLight,35,80.01,1,2,0,1,3,Mid-Value
1152,033FBKL156,LimeLight,142,100.1,1,0,0,2,2,Low-Value
1153,033FJIK272,LimeLight,53,100.0,2,2,1,2,5,High-Value
1155,033GJAZ701,LimeLight,49,100.01,1,2,0,2,4,Mid-Value
1158,033ILWH318,LimeLight,29,36.76,1,2,0,0,2,Low-Value
1161,033NQNT451,LimeLight,127,80.0,1,0,0,1,1,Low-Value
1167,033QVNP959,LimeLight,149,45.75,1,0,0,1,1,Low-Value
1169,033TZRO087,LimeLight,174,79.99,2,0,1,1,2,Low-Value
1171,033ZIDK420,LimeLight,16,11.83,2,2,1,0,3,Mid-Value
1174,033ZTUZ317,LimeLight,18,20.0,2,2,1,0,3,Mid-Value
1183,034EWOC123,LimeLight,175,120.0,1,0,0,2,2,Low-Value
1186,034IHWS333,LimeLight,45,40.04,1,2,0,0,2,Low-Value
1189,034KGAH110,LimeLight,28,19.99,1,2,0,0,2,Low-Value
1193,034NMIU755,LimeLight,137,80.0,1,0,0,1,1,Low-Value
1199,034QQFZ014,LimeLight,72,29.4,1,1,0,0,1,Low-Value
1201,034VPTV564,LimeLight,58,80.01,1,1,0,1,2,Low-Value
1202,034WPTW781,LimeLight,30,20.0,1,2,0,0,2,Low-Value
1207,034ZCHN662,LimeLight,120,80.0,1,0,0,1,1,Low-Value
1212,035CZQP032,LimeLight,21,119.94,1,2,0,2,4,Mid-Value
1214,035EPCC845,LimeLight,48,80.0,2,2,1,1,4,Mid-Value
1216,035EXOR966,LimeLight,6,20.0,1,2,0,0,2,Low-Value
1219,035FYOX184,LimeLight,133,80.01,1,0,0,1,1,Low-Value
1222,035GWAR424,LimeLight,144,64.0,1,0,0,1,1,Low-Value
1234,035NDQV170,LimeLight,171,20.0,2,0,1,0,1,Low-Value
1237,035PICB281,LimeLight,141,100.0,1,0,0,2,2,Low-Value
1245,035WQYI890,LimeLight,29,20.01,1,2,0,0,2,Low-Value
1249,036ABJI056,LimeLight,82,80.03,1,1,0,1,2,Low-Value
1250,036ACEB416,LimeLight,63,60.0,1,1,0,1,2,Low-Value
1251,036AQPQ351,LimeLight,10,27.97,1,2,0,0,2,Low-Value
1252,036BDMT224,LimeLight,2,79.99,2,2,1,1,4,Mid-Value
1264,036LEWQ487,LimeLight,9,60.0,1,2,0,1,3,Mid-Value
1273,036SKJJ399,LimeLight,50,100.15,1,2,0,2,4,Mid-Value
1277,036WKAW054,LimeLight,92,79.96,1,1,0,1,2,Low-Value
1281,036XCKF063,LimeLight,129,100.05,1,0,0,2,2,Low-Value
1293,037OKLF823,LimeLight,43,40.0,1,2,0,0,2,Low-Value
1298,037POEL186,LimeLight,50,40.02,3,2,2,0,4,Mid-Value
1300,037RYOD470,LimeLight,173,79.99,1,0,0,1,1,Low-Value
1307,037WAOQ204,LimeLight,129,76.85,1,0,0,1,1,Low-Value
1313,037XGYH370,LimeLight,101,80.01,1,1,0,1,2,Low-Value
1321,038ICXZ103,LimeLight,75,87.24000000000001,1,1,0,2,3,Mid-Value
1325,038OYED650,LimeLight,40,39.96,1,2,0,0,2,Low-Value
1330,038SIWK721,LimeLight,73,80.01,1,1,0,1,2,Low-Value
1331,038SNKY611,LimeLight,72,80.04,1,1,0,1,2,Low-Value
1335,038UCOU281,LimeLight,168,120.0,1,0,0,2,2,Low-Value
1337,038VWAH719,LimeLight,87,60.03,1,1,0,1,2,Low-Value
1339,038XOVB561,LimeLight,49,14.74,1,2,0,0,2,Low-Value
1348,039DSHW728,LimeLight,6,79.98,1,2,0,1,3,Mid-Value
1351,039HMQP553,LimeLight,143,100.0,1,0,0,2,2,Low-Value
1357,039JUPM327,LimeLight,123,100.0,1,0,0,2,2,Low-Value
1371,039UXYK028,LimeLight,176,119.94,1,0,0,2,2,Low-Value
1373,039XUVN664,LimeLight,40,40.0,1,2,0,0,2,Low-Value
1375,039ZKHB927,LimeLight,32,79.99,1,2,0,1,3,Mid-Value
1376,040ACCQ364,LimeLight,169,79.99,1,0,0,1,1,Low-Value
1377,040BUFV643,LimeLight,111,80.0,1,1,0,1,2,Low-Value
1379,040EYFR027,LimeLight,37,100.1,1,2,0,2,4,Mid-Value
1380,040EZOF795,LimeLight,51,120.0,1,2,0,2,4,Mid-Value
1381,040FDAV921,LimeLight,135,80.01,2,0,1,1,2,Low-Value
1383,040FXWR335,LimeLight,135,40.04,2,0,1,0,1,Low-Value
1393,040OQAH230,LimeLight,138,80.0,1,0,0,1,1,Low-Value
1399,040WUXS551,LimeLight,36,100.05,1,2,0,2,4,Mid-Value
1407,041ASLP853,LimeLight,154,120.0,1,0,0,2,2,Low-Value
1413,041HWLN526,LimeLight,69,80.01,1,1,0,1,2,Low-Value
1416,041IFMC934,LimeLight,173,119.94,3,0,2,2,4,Mid-Value
1420,041JUJZ223,LimeLight,111,60.03,1,1,0,1,2,Low-Value
1424,041NEPR258,LimeLight,33,80.01,1,2,0,1,3,Mid-Value
1427,041QIOZ113,LimeLight,158,70.63,1,0,0,1,1,Low-Value
1431,041TWQK717,LimeLight,22,120.06,1,2,0,2,4,Mid-Value
1441,042DDAW232,LimeLight,29,32.49,1,2,0,0,2,Low-Value
1447,042IZOC363,LimeLight,61,54.510000000000005,1,1,0,1,2,Low-Value
1448,042LTSM154,LimeLight,156,79.99,1,0,0,1,1,Low-Value
1451,042ODHP935,LimeLight,79,120.03,1,1,0,2,3,Mid-Value
1456,042SUCX892,LimeLight,54,68.17,1,2,0,1,3,Mid-Value
1482,043NSQA458,LimeLight,30,79.99,2,2,1,1,4,Mid-Value
1485,043SRHS598,LimeLight,124,40.02,3,0,2,0,2,Low-Value
1491,043UKXP254,LimeLight,18,93.73,2,2,1,2,5,High-Value
1498,044BBDU751,LimeLight,19,140.01999999999998,1,2,0,3,5,High-Value
1510,044KQCA273,LimeLight,153,69.9,1,0,0,1,1,Low-Value
1519,044UDZO089,LimeLight,55,100.05,1,2,0,2,4,Mid-Value
1522,044WWWO052,LimeLight,168,101.64,1,0,0,2,2,Low-Value
1528,045BPCS856,LimeLight,93,77.32,2,1,1,1,3,Mid-Value
1531,045CHOU779,LimeLight,141,100.0,1,0,0,2,2,Low-Value
1532,045CLSB235,LimeLight,150,80.0,1,0,0,1,1,Low-Value
1533,045CYTI920,LimeLight,53,20.0,1,2,0,0,2,Low-Value
1535,045DZGD615,LimeLight,132,79.99,1,0,0,1,1,Low-Value
1539,045GBUM624,LimeLight,117,80.0,2,1,1,1,3,Mid-Value
1544,045JSZF184,LimeLight,38,80.0,1,2,0,1,3,Mid-Value
1546,045LXQG286,LimeLight,101,80.0,1,1,0,1,2,Low-Value
1547,045NHGU944,LimeLight,110,60.06,1,1,0,1,2,Low-Value
1554,045WPGR427,LimeLight,105,80.0,1,1,0,1,2,Low-Value
1556,045XYYD385,LimeLight,12,46.76,1,2,0,1,3,Mid-Value
1563,046BOOK097,LimeLight,155,20.01,1,0,0,0,0,Low-Value
1564,046BYDU659,LimeLight,137,80.0,1,0,0,1,1,Low-Value
1566,046DPUC999,LimeLight,12,60.03,1,2,0,1,3,Mid-Value
1573,046HFOU772,LimeLight,116,60.0,2,1,1,1,3,Mid-Value
1576,046IYGL389,LimeLight,87,80.0,1,1,0,1,2,Low-Value
1578,046JXNZ767,LimeLight,24,120.0,1,2,0,2,4,Mid-Value
1590,046VMGK505,LimeLight,14,10.43,1,2,0,0,2,Low-Value
1602,047DFPJ922,LimeLight,53,89.87,2,2,1,2,5,High-Value
1608,047FDAX179,LimeLight,10,20.01,1,2,0,0,2,Low-Value
1611,047GGUB429,LimeLight,81,53.52,1,1,0,1,2,Low-Value
1614,047ISKD661,LimeLight,65,79.98,1,1,0,1,2,Low-Value
1617,047NLOH599,LimeLight,154,120.0,1,0,0,2,2,Low-Value
1628,047WTJD668,LimeLight,0,80.01,1,2,0,1,3,Mid-Value
1635,048ASTQ644,LimeLight,169,20.0,1,0,0,0,0,Low-Value
1636,048BBCX771,LimeLight,2,92.11,1,2,0,2,4,Mid-Value
