,ID,BRAND,RECENCY,REVENUE,SUB,DATE,FREQUENCY,RecencyCluster,FrequencyCluster,OverallScore,RevenueCluster,Segment
24,000TMFK922,CineQuest,0,99.008547008547,['paid monthly'],2023-06-30,2,2,1,6,3,High-Value
25,000TMFK922,Pulse,0,41.52206422018349,['paid annual'],2023-06-30,2,2,1,4,1,Mid-Value
26,000TOJT688,LimeLight,0,119.07320547945206,['paid monthly'],2023-06-30,2,2,1,6,3,High-Value
27,000TOJT688,RetroReel,0,175.2196774193549,['expired monthly'],2023-06-30,2,2,1,7,4,High-Value
28,000TZZT543,RetroReel,0,178.5205479452055,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
29,000UCAC008,CineQuest,0,92.51053977272728,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
30,000UJBA972,RetroReel,0,178.4610410958904,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
31,000ULLT010,RetroReel,0,178.5205479452055,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
32,000UPJQ162,RetroReel,0,59.511808219178086,['paid annual'],2023-06-30,1,2,0,4,2,Mid-Value
33,000UQTO352,LimeLight,81,60.06,['paid monthly'],2023-04-10,2,1,1,4,2,Mid-Value
34,000UQTO352,Pulse,0,23.83123595505618,['discounted annual'],2023-06-30,2,2,1,3,0,Mid-Value
35,000UTKY023,Pulse,0,52.41628959276018,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
36,000VLET636,RetroReel,121,0.0,['paid annual'],2023-03-01,1,0,0,0,0,Low-Value
37,000XORN373,ChillStream,0,49.594,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
38,000XYZK575,Pulse,0,13.253012048192772,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
39,000YBDY680,Pulse,1,40.02,['trial monthly'],2023-06-29,1,2,0,3,1,Mid-Value
40,000YRER318,CineQuest,0,54.53144230769231,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
41,000YUBG396,RetroReel,0,188.19815028901732,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
42,000YWTK044,Pulse,0,24.799479452054797,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
43,000YZXN802,Pulse,0,26.921120000000002,"['discounted monthly', 'paid monthly']",2023-06-30,1,2,0,2,0,Low-Value
44,000ZBDO909,LimeLight,0,119.013698630137,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
45,001AJCT513,ChillStream,0,165.81721611721613,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
46,001ARPK279,ChillStream,0,236.70850000000002,"['paid monthly', 'discounted monthly']",2023-06-30,1,2,0,7,5,High-Value
47,001AVSB880,LimeLight,0,119.013698630137,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
48,001BZBX615,RetroReel,0,59.50684931506849,['paid annual'],2023-06-30,1,2,0,4,2,Mid-Value
49,001DLTR482,CineQuest,0,3.518324607329843,['paid monthly'],2023-06-30,1,2,0,2,0,Low-Value
50,001FSQJ082,ChillStream,0,161.16438356164383,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
51,001GBJC687,LimeLight,0,119.13271232876713,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
52,001GUVF664,LimeLight,0,75.03528497409327,['paid annual'],2023-06-30,1,2,0,4,2,Mid-Value
53,001JDME989,LimeLight,0,6.432160804020101,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
54,001JYOY737,LimeLight,126,40.0,['paid monthly'],2023-02-24,1,0,0,1,1,Low-Value
55,001KIWF507,RetroReel,0,178.4610410958904,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
56,001LPDP619,Pulse,0,47.664986301369865,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
57,001MJIH685,Pulse,0,42.69721698113207,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
58,001NOKZ662,CineQuest,0,29.753424657534246,['paid annual'],2023-06-30,2,2,1,3,0,Mid-Value
59,001NOKZ662,RetroReel,0,178.4610410958904,['paid monthly'],2023-06-30,2,2,1,7,4,High-Value
60,001NUQI691,ChillStream,0,28.14647887323944,['paid monthly'],2023-06-30,1,2,0,2,0,Low-Value
61,001OJEK601,ChillStream,0,148.76712328767124,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
62,001PIBK965,CineQuest,0,71.46772602739726,['paid monthly'],2023-06-30,2,2,1,5,2,High-Value
63,001PIBK965,LimeLight,15,80.06,['paid monthly'],2023-06-15,2,2,1,5,2,High-Value
64,001PILU789,CineQuest,26,60.0,['paid annual'],2023-06-04,1,2,0,4,2,Mid-Value
65,001PKYB529,LimeLight,0,126.27906976744188,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
66,001QBUN395,CineQuest,0,137.1963157894737,"['paid monthly', 'paid monthly']",2023-06-30,1,2,0,5,3,High-Value
67,001QSLT093,Pulse,0,24.784602739726022,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
68,001RBOC950,LimeLight,0,124.76517241379312,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
69,001RLIN262,LimeLight,117,40.02000000000001,['paid monthly'],2023-03-05,1,0,0,1,1,Low-Value
70,001SIVU071,LimeLight,0,128.99597260273976,['paid monthly'],2023-06-30,2,2,1,6,3,High-Value
71,001SIVU071,Pulse,0,24.794520547945208,['paid annual'],2023-06-30,2,2,1,3,0,Mid-Value
72,001SXFZ276,ChillStream,0,104.7262893081761,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
73,001TTLN903,CineQuest,0,47.28212499999999,['trial monthly'],2023-06-30,3,2,2,5,1,High-Value
74,001TTLN903,LimeLight,0,57.17142857142858,['paid monthly'],2023-06-30,3,2,2,5,1,High-Value
75,001TTLN903,Pulse,0,36.54952076677316,['paid monthly'],2023-06-30,3,2,2,5,1,High-Value
76,001UAHA863,ChillStream,0,49.58408219178082,['paid annual'],2023-06-30,4,2,2,5,1,High-Value
77,001UAHA863,CineQuest,0,29.419944289693596,['paid annual'],2023-06-30,4,2,2,4,0,Mid-Value
78,001UAHA863,Pulse,0,69.16169354838709,['paid monthly'],2023-06-30,4,2,2,6,2,High-Value
79,001UAHA863,RetroReel,0,65.82915151515151,['expired annual'],2023-06-30,4,2,2,6,2,High-Value
80,001UDSL771,CineQuest,0,71.40821917808219,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
81,001UYQB422,LimeLight,0,39.67123287671233,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
82,001VLBV485,CineQuest,0,77.35890410958905,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
83,001WKVX393,LimeLight,0,73.33699999999999,['trial monthly'],2023-06-30,1,2,0,4,2,Mid-Value
84,001WOTZ983,Pulse,0,47.54597260273973,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
85,001WZZE262,LimeLight,0,39.67123287671233,['paid annual'],2023-06-30,2,2,1,4,1,Mid-Value
86,001WZZE262,RetroReel,0,178.49934210526314,['expired monthly'],2023-06-30,2,2,1,7,4,High-Value
87,001XPYF468,Pulse,0,37.14808823529412,"['paid monthly', 'paid annual']",2023-06-30,1,2,0,3,1,Mid-Value
88,001YPUL192,ChillStream,0,126.56290322580645,"['paid monthly', 'paid annual']",2023-06-30,1,2,0,5,3,High-Value
89,002ANIL633,Pulse,0,37.41165289256198,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
90,002AOWO547,LimeLight,0,33.37162420382165,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
91,002BKVK889,RetroReel,0,111.36605128205127,['expired annual'],2023-06-30,1,2,0,5,3,High-Value
92,002BZGD044,CineQuest,0,39.381818181818176,['discounted monthly'],2023-06-30,1,2,0,3,1,Mid-Value
93,002CNQR282,LimeLight,0,119.07320547945208,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
94,002CREJ862,Pulse,0,18.72786885245901,['paid monthly'],2023-06-30,1,2,0,2,0,Low-Value
95,002CUYF788,LimeLight,0,119.013698630137,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
96,002CXBG255,CineQuest,0,9.134666666666666,"['discounted annual', 'paid monthly']",2023-06-30,1,2,0,2,0,Low-Value
97,002EAAX725,CineQuest,0,126.43816254416961,"['paid monthly', 'paid monthly']",2023-06-30,1,2,0,5,3,High-Value
98,002EXCW867,LimeLight,0,119.07320547945208,['paid monthly'],2023-06-30,2,2,1,6,3,High-Value
99,002EXCW867,RetroReel,0,172.07518731988475,['paid monthly'],2023-06-30,2,2,1,7,4,High-Value
100,002FIHW100,CineQuest,0,71.40821917808219,['paid monthly'],2023-06-30,2,2,1,5,2,High-Value
101,002FIHW100,LimeLight,0,116.83258064516131,['expired monthly'],2023-06-30,2,2,1,6,3,High-Value
102,002FMLQ798,Pulse,0,58.62288659793815,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
103,002GOMV479,LimeLight,0,39.67123287671233,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
104,002HTBP303,CineQuest,0,77.29443835616438,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
105,002IPLW094,RetroReel,0,178.5205479452055,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
106,002IWPX234,CineQuest,0,71.40821917808219,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
107,002JYSZ401,LimeLight,0,119.013698630137,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
108,002KDWJ981,ChillStream,0,122.13410334346504,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
109,002KGKA332,CineQuest,0,55.92134328358209,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
110,002KIAG292,Pulse,0,26.05804,"['paid monthly', 'discounted monthly']",2023-06-30,1,2,0,2,0,Low-Value
111,002MCDO278,LimeLight,0,70.63604240282685,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
112,002MYOP233,RetroReel,0,178.4610410958904,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
113,002NKQR179,LimeLight,0,217.7183980582524,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
114,002NLTJ592,Pulse,0,75.52528634361234,"['paid monthly', 'paid monthly']",2023-06-30,1,2,0,4,2,Mid-Value
115,002NWGK515,Pulse,175,0.0,['paid monthly'],2023-01-06,1,0,0,0,0,Low-Value
116,002NYZB724,CineQuest,0,71.34871232876712,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
117,002OADV079,ChillStream,0,174.59807073954985,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
118,002ODJA245,Pulse,0,24.441340782122907,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
119,002OFHC379,CineQuest,0,67.00315789473684,['paid monthly'],2023-06-30,2,2,1,5,2,High-Value
120,002OFHC379,Pulse,0,36.87619047619048,['paid monthly'],2023-06-30,2,2,1,4,1,Mid-Value
121,002OHHT519,Pulse,0,4.005,['paid monthly'],2023-06-30,1,2,0,2,0,Low-Value
122,002PPXS156,LimeLight,0,168.42821705426357,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
123,002PXRI930,LimeLight,0,39.67123287671233,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
124,002RFCE675,Pulse,0,47.54597260273973,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
125,002RKAR661,ChillStream,0,48.05769230769231,"['paid monthly', 'paid monthly']",2023-06-30,2,2,1,4,1,Mid-Value
126,002RKAR661,RetroReel,0,178.4610410958904,['paid monthly'],2023-06-30,2,2,1,7,4,High-Value
127,002RWXN391,CineQuest,0,57.84015748031497,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
128,002SOIZ089,ChillStream,0,49.59895890410959,['paid annual'],2023-06-30,2,2,1,4,1,Mid-Value
129,002SOIZ089,LimeLight,0,68.64274881516587,['paid annual'],2023-06-30,2,2,1,5,2,High-Value
130,002TRCU179,RetroReel,0,178.5205479452055,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
131,002UQOE027,RetroReel,0,202.87382436260623,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
132,002URLO240,CineQuest,0,29.753424657534246,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
133,002VXNA655,Pulse,0,2.62828125,['paid monthly'],2023-06-30,1,2,0,2,0,Low-Value
134,002WGSA012,CineQuest,0,70.86710097719869,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
135,002WKIG010,Pulse,0,5.517241379310345,['paid monthly'],2023-06-30,1,2,0,2,0,Low-Value
136,002XLWQ630,ChillStream,0,148.8266301369863,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
137,002ZPKN335,Pulse,76,24.0,['paid monthly'],2023-04-15,1,1,0,1,0,Low-Value
138,003AEKA966,LimeLight,0,39.67123287671233,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
139,003AFDK971,CineQuest,0,39.931703056768555,"['discounted monthly', 'paid monthly']",2023-06-30,1,2,0,3,1,Mid-Value
140,003ANID263,LimeLight,0,118.9541917808219,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
141,003AUQO335,Pulse,102,50.0,['paid annual'],2023-03-20,1,1,0,2,1,Low-Value
142,003DAQK199,ChillStream,0,148.70761643835615,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
143,003FHPQ342,CineQuest,0,52.71844660194175,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
144,003FIZU237,CineQuest,0,46.8,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
145,003FXVZ713,Pulse,0,88.48379746835444,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
146,003GPNN238,LimeLight,0,26.953152173913043,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
147,003HOFE542,RetroReel,48,150.0,['paid monthly'],2023-05-13,1,1,0,5,4,High-Value
148,003IMVF953,RetroReel,0,193.3239669421488,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
149,003IPDP078,RetroReel,0,70.76612903225806,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
150,003JAJC959,LimeLight,21,100.0,['paid monthly'],2023-06-09,1,2,0,5,3,High-Value
151,003JOSE263,CineQuest,0,67.17201166180757,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
152,003JXTS440,LimeLight,0,39.67123287671233,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
153,003KGDD155,LimeLight,0,39.66131506849315,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
154,003KHGQ561,ChillStream,0,148.8266301369863,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
155,003LTEX955,LimeLight,0,39.66627397260274,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
156,003NBZB582,Pulse,0,11.34616935483871,['discounted monthly'],2023-06-30,1,2,0,2,0,Low-Value
157,003NRLM550,LimeLight,0,119.013698630137,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
158,003OLXB119,Pulse,1,48.0,['paid monthly'],2023-06-29,1,2,0,3,1,Mid-Value
159,003ONER290,CineQuest,0,71.40821917808219,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
160,003QYGK056,ChillStream,0,49.594,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
161,003QZTI046,CineQuest,0,71.34871232876714,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
162,003TCEP184,CineQuest,0,40.23863247863248,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
163,003TEQR186,CineQuest,54,84.07000000000002,['paid monthly'],2023-05-07,2,1,1,4,2,Mid-Value
164,003TEQR186,LimeLight,0,106.99507389162562,['expired monthly'],2023-06-30,2,2,1,6,3,High-Value
165,003UKIB964,RetroReel,0,178.5205479452055,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
166,003UYFP763,RetroReel,0,59.511808219178086,['paid annual'],2023-06-30,1,2,0,4,2,Mid-Value
167,003VDDJ532,ChillStream,0,95.95959595959596,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
168,003WHEB120,CineQuest,0,73.53292452830188,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
169,003WNAG684,ChillStream,0,95.76719576719576,['paid annual'],2023-06-30,1,2,0,5,3,High-Value
170,003WSHV251,ChillStream,0,27.097051792828683,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
171,003XKHS955,LimeLight,0,96.17113846153846,['paid monthly'],2023-06-30,2,2,1,6,3,High-Value
172,003XKHS955,RetroReel,95,60.02000000000004,['expired monthly'],2023-03-27,2,1,1,4,2,Mid-Value
173,003XTUL243,CineQuest,46,107.97,['paid monthly'],2023-05-15,2,1,1,5,3,High-Value
174,003XTUL243,Pulse,0,24.78956164383562,['paid annual'],2023-06-30,2,2,1,3,0,Mid-Value
175,003YXVZ587,RetroReel,0,133.1917928286853,"['expired monthly', 'paid monthly']",2023-06-30,1,2,0,5,3,High-Value
176,003YZJM392,RetroReel,0,178.5205479452055,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
177,003ZURQ459,ChillStream,0,49.594,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
178,003ZZGJ163,ChillStream,0,61.27228426395937,"['expired monthly', 'discounted monthly']",2023-06-30,2,2,1,5,2,High-Value
179,003ZZGJ163,Pulse,0,47.6054794520548,['paid monthly'],2023-06-30,2,2,1,4,1,Mid-Value
180,004AKNN688,ChillStream,34,174.95,['paid monthly'],2023-05-27,1,1,0,5,4,High-Value
181,004AXNW235,CineQuest,0,55.17079037800686,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
182,004BTTQ071,LimeLight,0,118.95419178082192,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
183,004EFKZ926,Pulse,0,22.686567164179102,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
184,004EPOB480,RetroReel,0,59.51676712328767,['paid annual'],2023-06-30,1,2,0,4,2,Mid-Value
185,004ERWY396,CineQuest,90,143.0,['discounted monthly'],2023-04-01,1,1,0,4,3,Mid-Value
186,004GBPK269,CineQuest,0,68.00092219020173,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
187,004GNEP305,LimeLight,0,39.67123287671233,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
188,004GNHV340,ChillStream,0,87.01923076923077,['paid annual'],2023-06-30,1,2,0,4,2,Mid-Value
189,004ILUO342,LimeLight,0,39.66627397260274,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
190,004JATO962,RetroReel,0,22.39813333333333,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
191,004JKTR944,RetroReel,0,121.34629482071713,"['paid monthly', 'trial monthly']",2023-06-30,1,2,0,5,3,High-Value
192,004JNYB810,Pulse,92,24.000000000000007,['paid annual'],2023-03-30,1,1,0,1,0,Low-Value
193,004JQHL248,RetroReel,0,45.29857142857143,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
194,004JVWK677,LimeLight,0,118.95419178082192,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
195,004KQJC323,LimeLight,0,119.07320547945206,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
196,004KXZQ857,RetroReel,0,187.24137931034485,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
197,004LDOW280,Pulse,74,56.03,['paid monthly'],2023-04-17,1,1,0,2,1,Low-Value
198,004MHUO064,Pulse,0,51.44367123287672,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
199,004MTZV947,CineQuest,0,29.76334246575343,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
200,004NNGI157,RetroReel,0,269.9625,['paid monthly'],2023-06-30,1,2,0,7,5,High-Value
201,004PAMY118,LimeLight,126,39.97999999999996,['paid monthly'],2023-02-24,1,0,0,1,1,Low-Value
202,004PMLD524,LimeLight,0,17.407559808612437,['paid monthly'],2023-06-30,1,2,0,2,0,Low-Value
203,004PNMJ902,CineQuest,0,7.14595,['paid monthly'],2023-06-30,2,2,1,3,0,Mid-Value
204,004PNMJ902,Pulse,0,51.425414364640886,['paid monthly'],2023-06-30,2,2,1,4,1,Mid-Value
205,004QHPK778,ChillStream,0,148.70761643835615,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
206,004QIOK665,RetroReel,0,7.736842105263157,['paid monthly'],2023-06-30,1,2,0,2,0,Low-Value
207,004RNEC476,ChillStream,0,168.07866666666666,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
208,004RPPT922,ChillStream,0,45.535714285714285,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
209,004SFGA279,LimeLight,0,122.19693548387094,"['paid annual', 'paid monthly']",2023-06-30,1,2,0,5,3,High-Value
210,004SZWZ820,LimeLight,86,60.03000000000003,['expired monthly'],2023-04-05,2,1,1,4,2,Mid-Value
211,004SZWZ820,Pulse,99,73.94,['paid monthly'],2023-03-23,2,1,1,4,2,Mid-Value
212,004TECZ734,LimeLight,0,39.67619178082192,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
213,004VACU875,ChillStream,0,2.0004,['paid monthly'],2023-06-30,2,2,1,3,0,Mid-Value
214,004VACU875,Pulse,0,9.79,['paid monthly'],2023-06-30,2,2,1,3,0,Mid-Value
215,004WBSE248,ChillStream,92,265.5,['paid monthly'],2023-03-30,3,1,2,8,5,High-Value
216,004WBSE248,CineQuest,0,125.0202158273381,['paid monthly'],2023-06-30,3,2,2,7,3,High-Value
217,004WBSE248,Pulse,0,46.40181818181818,['paid monthly'],2023-06-30,3,2,2,5,1,High-Value
218,004WDNE622,Pulse,0,24.581545454545456,['paid monthly'],2023-06-30,1,2,0,2,0,Low-Value
219,004WENA386,Pulse,0,51.57260273972603,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
220,004WSAQ537,ChillStream,0,185.21980198019804,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
221,004XLSY951,ChillStream,0,148.76712328767124,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
222,004XMMN681,LimeLight,0,88.81550488599348,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
223,004XNMR137,RetroReel,0,59.5018904109589,['paid annual'],2023-06-30,1,2,0,4,2,Mid-Value
224,004XVQK228,CineQuest,0,111.11301449275363,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
225,004ZETP103,RetroReel,0,110.03460207612456,['paid monthly'],2023-06-30,1,2,0,5,3,High-Value
226,004ZVVX124,CineQuest,0,41.25591397849463,['paid monthly'],2023-06-30,1,2,0,3,1,Mid-Value
227,005AJTJ963,CineQuest,0,191.055568627451,"['paid monthly', 'paid annual']",2023-06-30,2,2,1,7,4,High-Value
228,005AJTJ963,Pulse,79,50.02,['expired annual'],2023-04-12,2,1,1,3,1,Mid-Value
229,005APHH960,CineQuest,0,105.48344370860926,['paid monthly'],2023-06-30,2,2,1,6,3,High-Value
230,005APHH960,Pulse,0,26.54489736070381,['paid annual'],2023-06-30,2,2,1,3,0,Mid-Value
231,005AVDY361,ChillStream,0,49.589041095890416,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
232,005BCIQ004,LimeLight,0,87.5657894736842,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
233,005CBWF649,Pulse,0,5.147058823529411,['paid annual'],2023-06-30,1,2,0,2,0,Low-Value
234,005CKJF445,LimeLight,0,117.92,"['paid monthly', 'paid monthly']",2023-06-30,1,2,0,5,3,High-Value
235,005CLAH698,RetroReel,0,178.40153424657535,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
236,005CLOA577,RetroReel,0,59.5018904109589,['paid annual'],2023-06-30,1,2,0,4,2,Mid-Value
237,005CRSD874,CineQuest,13,138.07,['paid annual'],2023-06-17,3,2,2,7,3,High-Value
238,005CRSD874,LimeLight,178,0.0,['expired monthly'],2023-01-03,3,0,2,2,0,Low-Value
239,005CRSD874,Pulse,0,16.486813186813187,['paid annual'],2023-06-30,3,2,2,4,0,Mid-Value
240,005CVHE823,CineQuest,0,71.34871232876712,['paid monthly'],2023-06-30,1,2,0,4,2,Mid-Value
241,005CVMO725,LimeLight,0,4.144559585492227,['paid annual'],2023-06-30,2,2,1,3,0,Mid-Value
242,005CVMO725,RetroReel,0,176.5490807799443,['paid monthly'],2023-06-30,2,2,1,7,4,High-Value
243,005DEST751,CineQuest,53,60.0,['paid annual'],2023-05-08,1,1,0,3,2,Mid-Value
244,005DTWK409,RetroReel,0,178.4610410958904,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
245,005EBJD636,Pulse,0,34.403764258555135,['paid annual'],2023-06-30,1,2,0,3,1,Mid-Value
246,005EDVN799,RetroReel,0,160.91311178247733,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
247,005EQLX678,RetroReel,0,178.34202739726027,['paid monthly'],2023-06-30,1,2,0,6,4,High-Value
