,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
1172,025ITFZ496,LimeLight,38,39.98,2,2,1,0,3,Mid-Value
1174,025IVWT679,LimeLight,196,159.99,1,1,0,1,2,Low-Value
1175,025LFEI109,LimeLight,212,160.0,1,1,0,1,2,Low-Value
1177,025MEBN694,LimeLight,358,240.12,1,0,0,2,2,Low-Value
1179,025NQAL295,LimeLight,167,119.94,1,1,0,1,2,Low-Value
1185,025RXMR903,LimeLight,114,159.88,1,2,0,1,3,Mid-Value
1187,025TQUE999,LimeLight,163,119.94,1,1,0,1,2,Low-Value
1189,025UMCY722,LimeLight,33,180.0,1,2,0,2,4,Mid-Value
1193,025XILG335,LimeLight,357,80.01,1,0,0,0,0,Low-Value
1194,025YMFI743,LimeLight,14,10.12,1,2,0,0,2,Low-Value
1203,026DSWO376,LimeLight,17,52.78,1,2,0,0,2,Low-Value
1205,026EMLC497,LimeLight,275,200.0,1,0,0,2,2,Low-Value
1213,026JUGA498,LimeLight,346,240.0,1,0,0,2,2,Low-Value
1219,026OHPD321,LimeLight,70,180.27,1,2,0,2,4,Mid-Value
1221,026OJXT664,LimeLight,61,117.89,1,2,0,1,3,Mid-Value
1222,026OZCH655,LimeLight,286,52.62,1,0,0,0,0,Low-Value
1224,026PNDH746,LimeLight,305,219.89,1,0,0,2,2,Low-Value
1229,026RJOR814,LimeLight,40,119.98,1,2,0,1,3,Mid-Value
1237,026TIBP449,LimeLight,56,13.04,1,2,0,0,2,Low-Value
1239,026TMFB727,LimeLight,269,180.09,2,0,1,2,3,Mid-Value
1243,026WCBJ610,LimeLight,12,59.98,1,2,0,0,2,Low-Value
1246,026XKSR079,LimeLight,248,79.92,1,0,0,0,0,Low-Value
1251,026YHQQ997,LimeLight,45,220.32,1,2,0,2,4,Mid-Value
1257,027FGUK196,LimeLight,64,200.2,1,2,0,2,4,Mid-Value
1259,027GTSJ413,LimeLight,89,60.0,1,2,0,0,2,Low-Value
1267,027JSJR650,LimeLight,148,68.85,1,1,0,0,1,Low-Value
1273,027LKCD084,LimeLight,363,80.0,1,0,0,0,0,Low-Value
1279,027QGJI157,LimeLight,152,80.0,1,1,0,0,1,Low-Value
1287,027UIEB629,LimeLight,246,29.56,1,0,0,0,0,Low-Value
1288,027UYBT302,LimeLight,101,172.69,1,2,0,2,4,Mid-Value
1291,027WIAZ178,LimeLight,198,80.0,2,1,1,0,2,Low-Value
1293,027WNFP029,LimeLight,9,160.06000000000003,2,2,1,1,4,Mid-Value
1298,027XRPZ616,LimeLight,122,100.05,2,1,1,1,3,Mid-Value
1300,027XZAS168,LimeLight,141,200.06,1,1,0,2,3,Mid-Value
1303,027YLVV098,LimeLight,231,199.94,1,1,0,2,3,Mid-Value
1304,028BGKV321,LimeLight,267,80.01,1,0,0,0,0,Low-Value
1305,028BZES179,LimeLight,361,260.13,1,0,0,2,2,Low-Value
1307,028CDVH587,LimeLight,15,240.36,2,2,1,2,5,High-Value
1316,028JVFL091,LimeLight,238,160.08,1,0,0,1,1,Low-Value
1322,028MKPI360,LimeLight,330,219.78,1,0,0,2,2,Low-Value
1325,028MQNF994,LimeLight,73,80.0,2,2,1,0,3,Mid-Value
1329,028NIYO825,LimeLight,22,80.0,2,2,1,0,3,Mid-Value
1331,028OKYV684,LimeLight,322,220.0,1,0,0,2,2,Low-Value
1333,028PVHM115,LimeLight,154,140.21,1,1,0,1,2,Low-Value
1342,028VRNT831,LimeLight,362,80.02,1,0,0,0,0,Low-Value
1346,028YDML976,LimeLight,126,80.03,1,1,0,0,1,Low-Value
1351,028YYJQ200,LimeLight,241,79.99,2,0,1,0,1,Low-Value
1352,028ZHFX355,LimeLight,350,80.01,1,0,0,0,0,Low-Value
1354,029AFLP481,LimeLight,276,79.99,1,0,0,0,0,Low-Value
1362,029FQHZ498,LimeLight,267,79.98,1,0,0,0,0,Low-Value
1374,029MWBW680,LimeLight,186,140.0,1,1,0,1,2,Low-Value
1380,029OQQF991,LimeLight,41,80.32,1,2,0,0,2,Low-Value
1383,029PEPP791,LimeLight,132,87.82,1,1,0,0,1,Low-Value
1386,029QTGK700,LimeLight,181,79.24000000000001,1,1,0,0,1,Low-Value
1391,029TIYB373,LimeLight,29,198.91,1,2,0,2,4,Mid-Value
1393,029UXLP759,LimeLight,313,220.0,1,0,0,2,2,Low-Value
1395,029WHZE211,LimeLight,336,130.92000000000002,1,0,0,1,1,Low-Value
1399,029ZDFO054,LimeLight,146,140.07000000000002,1,1,0,1,2,Low-Value
1406,030CQBR544,LimeLight,55,240.08,1,2,0,2,4,Mid-Value
1407,030CUNR849,LimeLight,267,180.0,1,0,0,2,2,Low-Value
1409,030DYDJ141,LimeLight,110,79.99,1,2,0,0,2,Low-Value
1410,030EFIE253,LimeLight,120,80.04,1,1,0,0,1,Low-Value
1414,030HDNY468,LimeLight,89,139.97,1,2,0,1,3,Mid-Value
1415,030HJKU811,LimeLight,127,199.9,1,1,0,2,3,Mid-Value
1416,030HTEC414,LimeLight,24,159.99,1,2,0,1,3,Mid-Value
1426,030MFHW042,LimeLight,42,79.99,1,2,0,0,2,Low-Value
1431,030PNMS717,LimeLight,26,40.0,1,2,0,0,2,Low-Value
1433,030RGUW544,LimeLight,262,180.09,1,0,0,2,2,Low-Value
1438,030WRAI043,LimeLight,164,180.03,1,1,0,2,3,Mid-Value
1439,030WXQS882,LimeLight,159,120.0,1,1,0,1,2,Low-Value
1440,030YMJC402,LimeLight,207,101.64,1,1,0,1,2,Low-Value
1441,031ABWA973,LimeLight,240,80.0,1,0,0,0,0,Low-Value
1443,031BPCV774,LimeLight,125,88.14,1,1,0,1,2,Low-Value
1467,031SBKW341,LimeLight,277,199.9,2,0,1,2,3,Mid-Value
1468,031SBNW862,LimeLight,24,119.49,1,2,0,1,3,Mid-Value
1470,031UHYO005,LimeLight,246,80.01,1,0,0,0,0,Low-Value
1474,031VIOS000,LimeLight,9,49.04,1,2,0,0,2,Low-Value
1481,031XMQM855,LimeLight,290,200.0,1,0,0,2,2,Low-Value
1483,031YKUM285,LimeLight,1,80.0,1,2,0,0,2,Low-Value
1484,031ZGOE516,LimeLight,156,179.94,1,1,0,2,3,Mid-Value
1485,031ZIAS479,LimeLight,26,80.0,1,2,0,0,2,Low-Value
1488,032BKUP986,LimeLight,221,239.92,2,1,1,2,4,Mid-Value
