,ID,BRAND,SUB_STATUS,TERM,AMOUNT,PARTITION_DATE,YEAR_MONTH,VALID_TRANSITION
183,001RLIN262,LimeLight,expired,monthly,20.0,2023-03-05,2023-03,True
196,001SXFZ276,ChillStream,paid,monthly,25.01,2023-04-18,2023-04,True
203,001TTLN903,CineQuest,trial,monthly,10.04,2023-02-14,2023-02,True
204,001TTLN903,LimeLight,paid,monthly,20.01,2023-04-16,2023-04,True
208,001TTLN903,Pulse,paid,monthly,8.0,2023-02-21,2023-02,True
213,001UAHA863,CineQuest,paid,annual,60.01,2023-01-06,2023-01,True
215,001UAHA863,Pulse,paid,monthly,8.02,2023-03-16,2023-03,True
229,001WKVX393,LimeLight,trial,monthly,12.43,2023-01-05,2023-01,True
237,001XPYF468,Pulse,expired,monthly,7.99,2023-05-15,2023-05,True
238,001XPYF468,Pulse,paid,annual,50.01,2023-06-10,2023-06,True
240,001YPUL192,ChillStream,expired,monthly,25.0,2023-05-08,2023-05,True
241,001YPUL192,ChillStream,paid,annual,100.0,2023-06-28,2023-06,True
244,002AOWO547,LimeLight,paid,annual,79.99,2023-02-20,2023-02,True
252,002BZGD044,CineQuest,discounted,monthly,10.26,2023-03-09,2023-03,True
256,002CREJ862,Pulse,discounted,monthly,6.08,2023-01-23,2023-01,True
257,002CREJ862,Pulse,paid,monthly,8.0,2023-06-10,2023-06,True
262,002CXBG255,CineQuest,expired,annual,59.99,2023-02-01,2023-02,True
263,002CXBG255,CineQuest,paid,monthly,12.01,2023-06-18,2023-06,True
267,002EAAX725,CineQuest,paid,monthly,12.0,2023-01-03,2023-01,True
268,002EAAX725,CineQuest,expired,monthly,12.01,2023-02-14,2023-02,True
269,002EAAX725,CineQuest,paid,monthly,12.01,2023-03-23,2023-03,True
282,002FMLQ798,Pulse,paid,monthly,8.01,2023-04-13,2023-04,True
296,002KDWJ981,ChillStream,paid,monthly,25.02,2023-02-05,2023-02,True
299,002KGKA332,CineQuest,paid,monthly,12.02,2023-05-23,2023-05,True
304,002KIAG292,Pulse,expired,monthly,8.0,2023-02-17,2023-02,True
305,002KIAG292,Pulse,discounted,monthly,4.17,2023-04-25,2023-04,True
307,002MCDO278,LimeLight,paid,monthly,19.99,2023-03-23,2023-03,True
320,002NLTJ592,Pulse,paid,monthly,8.0,2023-01-27,2023-01,True
321,002NLTJ592,Pulse,expired,monthly,8.0,2023-02-03,2023-02,True
322,002NLTJ592,Pulse,paid,monthly,8.0,2023-05-18,2023-05,True
324,002NWGK515,Pulse,expired,monthly,8.0,2023-01-06,2023-01,True
333,002ODJA245,Pulse,paid,annual,50.0,2023-01-07,2023-01,True
336,002OFHC379,CineQuest,paid,monthly,12.01,2023-01-23,2023-01,True
339,002OFHC379,Pulse,discounted,monthly,4.43,2023-01-18,2023-01,True
340,002OFHC379,Pulse,paid,monthly,8.0,2023-02-19,2023-02,True
341,002OHHT519,Pulse,paid,monthly,8.01,2023-06-19,2023-06,True
358,002RKAR661,ChillStream,expired,monthly,25.01,2023-02-06,2023-02,True
359,002RKAR661,ChillStream,paid,monthly,24.99,2023-06-22,2023-06,True
366,002RWXN391,CineQuest,paid,monthly,12.01,2023-05-28,2023-05,True
384,002VXNA655,Pulse,paid,monthly,8.01,2023-06-22,2023-06,True
389,002WKIG010,Pulse,paid,monthly,8.0,2023-06-11,2023-06,True
393,002ZPKN335,Pulse,paid,monthly,8.0,2023-02-12,2023-02,True
394,002ZPKN335,Pulse,expired,monthly,7.99,2023-04-15,2023-04,True
400,003AFDK971,CineQuest,expired,monthly,12.0,2023-03-01,2023-03,True
401,003AFDK971,CineQuest,paid,monthly,11.98,2023-05-16,2023-05,True
405,003AUQO335,Pulse,expired,annual,50.0,2023-03-20,2023-03,True
411,003FIZU237,CineQuest,paid,monthly,12.0,2023-03-06,2023-03,True
421,003GPNN238,LimeLight,paid,annual,79.99,2023-03-30,2023-03,True
432,003HOFE542,RetroReel,expired,monthly,30.0,2023-05-13,2023-05,True
438,003IMVF953,RetroReel,paid,monthly,29.99,2023-01-02,2023-01,True
439,003IPDP078,RetroReel,paid,monthly,30.0,2023-04-27,2023-04,True
443,003JAJC959,LimeLight,expired,monthly,19.98,2023-06-09,2023-06,True
446,003JOSE263,CineQuest,paid,monthly,12.0,2023-01-22,2023-01,True
456,003NBZB582,Pulse,discounted,monthly,4.81,2023-04-27,2023-04,True
459,003OLXB119,Pulse,expired,monthly,8.0,2023-06-29,2023-06,True
472,003TCEP184,CineQuest,paid,monthly,12.01,2023-03-25,2023-03,True
476,003TEQR186,CineQuest,expired,monthly,12.0,2023-05-07,2023-05,True
482,003VDDJ532,ChillStream,paid,monthly,25.0,2023-03-09,2023-03,True
483,003WHEB120,CineQuest,paid,monthly,12.01,2023-01-05,2023-01,True
488,003WSHV251,ChillStream,paid,annual,100.02,2023-04-24,2023-04,True
490,003XKHS955,LimeLight,paid,monthly,20.01,2023-02-09,2023-02,True
491,003XKHS955,RetroReel,expired,monthly,30.01,2023-03-27,2023-03,True
494,003XTUL243,CineQuest,paid,monthly,11.99,2023-03-09,2023-03,True
495,003XTUL243,CineQuest,expired,monthly,11.99,2023-05-15,2023-05,True
498,003YXVZ587,RetroReel,expired,monthly,30.01,2023-03-11,2023-03,True
499,003YXVZ587,RetroReel,paid,monthly,30.01,2023-04-24,2023-04,True
512,003ZZGJ163,ChillStream,expired,monthly,24.98,2023-03-11,2023-03,True
513,003ZZGJ163,ChillStream,discounted,monthly,22.74,2023-06-17,2023-06,True
517,004AKNN688,ChillStream,expired,monthly,24.99,2023-05-27,2023-05,True
537,004EFKZ926,Pulse,paid,annual,50.0,2023-01-30,2023-01,True
541,004ERWY396,CineQuest,discounted,monthly,11.5,2023-02-22,2023-02,True
542,004ERWY396,CineQuest,expired,monthly,11.99,2023-04-01,2023-04,True
543,004ERWY396,CineQuest,discounted,monthly,8.42,2023-05-14,2023-05,True
548,004GBPK269,CineQuest,paid,monthly,11.99,2023-01-18,2023-01,True
553,004JATO962,RetroReel,paid,annual,119.99,2023-05-20,2023-05,True
555,004JKTR944,RetroReel,expired,monthly,30.01,2023-03-17,2023-03,True
556,004JKTR944,RetroReel,trial,monthly,25.16,2023-04-24,2023-04,True
559,004JNYB810,Pulse,expired,annual,49.99,2023-03-30,2023-03,True
561,004JQHL248,RetroReel,paid,annual,119.98,2023-03-12,2023-03,True
574,004LDOW280,Pulse,expired,monthly,8.0,2023-04-17,2023-04,True
582,004NNGI157,RetroReel,paid,monthly,29.99,2023-03-27,2023-03,True
585,004PAMY118,LimeLight,expired,monthly,20.01,2023-02-24,2023-02,True
587,004PMLD524,LimeLight,paid,monthly,19.99,2023-06-05,2023-06,True
589,004PNMJ902,CineQuest,paid,monthly,12.01,2023-06-14,2023-06,True
592,004PNMJ902,Pulse,paid,monthly,8.0,2023-01-03,2023-01,True
600,004QIOK665,RetroReel,paid,monthly,30.0,2023-06-24,2023-06,True
608,004RNEC476,ChillStream,discounted,monthly,22.74,2023-01-19,2023-01,True
609,004RNEC476,ChillStream,paid,monthly,24.98,2023-02-03,2023-02,True
613,004RPPT922,ChillStream,paid,annual,100.0,2023-01-29,2023-01,True
616,004SFGA279,LimeLight,expired,annual,79.99,2023-05-19,2023-05,True
617,004SFGA279,LimeLight,paid,monthly,19.99,2023-06-28,2023-06,True
618,004SZWZ820,LimeLight,expired,monthly,20.01,2023-04-05,2023-04,True
621,004SZWZ820,Pulse,expired,monthly,7.99,2023-03-23,2023-03,True
628,004VACU875,ChillStream,paid,monthly,25.01,2023-06-30,2023-06,True
632,004VACU875,Pulse,discounted,monthly,4.23,2023-03-23,2023-03,True
633,004VACU875,Pulse,paid,monthly,8.01,2023-05-29,2023-05,True
637,004WBSE248,ChillStream,expired,monthly,25.01,2023-03-30,2023-03,True
649,004WDNE622,Pulse,paid,monthly,8.0,2023-05-03,2023-05,True
658,004WSAQ537,ChillStream,paid,monthly,25.0,2023-04-13,2023-04,True
662,004XMMN681,LimeLight,paid,monthly,19.99,2023-02-27,2023-02,True
672,004ZETP103,RetroReel,trial,monthly,23.74,2023-02-19,2023-02,True
673,004ZETP103,RetroReel,paid,monthly,30.0,2023-03-17,2023-03,True
679,004ZVVX124,CineQuest,paid,monthly,11.99,2023-03-27,2023-03,True
689,005AJTJ963,CineQuest,expired,monthly,12.0,2023-03-11,2023-03,True
690,005AJTJ963,CineQuest,paid,annual,60.01,2023-04-03,2023-04,True
692,005AJTJ963,Pulse,expired,annual,50.02,2023-04-12,2023-04,True
703,005BCIQ004,LimeLight,paid,monthly,20.0,2023-03-02,2023-03,True
706,005CBWF649,Pulse,trial,annual,20.06,2023-04-16,2023-04,True
707,005CBWF649,Pulse,paid,annual,50.0,2023-06-10,2023-06,True
709,005CKJF445,LimeLight,expired,monthly,20.0,2023-04-19,2023-04,True
710,005CKJF445,LimeLight,paid,monthly,20.0,2023-05-05,2023-05,True
716,005CRSD874,CineQuest,paid,annual,60.01,2023-01-09,2023-01,True
717,005CRSD874,CineQuest,expired,annual,60.0,2023-06-17,2023-06,True
720,005CRSD874,LimeLight,expired,monthly,19.99,2023-01-03,2023-01,True
721,005CRSD874,Pulse,discounted,annual,22.27,2023-02-10,2023-02,True
722,005CRSD874,Pulse,paid,annual,50.01,2023-04-02,2023-04,True
727,005CVMO725,LimeLight,paid,annual,79.99,2023-06-21,2023-06,True
729,005CVMO725,RetroReel,paid,monthly,30.01,2023-01-06,2023-01,True
733,005DEST751,CineQuest,expired,annual,60.0,2023-05-08,2023-05,True
740,005EDVN799,RetroReel,paid,monthly,29.99,2023-02-03,2023-02,True
746,005IKHP676,CineQuest,expired,monthly,12.0,2023-04-10,2023-04,True
752,005ITHJ033,LimeLight,expired,monthly,20.0,2023-06-14,2023-06,True
762,005KLHD033,LimeLight,expired,annual,79.98,2023-04-29,2023-04,True
767,005LMLD320,LimeLight,paid,monthly,19.99,2023-02-09,2023-02,True
770,005MQWT219,LimeLight,paid,monthly,20.01,2023-06-23,2023-06,True
778,005MVVN443,Pulse,expired,monthly,8.0,2023-02-25,2023-02,True
786,005NTLW643,CineQuest,paid,monthly,11.98,2023-06-15,2023-06,True
797,005PUYF561,LimeLight,paid,monthly,20.01,2023-02-25,2023-02,True
806,005PXZW655,Pulse,paid,monthly,8.0,2023-02-25,2023-02,True
811,005QIBK768,Pulse,trial,monthly,4.71,2023-01-17,2023-01,True
812,005QIBK768,Pulse,paid,monthly,8.0,2023-05-10,2023-05,True
819,005RCWZ068,LimeLight,paid,monthly,20.01,2023-04-28,2023-04,True
822,005RVSJ622,RetroReel,expired,monthly,30.0,2023-05-06,2023-05,True
831,005TLRF516,Pulse,paid,monthly,8.0,2023-06-10,2023-06,True
837,005UXRN097,ChillStream,expired,monthly,25.01,2023-01-11,2023-01,True
838,005UXRN097,ChillStream,paid,monthly,25.01,2023-05-15,2023-05,True
845,005VGAL262,CineQuest,expired,monthly,12.01,2023-02-23,2023-02,True
859,006BIGJ762,RetroReel,paid,annual,120.0,2023-03-30,2023-03,True
865,006CSAF205,LimeLight,expired,monthly,20.01,2023-02-21,2023-02,True
872,006DYJP348,Pulse,paid,monthly,7.99,2023-01-16,2023-01,True
875,006EFVW924,CineQuest,paid,annual,59.98,2023-03-15,2023-03,True
883,006GITA462,CineQuest,paid,monthly,11.99,2023-06-25,2023-06,True
901,006LZLE549,Pulse,expired,monthly,8.0,2023-04-30,2023-04,True
902,006LZLE549,Pulse,paid,monthly,8.0,2023-05-15,2023-05,True
907,006OIZP651,ChillStream,paid,monthly,25.01,2023-05-28,2023-05,True
911,006PDGI783,ChillStream,expired,monthly,25.0,2023-02-26,2023-02,True
917,006RHZT505,LimeLight,expired,monthly,20.01,2023-02-09,2023-02,True
918,006RHZT505,LimeLight,paid,monthly,20.01,2023-06-05,2023-06,True
920,006RHZT505,RetroReel,expired,monthly,30.0,2023-01-08,2023-01,True
929,006VAPC920,Pulse,paid,monthly,7.99,2023-03-26,2023-03,True
934,006WMXU263,RetroReel,expired,monthly,29.99,2023-05-06,2023-05,True
938,006XYPC394,CineQuest,paid,monthly,12.01,2023-04-27,2023-04,True
939,006YBEU125,RetroReel,paid,monthly,30.0,2023-04-15,2023-04,True
950,007CRIB610,RetroReel,paid,annual,120.0,2023-02-21,2023-02,True
953,007DOGV973,ChillStream,trial,annual,92.46,2023-05-15,2023-05,True
956,007DSJL773,CineQuest,paid,monthly,11.99,2023-04-14,2023-04,True
960,007EBFN621,CineQuest,discounted,annual,34.59,2023-03-20,2023-03,True
962,007FENN617,ChillStream,paid,annual,100.01,2023-04-24,2023-04,True
963,007GCJV175,LimeLight,paid,annual,79.99,2023-02-04,2023-02,True
968,007HEYK079,ChillStream,paid,monthly,25.01,2023-02-03,2023-02,True
971,007HNUM396,LimeLight,paid,monthly,20.01,2023-03-22,2023-03,True
973,007IAJO670,LimeLight,expired,annual,80.0,2023-06-10,2023-06,True
974,007IHUT323,CineQuest,expired,monthly,12.01,2023-02-17,2023-02,True
975,007IHUT323,CineQuest,paid,monthly,12.0,2023-06-29,2023-06,True
984,007JGRB024,LimeLight,expired,monthly,20.01,2023-05-06,2023-05,True
985,007JGRB024,LimeLight,discounted,monthly,18.82,2023-06-26,2023-06,True
991,007JNVU184,CineQuest,expired,annual,59.99,2023-04-23,2023-04,True
1000,007KYTZ045,LimeLight,paid,monthly,19.99,2023-04-13,2023-04,True
1004,007MVBQ657,CineQuest,expired,monthly,12.02,2023-05-26,2023-05,True
1010,007OCVT539,RetroReel,trial,annual,83.03,2023-05-28,2023-05,True
1013,007ODOF136,ChillStream,expired,monthly,25.0,2023-02-04,2023-02,True
1017,007QFCY161,LimeLight,paid,annual,79.99,2023-04-04,2023-04,True
1019,007QFVA399,LimeLight,expired,monthly,19.99,2023-03-11,2023-03,True
1020,007QFVA399,LimeLight,trial,monthly,7.13,2023-04-09,2023-04,True
1027,007RAHR336,Pulse,paid,annual,49.99,2023-04-25,2023-04,True
1030,007RBCZ425,Pulse,paid,monthly,7.99,2023-04-23,2023-04,True
1031,007RBCZ425,Pulse,expired,monthly,8.0,2023-06-07,2023-06,True
1034,007SEZN754,ChillStream,expired,annual,99.99,2023-03-01,2023-03,True
1037,007SGGD254,CineQuest,expired,monthly,11.99,2023-05-16,2023-05,True
1045,007VTTS788,CineQuest,expired,annual,60.0,2023-05-09,2023-05,True
1064,007XAZW495,Pulse,expired,monthly,7.99,2023-04-27,2023-04,True
1065,007XAZW495,Pulse,trial,monthly,2.92,2023-05-16,2023-05,True
1069,007XGFT366,Pulse,paid,annual,49.99,2023-06-21,2023-06,True
1075,007YODP449,Pulse,paid,monthly,8.0,2023-06-26,2023-06,True
1077,008BYAI639,ChillStream,expired,annual,99.99,2023-02-22,2023-02,True
1084,008DFCS661,LimeLight,paid,monthly,20.01,2023-01-29,2023-01,True
1085,008DFCS661,LimeLight,expired,monthly,20.0,2023-03-13,2023-03,True
1088,008EJGC563,CineQuest,discounted,monthly,8.44,2023-04-28,2023-04,True
1102,008HUFE310,CineQuest,expired,monthly,12.0,2023-05-29,2023-05,True
1107,008JIXA533,CineQuest,expired,monthly,12.0,2023-02-25,2023-02,True
1108,008JIXA533,CineQuest,discounted,annual,58.76,2023-03-08,2023-03,True
1112,008JQHS769,Pulse,expired,monthly,8.0,2023-01-10,2023-01,True
1113,008JQHS769,Pulse,trial,monthly,3.5,2023-02-19,2023-02,True
1114,008JQHS769,Pulse,expired,monthly,7.97,2023-03-13,2023-03,True
1115,008JQHS769,Pulse,paid,monthly,7.98,2023-06-14,2023-06,True
1123,008KBIH389,CineQuest,expired,monthly,12.0,2023-02-28,2023-02,True
1124,008KBIH389,CineQuest,paid,monthly,11.99,2023-05-12,2023-05,True
1127,008KZIC544,Pulse,expired,annual,50.0,2023-03-07,2023-03,True
1132,008MAAZ132,RetroReel,paid,monthly,29.99,2023-01-23,2023-01,True
1133,008MMNO553,ChillStream,paid,annual,100.0,2023-01-18,2023-01,True
1134,008MZRP930,RetroReel,paid,annual,119.99,2023-01-06,2023-01,True
1145,008PMLJ543,CineQuest,expired,monthly,12.0,2023-03-08,2023-03,True
1146,008PMLJ543,CineQuest,paid,monthly,11.98,2023-04-19,2023-04,True
1152,008PVUV767,CineQuest,paid,monthly,11.99,2023-01-30,2023-01,True
1158,008RGLC003,Pulse,paid,monthly,8.01,2023-02-07,2023-02,True
1159,008RGLC003,Pulse,expired,monthly,8.01,2023-03-01,2023-03,True
1164,008RYDV189,Pulse,expired,monthly,7.98,2023-05-24,2023-05,True
1168,008RZUB139,ChillStream,expired,monthly,25.02,2023-02-02,2023-02,True
1169,008RZUB139,ChillStream,discounted,monthly,24.1,2023-06-23,2023-06,True
1171,008TNLY548,Pulse,paid,monthly,8.0,2023-06-18,2023-06,True
1174,008UZTO673,CineQuest,paid,monthly,12.0,2023-06-14,2023-06,True
1177,008WMEQ926,Pulse,expired,monthly,8.02,2023-03-01,2023-03,True
1178,008WMEQ926,Pulse,trial,monthly,3.8,2023-05-02,2023-05,True
1179,008WMEQ926,Pulse,paid,monthly,7.99,2023-06-20,2023-06,True
1194,008ZBLA861,Pulse,expired,annual,50.0,2023-04-29,2023-04,True
1202,009CWCA119,Pulse,expired,monthly,7.99,2023-06-10,2023-06,True
1208,009ECYS976,RetroReel,paid,annual,120.0,2023-01-22,2023-01,True
1210,009FZVW489,ChillStream,expired,annual,100.02,2023-02-04,2023-02,True
1212,009GTTM730,RetroReel,paid,monthly,30.01,2023-01-16,2023-01,True
1215,009GUTY233,RetroReel,expired,monthly,30.0,2023-01-25,2023-01,True
1216,009GUTY233,RetroReel,trial,monthly,27.73,2023-02-21,2023-02,True
1217,009GUTY233,RetroReel,paid,monthly,30.01,2023-06-11,2023-06,True
1225,009ILTP035,LimeLight,expired,annual,80.01,2023-03-30,2023-03,True
1227,009IRTM799,ChillStream,paid,monthly,24.99,2023-03-02,2023-03,True
1232,009IZWB670,ChillStream,paid,monthly,24.99,2023-03-15,2023-03,True
1233,009IZWB670,ChillStream,expired,monthly,25.0,2023-05-17,2023-05,True
1235,009IZWB670,Pulse,paid,annual,50.01,2023-01-02,2023-01,True
1239,009MCBT205,LimeLight,paid,monthly,20.0,2023-02-03,2023-02,True
1242,009MNVS084,LimeLight,paid,annual,80.0,2023-01-21,2023-01,True
1244,009NCAP692,CineQuest,expired,monthly,12.0,2023-01-28,2023-01,True
1245,009NCAP692,CineQuest,paid,monthly,12.01,2023-05-11,2023-05,True
1260,009OXDM431,ChillStream,expired,annual,100.01,2023-02-14,2023-02,True
1263,009PNHD703,LimeLight,trial,monthly,12.13,2023-06-23,2023-06,True
1280,009ULAL921,CineQuest,trial,monthly,7.1,2023-03-19,2023-03,True
1292,009WCWO485,LimeLight,expired,monthly,20.01,2023-06-17,2023-06,True
1298,009YWEP229,LimeLight,paid,monthly,20.0,2023-03-14,2023-03,True
1299,009YWEP229,LimeLight,expired,monthly,19.98,2023-05-05,2023-05,True
1306,009ZMOL535,RetroReel,paid,monthly,29.98,2023-01-09,2023-01,True
1309,009ZNIP210,CineQuest,discounted,monthly,4.33,2023-02-27,2023-02,True
1325,010DJRE528,CineQuest,paid,annual,60.0,2023-01-28,2023-01,True
1334,010EWIB677,ChillStream,discounted,annual,78.93,2023-04-21,2023-04,True
1348,010FVSN529,ChillStream,paid,annual,100.0,2023-03-22,2023-03,True
1352,010HJKY577,RetroReel,expired,monthly,30.0,2023-01-31,2023-01,True
1353,010HJKY577,RetroReel,trial,monthly,10.54,2023-03-24,2023-03,True
1354,010HJKY577,RetroReel,paid,monthly,30.0,2023-04-17,2023-04,True
1366,010KHRW889,Pulse,expired,monthly,8.01,2023-01-19,2023-01,True
1367,010KHRW889,Pulse,paid,monthly,8.01,2023-06-06,2023-06,True
1368,010KWCU194,LimeLight,paid,annual,80.0,2023-05-06,2023-05,True
1381,010MWWJ010,CineQuest,paid,annual,60.0,2023-02-25,2023-02,True
1390,010PRQG612,Pulse,paid,monthly,7.99,2023-03-09,2023-03,True
1396,010QKEH462,ChillStream,expired,monthly,24.99,2023-06-03,2023-06,True
1403,010RECN467,Pulse,trial,monthly,4.84,2023-01-27,2023-01,True
1404,010RECN467,Pulse,expired,monthly,8.0,2023-04-05,2023-04,True
1408,010RSTN249,RetroReel,paid,monthly,30.01,2023-03-16,2023-03,True
1412,010SSVA945,LimeLight,paid,monthly,19.99,2023-03-03,2023-03,True
1418,010SYJP308,Pulse,paid,monthly,8.0,2023-06-04,2023-06,True
1420,010UGQJ077,LimeLight,paid,monthly,19.99,2023-06-14,2023-06,True
1431,010VECF139,RetroReel,expired,monthly,30.0,2023-04-02,2023-04,True
1446,010ZCIU076,Pulse,paid,monthly,8.0,2023-02-18,2023-02,True
1447,010ZCIU076,Pulse,expired,monthly,7.99,2023-05-08,2023-05,True
1459,011ALNE291,Pulse,paid,annual,49.99,2023-02-28,2023-02,True
1460,011ANYH850,LimeLight,paid,monthly,20.0,2023-02-28,2023-02,True
1465,011BJZH343,RetroReel,paid,annual,120.02,2023-06-24,2023-06,True
1469,011CJIS986,CineQuest,expired,annual,60.0,2023-03-25,2023-03,True
1472,011CQIW361,LimeLight,expired,monthly,20.01,2023-03-13,2023-03,True
1473,011CQIW361,LimeLight,paid,monthly,20.0,2023-05-18,2023-05,True
1480,011DGAN495,LimeLight,paid,monthly,20.0,2023-05-02,2023-05,True
1490,011ESHZ072,ChillStream,expired,annual,100.0,2023-02-02,2023-02,True
1493,011FKXG559,LimeLight,expired,monthly,20.0,2023-06-26,2023-06,True
1495,011GGIZ636,ChillStream,expired,monthly,24.99,2023-05-07,2023-05,True
1498,011GXVT794,Pulse,expired,monthly,8.01,2023-05-14,2023-05,True
1499,011GXVT794,Pulse,trial,monthly,5.64,2023-06-24,2023-06,True
1503,011HXJH357,ChillStream,expired,monthly,25.01,2023-06-21,2023-06,True
1510,011KFFE381,ChillStream,paid,annual,100.0,2023-04-26,2023-04,True
1515,011LEDV211,CineQuest,paid,annual,59.99,2023-02-06,2023-02,True
1524,011LSEX181,Pulse,expired,monthly,8.0,2023-03-31,2023-03,True
1537,011MWSU369,CineQuest,expired,monthly,12.01,2023-01-21,2023-01,True
1546,011QAYX660,LimeLight,paid,monthly,20.0,2023-03-07,2023-03,True
1550,011RJQJ064,LimeLight,paid,monthly,20.01,2023-06-20,2023-06,True
1557,011TADD214,LimeLight,paid,annual,80.0,2023-01-13,2023-01,True
1562,011VJJL464,CineQuest,expired,annual,60.0,2023-01-20,2023-01,True
1563,011VJJL464,CineQuest,paid,annual,59.97,2023-02-21,2023-02,True
1564,011VJJL464,CineQuest,expired,annual,60.0,2023-06-08,2023-06,True
1566,011VUPG544,ChillStream,paid,monthly,24.98,2023-04-19,2023-04,True
1570,011WHSO110,LimeLight,trial,monthly,6.13,2023-05-24,2023-05,True
1575,011WSIB861,CineQuest,trial,monthly,7.5,2023-03-28,2023-03,True
1576,011WSIB861,CineQuest,paid,monthly,12.01,2023-06-23,2023-06,True
1581,011YISP421,CineQuest,expired,monthly,12.0,2023-06-26,2023-06,True
1587,011YZHO566,CineQuest,paid,monthly,12.02,2023-03-18,2023-03,True
1588,011YZHO566,CineQuest,expired,monthly,11.99,2023-06-08,2023-06,True
1596,011ZBZK802,Pulse,expired,monthly,7.98,2023-02-22,2023-02,True
1602,011ZZPY267,CineQuest,expired,monthly,11.99,2023-03-19,2023-03,True
1603,011ZZPY267,CineQuest,paid,monthly,12.0,2023-06-20,2023-06,True
1613,012BZSE813,LimeLight,paid,monthly,20.01,2023-03-10,2023-03,True
1621,012DCNN613,ChillStream,paid,monthly,24.98,2023-03-17,2023-03,True
1628,012EOCL372,CineQuest,paid,annual,60.0,2023-03-31,2023-03,True
1634,012FYQI592,RetroReel,expired,monthly,29.99,2023-03-20,2023-03,True
1638,012GHKT061,RetroReel,paid,monthly,30.02,2023-06-24,2023-06,True
1640,012GOPO394,LimeLight,expired,monthly,19.99,2023-02-24,2023-02,True
1647,012HJBP638,ChillStream,paid,annual,100.0,2023-03-27,2023-03,True
1648,012HJBP638,RetroReel,expired,annual,119.99,2023-04-08,2023-04,True
1668,012MCDK776,LimeLight,expired,monthly,19.99,2023-04-25,2023-04,True
1679,012OKEW335,ChillStream,expired,monthly,25.0,2023-03-13,2023-03,True
1687,012QOKK113,LimeLight,paid,monthly,19.99,2023-03-16,2023-03,True
1695,012QVGZ928,Pulse,expired,monthly,8.01,2023-03-15,2023-03,True
1698,012ROSW222,LimeLight,discounted,monthly,17.68,2023-05-11,2023-05,True
1708,012WZEO776,RetroReel,paid,monthly,30.01,2023-03-08,2023-03,True
1713,012ZKBL003,RetroReel,expired,monthly,30.0,2023-05-29,2023-05,True
1715,012ZXOJ609,CineQuest,expired,monthly,11.99,2023-04-15,2023-04,True
1716,012ZXOJ609,CineQuest,paid,monthly,12.0,2023-06-03,2023-06,True
