,ID,BRAND,RECENCY,REVENUE,FREQUENCY,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,last_6m_REVENUE,LTVCluster,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value
21,006CSAF205,LimeLight,117,60.0,1,1,0,1,2,99.94999999999999,2,0,1,0
22,007HNUM396,LimeLight,127,100.1,1,0,0,2,2,80.0,1,0,1,0
23,008DFCS661,LimeLight,15,100.1,1,2,0,2,4,49.050000000000004,0,0,0,1
24,008LORV934,LimeLight,87,80.01,1,1,0,1,2,100.0,2,0,1,0
25,009YWEP229,LimeLight,96,80.04,1,1,0,1,2,100.0,2,0,1,0
26,010LGPV785,LimeLight,121,40.0,1,0,0,0,0,120.0,2,0,1,0
27,010UXXD311,LimeLight,83,60.0,1,1,0,1,2,119.94,2,0,1,0
28,010XTJU142,LimeLight,96,67.0,1,1,0,1,2,80.02,1,0,1,0
29,011LXVA830,LimeLight,162,19.98,1,0,0,0,0,40.0,0,0,1,0
30,011PNDQ451,LimeLight,166,80.0,1,0,0,1,1,79.99,1,0,1,0
31,012COPQ802,LimeLight,128,39.98,1,0,0,0,0,120.0,2,0,1,0
32,012JTXS726,LimeLight,36,79.97,1,2,0,1,3,99.94999999999999,2,0,0,1
33,012QPKE887,LimeLight,3,120.06,2,2,1,2,5,80.0,1,1,0,0
34,012XNXP920,LimeLight,36,80.01,1,2,0,1,3,80.0,1,0,0,1
35,013MUXZ573,LimeLight,137,80.01,1,0,0,1,1,149.85,2,0,1,0
36,013QOEF984,LimeLight,158,119.88,1,0,0,2,2,100.05000000000001,2,0,1,0
37,013WTOI330,LimeLight,170,80.01,1,0,0,1,1,43.74,0,0,1,0
38,014LWTH723,LimeLight,64,80.04,1,1,0,1,2,100.05000000000001,2,0,1,0
39,014NKXD507,LimeLight,1,96.42,1,2,0,2,4,99.9,2,0,0,1
40,014ZCIU221,LimeLight,72,41.1,1,1,0,0,1,100.0,2,0,1,0
41,015DQGV741,LimeLight,101,59.97,1,1,0,1,2,60.0,1,0,1,0
42,015JHHY812,LimeLight,31,100.05,1,2,0,2,4,54.300000000000004,1,0,0,1
43,016EDKI066,LimeLight,33,35.72,1,2,0,0,2,39.98,0,0,1,0
44,016YHAR018,LimeLight,128,39.98,1,0,0,0,0,80.0,1,0,1,0
45,016YIWI121,LimeLight,169,20.0,1,0,0,0,0,60.03,1,0,1,0
46,017FTCG762,LimeLight,67,59.97,1,1,0,1,2,80.0,1,0,1,0
47,017IYEH485,LimeLight,19,20.0,1,2,0,0,2,80.0,1,0,1,0
48,018ILID103,LimeLight,65,40.71,1,1,0,0,1,79.92,1,0,1,0
49,018TEQB415,LimeLight,26,7.13,1,2,0,0,2,40.02,0,0,1,0
50,018WPHQ081,LimeLight,84,28.29,1,1,0,0,1,79.99,1,0,1,0
51,019MXNP037,LimeLight,178,51.17999999999999,1,0,0,1,1,79.96,1,0,1,0
52,020MTYR398,LimeLight,15,19.99,1,2,0,0,2,100.0,2,0,1,0
53,020VLEL966,LimeLight,80,79.99,1,1,0,1,2,80.0,1,0,1,0
54,021HMTS617,LimeLight,126,79.99,1,0,0,1,1,79.99,1,0,1,0
55,021QHIP232,LimeLight,19,79.96,1,2,0,1,3,19.99,0,0,0,1
56,022KRBF944,LimeLight,94,37.68,1,1,0,0,1,99.94999999999999,2,0,1,0
57,022LCFG185,LimeLight,157,99.18,1,0,0,2,2,20.0,0,0,1,0
58,023JYNY103,LimeLight,141,100.05,1,0,0,2,2,61.36,1,0,1,0
59,023KSTZ127,LimeLight,137,59.75,2,0,1,1,2,139.92999999999998,2,0,1,0
60,023YBKB436,LimeLight,119,64.32,1,0,0,1,1,20.0,0,0,1,0
61,024BTWL734,LimeLight,160,104.52,1,0,0,2,2,60.0,1,0,1,0
62,024JVTH723,LimeLight,67,60.03,1,1,0,1,2,99.94999999999999,2,0,1,0
63,024VVIC434,LimeLight,94,79.99,1,1,0,1,2,60.0,1,0,1,0
64,024XEGX467,LimeLight,50,79.99,1,2,0,1,3,79.99,1,0,0,1
65,025CGZS202,LimeLight,2,80.01,1,2,0,1,3,100.05000000000001,2,0,0,1
66,025RXMR903,LimeLight,30,59.96,1,2,0,1,3,59.97,1,0,0,1
67,025UMCY722,LimeLight,93,80.0,1,1,0,1,2,100.05000000000001,2,0,1,0
68,026DSWO376,LimeLight,23,39.98,1,2,0,0,2,12.8,0,0,1,0
69,026OHPD321,LimeLight,135,100.15,1,0,0,2,2,80.0,1,0,1,0
70,026OJXT664,LimeLight,110,40.0,1,1,0,0,1,37.89,0,0,1,0
71,026RJOR814,LimeLight,65,79.96,1,1,0,1,2,40.02,0,0,1,0
72,026WCBJ610,LimeLight,26,19.99,1,2,0,0,2,40.0,0,0,1,0
73,026YHQQ997,LimeLight,25,80.01,1,2,0,1,3,60.300000000000004,1,0,0,1
74,027GTSJ413,LimeLight,52,34.02,1,2,0,0,2,60.0,1,0,1,0
75,027UYBT302,LimeLight,111,74.16,1,1,0,1,2,119.99,2,0,1,0
76,027XZAS168,LimeLight,13,120.06,1,2,0,2,4,80.0,1,0,0,1
77,028PVHM115,LimeLight,168,120.18,1,0,0,2,2,20.01,0,0,1,0
78,029OQQF991,LimeLight,104,40.32,1,1,0,0,1,60.0,1,0,1,0
79,029PEPP791,LimeLight,96,60.0,1,1,0,1,2,27.82,0,0,1,0
80,029TIYB373,LimeLight,166,120.12,1,0,0,2,2,98.73,2,0,1,0
81,029ZDFO054,LimeLight,159,120.06,1,0,0,2,2,40.0,0,0,1,0
82,030CQBR544,LimeLight,106,120.04,1,1,0,2,3,99.94999999999999,2,0,0,1
83,030HDNY468,LimeLight,117,59.97,1,1,0,1,2,80.0,1,0,1,0
84,030HJKU811,LimeLight,41,99.9,1,2,0,2,4,100.0,2,0,0,1
85,030HTEC414,LimeLight,119,79.99,1,0,0,1,1,80.0,1,0,1,0
86,030WRAI043,LimeLight,96,60.03,1,1,0,1,2,120.0,2,0,1,0
87,031BPCV774,LimeLight,110,60.0,1,1,0,1,2,28.14,0,0,1,0
88,031SBNW862,LimeLight,66,60.03,1,1,0,1,2,79.47,1,0,1,0
89,031YKUM285,LimeLight,89,48.2,1,1,0,1,2,80.0,1,0,1,0
90,031ZGOE516,LimeLight,116,59.94,1,1,0,1,2,120.0,2,0,1,0
91,032GFSZ055,LimeLight,130,40.02,1,0,0,0,0,79.96,1,0,1,0
92,032ORNY757,LimeLight,135,159.99,1,0,0,3,3,80.0,1,0,0,1
93,032WKQF887,LimeLight,28,20.0,1,2,0,0,2,99.94999999999999,2,0,1,0
94,033FJIK272,LimeLight,53,100.0,2,2,1,2,5,85.0,1,1,0,0
95,033GJAZ701,LimeLight,49,100.01,1,2,0,2,4,80.0,1,0,0,1
96,033ILWH318,LimeLight,29,36.76,1,2,0,0,2,119.88,2,0,1,0
97,033ZIDK420,LimeLight,16,11.83,2,2,1,0,3,80.0,1,0,0,1
98,034VPTV564,LimeLight,58,80.01,1,1,0,1,2,79.99,1,0,1,0
99,035GWAR424,LimeLight,144,64.0,1,0,0,1,1,119.94,2,0,1,0
100,035WQYI890,LimeLight,29,20.01,1,2,0,0,2,99.94999999999999,2,0,1,0
101,036ABJI056,LimeLight,82,80.03,1,1,0,1,2,60.0,1,0,1,0
102,036ACEB416,LimeLight,63,60.0,1,1,0,1,2,120.06,2,0,1,0
103,036AQPQ351,LimeLight,10,27.97,1,2,0,0,2,80.0,1,0,1,0
104,036BDMT224,LimeLight,2,79.99,2,2,1,1,4,80.01,1,0,0,1
105,036XCKF063,LimeLight,129,100.05,1,0,0,2,2,66.94999999999999,1,0,1,0
106,039JUPM327,LimeLight,123,100.0,1,0,0,2,2,20.01,0,0,1,0
107,039ZKHB927,LimeLight,32,79.99,1,2,0,1,3,72.95,1,0,0,1
108,040ACCQ364,LimeLight,169,79.99,1,0,0,1,1,79.99,1,0,1,0
109,040EYFR027,LimeLight,37,100.1,1,2,0,2,4,59.94,1,0,0,1
110,041ASLP853,LimeLight,154,120.0,1,0,0,2,2,120.0,2,0,1,0
111,041QIOZ113,LimeLight,158,70.63,1,0,0,1,1,80.03,1,0,1,0
112,041TWQK717,LimeLight,22,120.06,1,2,0,2,4,80.0,1,0,0,1
113,042SUCX892,LimeLight,54,68.17,1,2,0,1,3,80.02,1,0,0,1
114,043UKXP254,LimeLight,18,93.73,2,2,1,2,5,120.06,2,1,0,0
115,044BBDU751,LimeLight,19,140.01999999999998,1,2,0,3,5,99.94999999999999,2,1,0,0
116,044KQCA273,LimeLight,153,69.9,1,0,0,1,1,100.0,2,0,1,0
117,044WWWO052,LimeLight,168,101.64,1,0,0,2,2,120.0,2,0,1,0
118,045BPCS856,LimeLight,93,77.32,2,1,1,1,3,140.07000000000002,2,0,0,1
119,045CYTI920,LimeLight,53,20.0,1,2,0,0,2,90.17,1,0,1,0
120,045GBUM624,LimeLight,117,80.0,2,1,1,1,3,19.98,0,0,0,1
121,045LXQG286,LimeLight,101,80.0,1,1,0,1,2,80.0,1,0,1,0
122,046HFOU772,LimeLight,116,60.0,2,1,1,1,3,120.0,2,0,0,1
123,046IYGL389,LimeLight,87,80.0,1,1,0,1,2,100.05000000000001,2,0,1,0
124,046JXNZ767,LimeLight,24,120.0,1,2,0,2,4,120.0,2,0,0,1
125,046VMGK505,LimeLight,14,10.43,1,2,0,0,2,40.02,0,0,1,0
126,047DFPJ922,LimeLight,53,89.87,2,2,1,2,5,80.0,1,1,0,0
127,047GGUB429,LimeLight,81,53.52,1,1,0,1,2,19.98,0,0,1,0
128,047ISKD661,LimeLight,65,79.98,1,1,0,1,2,80.0,1,0,1,0
129,048ASTQ644,LimeLight,169,20.0,1,0,0,0,0,60.0,1,0,1,0
130,048BBCX771,LimeLight,2,92.11,1,2,0,2,4,100.05000000000001,2,0,0,1
131,048CPJL792,LimeLight,127,40.02,1,0,0,0,0,40.02,0,0,1,0
132,049RRFV183,LimeLight,153,20.02,1,0,0,0,0,39.98,0,0,1,0
133,049YMKW451,LimeLight,37,99.95,1,2,0,2,4,39.98,0,0,0,1
134,051LHWB293,LimeLight,156,19.99,1,0,0,0,0,60.0,1,0,1,0
135,051NCBA522,LimeLight,59,140.06,1,1,0,3,4,79.99,1,0,0,1
136,051VGGR586,LimeLight,132,40.0,1,0,0,0,0,14.54,0,0,1,0
137,051WQNR483,LimeLight,34,40.0,1,2,0,0,2,19.99,0,0,1,0
138,052HXHA348,LimeLight,72,60.0,1,1,0,1,2,79.92,1,0,1,0
139,052IVPD157,LimeLight,151,19.98,1,0,0,0,0,79.99,1,0,1,0
140,052PDTA835,LimeLight,122,79.99,1,0,0,1,1,152.51999999999998,2,0,1,0
141,053RCSY870,LimeLight,64,80.0,1,1,0,1,2,60.0,1,0,1,0
142,054CANY052,LimeLight,56,100.0,1,2,0,2,4,20.0,0,0,0,1
143,055LOGD050,LimeLight,68,80.0,1,1,0,1,2,79.96,1,0,1,0
144,055OXWC889,LimeLight,144,79.99,1,0,0,1,1,79.98,1,0,1,0
145,055RFKB536,LimeLight,154,79.97,1,0,0,1,1,79.99,1,0,1,0
146,055WFBZ071,LimeLight,129,80.0,1,0,0,1,1,80.01,1,0,1,0
147,055WVFT106,LimeLight,59,100.0,2,1,1,2,4,39.98,0,0,0,1
148,056BIHN964,LimeLight,59,100.05,1,1,0,2,3,39.96,0,0,0,1
149,056SYOP206,LimeLight,152,20.0,2,0,1,0,1,60.0,1,0,1,0
150,057CMKM432,LimeLight,87,80.0,1,1,0,1,2,100.0,2,0,1,0
151,057NWUQ691,LimeLight,114,60.0,1,1,0,1,2,40.02,0,0,1,0
152,057TSRG491,LimeLight,116,79.96,1,1,0,1,2,86.3,1,0,1,0
153,058ENRW676,LimeLight,155,97.38,1,0,0,2,2,100.1,2,0,1,0
154,058NEBG127,LimeLight,36,40.02,1,2,0,0,2,80.0,1,0,1,0
155,058TABC557,LimeLight,139,40.02,1,0,0,0,0,59.94,1,0,1,0
156,059BXSD248,LimeLight,63,60.0,1,1,0,1,2,99.9,2,0,1,0
157,059UXDU729,LimeLight,0,93.68,1,2,0,2,4,79.99,1,0,0,1
158,060IHYB266,LimeLight,69,79.96,1,1,0,1,2,100.0,2,0,1,0
159,060TDXW511,LimeLight,137,40.02,1,0,0,0,0,39.98,0,0,1,0
160,061IFIP328,LimeLight,164,19.99,1,0,0,0,0,80.04,1,0,1,0
161,061NMQZ475,LimeLight,31,100.05,1,2,0,2,4,59.94,1,0,0,1
162,061QAEM222,LimeLight,153,119.94,1,0,0,2,2,139.97,2,0,1,0
163,061QSAO335,LimeLight,75,48.36,1,1,0,1,2,100.0,2,0,1,0
164,061QSUI125,LimeLight,153,40.84,1,0,0,0,0,80.01,1,0,1,0
165,061XJAS894,LimeLight,23,120.06,1,2,0,2,4,18.07,0,0,0,1
166,061YKCH776,LimeLight,101,79.96,1,1,0,1,2,79.96,1,0,1,0
167,062DTFN427,LimeLight,89,60.03,1,1,0,1,2,79.96,1,0,1,0
168,062JQRR896,LimeLight,34,80.02,1,2,0,1,3,59.97,1,0,0,1
169,062NSWF973,LimeLight,79,60.0,2,1,1,1,3,19.99,0,0,0,1
170,062TCKT040,LimeLight,133,100.0,1,0,0,2,2,120.01,2,0,1,0
171,063EDMR965,LimeLight,89,60.03,1,1,0,1,2,119.94,2,0,1,0
172,063UYQO703,LimeLight,117,60.0,1,1,0,1,2,20.0,0,0,1,0
173,064BFEY301,LimeLight,57,79.98,1,2,0,1,3,52.62,1,0,0,1
174,064HCTD076,LimeLight,66,67.19,1,1,0,1,2,79.99,1,0,1,0
175,064JYSL660,LimeLight,140,61.35,1,0,0,1,1,40.0,0,0,1,0
176,064PKAX226,LimeLight,34,36.68,1,2,0,0,2,60.06,1,0,1,0
177,064PYQT737,LimeLight,20,120.0,3,2,2,2,6,36.52,0,1,0,0
178,064XMFV963,LimeLight,22,69.35,1,2,0,1,3,80.01,1,0,0,1
179,064ZRSA969,LimeLight,93,60.0,2,1,1,1,3,98.05,2,0,0,1
180,066FUMT195,LimeLight,46,40.04,1,2,0,0,2,20.0,0,0,1,0
181,066PHPQ667,LimeLight,110,47.13,1,1,0,1,2,80.02,1,0,1,0
182,066RGGO121,LimeLight,34,80.01,1,2,0,1,3,80.01,1,0,0,1
183,067BIXG945,LimeLight,176,120.0,1,0,0,2,2,59.97,1,0,1,0
184,067CETE841,LimeLight,25,100.0,1,2,0,2,4,17.53,0,0,0,1
185,067DWNZ971,LimeLight,47,79.96,1,2,0,1,3,80.01,1,0,0,1
186,067MJIL336,LimeLight,98,80.08,1,1,0,1,2,60.0,1,0,1,0
187,067VCQJ631,LimeLight,43,42.6,1,2,0,0,2,80.04,1,0,1,0
188,067WKXH847,LimeLight,10,119.94,1,2,0,2,4,100.0,2,0,0,1
189,067XXVS891,LimeLight,49,60.03,1,2,0,1,3,80.01,1,0,0,1
190,067YEBO717,LimeLight,40,17.74,1,2,0,0,2,20.02,0,0,1,0
191,068HVCM547,LimeLight,46,100.05,1,2,0,2,4,139.86,2,0,0,1
192,068MRPE550,LimeLight,36,14.62,1,2,0,0,2,120.06,2,0,1,0
193,068TUAA349,LimeLight,27,79.99,1,2,0,1,3,79.99,1,0,0,1
194,068XKIA989,LimeLight,175,101.22,1,0,0,2,2,80.0,1,0,1,0
195,069NBSM824,LimeLight,51,80.0,1,2,0,1,3,80.01,1,0,0,1
196,069NNEN248,LimeLight,164,80.01,1,0,0,1,1,79.99,1,0,1,0
197,069SATW731,LimeLight,65,80.01,1,1,0,1,2,42.06,0,0,1,0
198,069VSOT755,LimeLight,117,60.03,1,1,0,1,2,120.0,2,0,1,0
199,070DBPZ089,LimeLight,26,99.9,1,2,0,2,4,20.01,0,0,0,1
200,070JDLT854,LimeLight,4,52.02,1,2,0,1,3,80.0,1,0,0,1
201,070KOKZ248,LimeLight,12,159.99,1,2,0,3,5,139.95999999999998,2,1,0,0
202,070MFKG142,LimeLight,131,18.44,1,0,0,0,0,16.94,0,0,1,0
203,070MZLW797,LimeLight,72,59.97,1,1,0,1,2,80.0,1,0,1,0
204,071DJHU382,LimeLight,110,79.99,1,1,0,1,2,80.01,1,0,1,0
205,071MRWT929,LimeLight,161,120.0,1,0,0,2,2,94.95,2,0,1,0
206,072SQDM188,LimeLight,91,80.0,1,1,0,1,2,80.08,1,0,1,0
207,072UMBH633,LimeLight,56,40.0,1,2,0,0,2,80.01,1,0,1,0
208,073ELEV518,LimeLight,8,19.99,1,2,0,0,2,40.0,0,0,1,0
209,073TCHR848,LimeLight,39,40.0,1,2,0,0,2,40.0,0,0,1,0
210,074EGFX460,LimeLight,63,80.0,1,1,0,1,2,41.4,0,0,1,0
211,075BIMP879,LimeLight,5,119.94,1,2,0,2,4,40.0,0,0,0,1
212,075MRFK851,LimeLight,7,120.0,1,2,0,2,4,40.0,0,0,0,1
213,075SZOZ580,LimeLight,12,119.94,1,2,0,2,4,80.08,1,0,0,1
214,075ZSEG311,LimeLight,110,59.97,1,1,0,1,2,22.02,0,0,1,0
215,076DONM706,LimeLight,120,34.08,1,0,0,0,0,80.04,1,0,1,0
216,076FTKT375,LimeLight,96,79.92,1,1,0,1,2,60.0,1,0,1,0
217,076ZKZV866,LimeLight,145,80.01,1,0,0,1,1,69.28,1,0,1,0
218,077BRUE969,LimeLight,72,80.01,1,1,0,1,2,79.99,1,0,1,0
219,077UKAV871,LimeLight,154,70.98,1,0,0,1,1,100.04,2,0,1,0
220,077XTHS612,LimeLight,112,80.01,1,1,0,1,2,51.52,0,0,1,0
221,079ALKC786,LimeLight,56,39.96,2,2,1,0,3,100.0,2,0,0,1
222,079RCCW602,LimeLight,126,40.02,1,0,0,0,0,59.97,1,0,1,0
223,079WQCB198,LimeLight,149,79.99,1,0,0,1,1,120.06,2,0,1,0
224,079ZNIV884,LimeLight,37,40.06,1,2,0,0,2,39.47,0,0,1,0
225,080BPHT803,LimeLight,97,40.02,1,1,0,0,1,99.94999999999999,2,0,1,0
226,080CENM075,LimeLight,160,43.2,1,0,0,0,0,100.0,2,0,1,0
227,080FFUZ524,LimeLight,58,39.98,1,1,0,0,1,40.0,0,0,1,0
228,080UXYG139,LimeLight,169,37.8,1,0,0,0,0,79.99,1,0,1,0
229,080VYWN230,LimeLight,78,79.99,1,1,0,1,2,40.02,0,0,1,0
230,081HTOJ804,LimeLight,145,79.98,1,0,0,1,1,126.72999999999999,2,0,1,0
231,081NBZY492,LimeLight,7,76.92,1,2,0,1,3,59.97,1,0,0,1
232,081NMON832,LimeLight,87,60.06,1,1,0,1,2,119.88,2,0,1,0
233,082FTEX821,LimeLight,178,119.94,1,0,0,2,2,20.0,0,0,1,0
234,084MLUG409,LimeLight,92,59.97,1,1,0,1,2,40.04,0,0,1,0
235,085BSNC384,LimeLight,26,20.01,1,2,0,0,2,79.96,1,0,1,0
236,085GBDF262,LimeLight,83,42.69,1,1,0,0,1,39.98,0,0,1,0
237,086KWIO822,LimeLight,158,20.0,1,0,0,0,0,80.0,1,0,1,0
238,086LFCF458,LimeLight,51,50.45,1,2,0,1,3,119.94,2,0,0,1
239,086YLAM939,LimeLight,85,18.18,1,1,0,0,1,99.9,2,0,1,0
240,087ETLV544,LimeLight,93,60.03,1,1,0,1,2,59.94,1,0,1,0
241,087HHSW497,LimeLight,95,60.0,2,1,1,1,3,80.01,1,0,0,1
242,087MFEZ921,LimeLight,160,20.0,1,0,0,0,0,139.92999999999998,2,0,1,0
243,087QOSC601,LimeLight,163,120.0,2,0,1,2,3,99.94999999999999,2,0,0,1
244,087TIHQ110,LimeLight,52,60.0,1,2,0,1,3,19.99,0,0,0,1
245,088ASWA760,LimeLight,5,119.99,1,2,0,2,4,60.03,1,0,0,1
246,088LZJM424,LimeLight,6,80.0,1,2,0,1,3,79.99,1,0,0,1
247,088QSSV002,LimeLight,94,80.08,1,1,0,1,2,19.98,0,0,1,0
248,088ZUMF566,LimeLight,158,55.56,1,0,0,1,1,79.96,1,0,1,0
249,089BVKD526,LimeLight,163,120.0,1,0,0,2,2,19.99,0,0,1,0
250,089HXPV302,LimeLight,20,79.99,1,2,0,1,3,80.01,1,0,0,1
251,089OPCT565,LimeLight,140,80.01,1,0,0,1,1,14.59,0,0,1,0
252,089RYDL028,LimeLight,29,80.01,1,2,0,1,3,99.94999999999999,2,0,0,1
253,090CSWQ612,LimeLight,64,54.3,1,1,0,1,2,40.0,0,0,1,0
254,090JQSO572,LimeLight,155,80.0,1,0,0,1,1,80.01,1,0,1,0
255,092HDBB817,LimeLight,165,20.01,2,0,1,0,1,20.0,0,0,1,0
256,092MUZC743,LimeLight,5,19.78,1,2,0,0,2,19.99,0,0,1,0
257,092WOYD488,LimeLight,22,60.0,1,2,0,1,3,100.03,2,0,0,1
258,093GMQV247,LimeLight,28,80.02,1,2,0,1,3,79.99,1,0,0,1
259,093GUCX776,LimeLight,23,54.64,1,2,0,1,3,80.01,1,0,0,1
260,093PBKD154,LimeLight,92,59.97,1,1,0,1,2,42.76,0,0,1,0
261,093ZHRR152,LimeLight,6,60.0,1,2,0,1,3,80.0,1,0,0,1
262,094EQQO822,LimeLight,176,79.99,1,0,0,1,1,80.0,1,0,1,0
263,094YNDM587,LimeLight,88,79.97999999999999,1,1,0,1,2,47.88,0,0,1,0
264,094ZMWK445,LimeLight,173,49.62,1,0,0,1,1,80.01,1,0,1,0
265,095FFFA715,LimeLight,74,59.91,2,1,1,1,3,100.0,2,0,0,1
266,095IWYT791,LimeLight,126,32.400000000000006,1,0,0,0,0,0.0,0,0,1,0
267,096GRJB837,LimeLight,120,59.76,1,0,0,1,1,39.98,0,0,1,0
268,096NHND350,LimeLight,61,79.96,1,1,0,1,2,40.0,0,0,1,0
269,096WAMT246,LimeLight,9,6.03,1,2,0,0,2,59.97,1,0,1,0
270,096ZXHR201,LimeLight,94,80.0,1,1,0,1,2,20.0,0,0,1,0
271,097KLOB305,LimeLight,21,20.0,1,2,0,0,2,59.94,1,0,1,0
272,097LOQA707,LimeLight,158,120.12,1,0,0,2,2,99.85,2,0,1,0
273,098FHMF040,LimeLight,82,80.0,1,1,0,1,2,78.6,1,0,1,0
274,099AYTN700,LimeLight,3,20.0,1,2,0,0,2,119.94,2,0,1,0
275,099BEFJ334,LimeLight,83,80.04,1,1,0,1,2,80.04,1,0,1,0
276,099MJFD222,LimeLight,56,106.87,1,2,0,2,4,119.99,2,0,0,1
277,099OXAC097,LimeLight,26,120.0,1,2,0,2,4,120.0,2,0,0,1
278,099YEFF175,LimeLight,48,40.67,1,2,0,0,2,79.99,1,0,1,0
279,099YVEL268,LimeLight,123,40.0,1,0,0,0,0,20.01,0,0,1,0
280,099ZFJT921,LimeLight,176,80.0,1,0,0,1,1,80.01,1,0,1,0
281,100LBDS538,LimeLight,20,120.06,1,2,0,2,4,60.03,1,0,0,1
282,101FUFL323,LimeLight,153,20.01,1,0,0,0,0,15.99,0,0,1,0
283,101GLMO880,LimeLight,166,79.99,1,0,0,1,1,80.0,1,0,1,0
284,101MXMV432,LimeLight,115,45.72,1,1,0,1,2,60.0,1,0,1,0
285,101WUDZ922,LimeLight,52,40.02,1,2,0,0,2,40.0,0,0,1,0
286,102CHTR461,LimeLight,124,40.0,1,0,0,0,0,100.0,2,0,1,0
287,102OKHG442,LimeLight,68,31.44,1,1,0,0,1,80.04,1,0,1,0
288,102QKYE587,LimeLight,92,59.97,1,1,0,1,2,120.0,2,0,1,0
289,103HLSB561,LimeLight,169,76.66,1,0,0,1,1,79.99,1,0,1,0
290,103SEFR642,LimeLight,168,20.01,1,0,0,0,0,59.97,1,0,1,0
291,103VTQI958,LimeLight,123,100.0,1,0,0,2,2,79.96,1,0,1,0
292,104CUBY119,LimeLight,79,150.23000000000002,1,1,0,3,4,80.0,1,0,0,1
293,104HRFY999,LimeLight,15,80.01,1,2,0,1,3,132.5,2,0,0,1
294,104NJVL009,LimeLight,46,100.05,1,2,0,2,4,120.0,2,0,0,1
295,104YMCC654,LimeLight,75,79.96,1,1,0,1,2,40.0,0,0,1,0
296,105DHJZ552,LimeLight,92,60.0,1,1,0,1,2,119.88,2,0,1,0
297,105NYLG604,LimeLight,92,36.56,1,1,0,0,1,119.88,2,0,1,0
298,105QVZJ733,LimeLight,32,30.18,1,2,0,0,2,80.0,1,0,1,0
299,105XNFV532,LimeLight,79,79.98,2,1,1,1,3,133.71,2,0,0,1
300,105YTGV502,LimeLight,67,80.0,3,1,2,1,4,62.44,1,0,0,1
301,106AFLM697,LimeLight,42,100.0,1,2,0,2,4,60.0,1,0,0,1
302,106ALTR366,LimeLight,93,59.97,1,1,0,1,2,100.05000000000001,2,0,1,0
303,106UZYK940,LimeLight,166,79.99,1,0,0,1,1,80.01,1,0,1,0
304,106WUFS899,LimeLight,152,114.96,2,0,1,2,3,99.94999999999999,2,0,0,1
305,107BSKT458,LimeLight,72,80.0,1,1,0,1,2,80.01,1,0,1,0
306,107GDTW691,LimeLight,72,120.03,1,1,0,2,3,79.47,1,0,0,1
307,108AHIL695,LimeLight,43,80.01,1,2,0,1,3,120.00999999999999,2,0,0,1
308,108LJGD928,LimeLight,87,60.03,1,1,0,1,2,19.99,0,0,1,0
309,108OWMA332,LimeLight,94,60.0,1,1,0,1,2,79.92,1,0,1,0
310,108UMRK609,LimeLight,83,80.0,1,1,0,1,2,19.99,0,0,1,0
311,109CSFT424,LimeLight,37,39.98,1,2,0,0,2,32.98,0,0,1,0
312,110EMER433,LimeLight,105,79.96,1,1,0,1,2,39.98,0,0,1,0
313,110HRSX027,LimeLight,35,100.05,1,2,0,2,4,80.34,1,0,0,1
314,110NUVF780,LimeLight,80,80.0,1,1,0,1,2,41.6,0,0,1,0
315,110SWLB308,LimeLight,73,80.0,1,1,0,1,2,37.48,0,0,1,0
