,ID,BRAND,SUB_STATUS,TERM,AMOUNT,PARTITION_DATE,YEAR_MONTH,VALID_TRANSITION
293,002KBTX257,ChillStream,paid,monthly,25.02,2023-08-08,2023-08,True
296,002KDWJ981,ChillStream,paid,monthly,25.02,2023-02-05,2023-02,True
299,002KGKA332,CineQuest,paid,monthly,12.02,2023-05-23,2023-05,True
300,002KGKA332,CineQuest,expired,monthly,11.99,2023-07-29,2023-07,True
301,002KGKA332,CineQuest,paid,monthly,11.99,2023-08-11,2023-08,True
302,002KGKA332,CineQuest,expired,monthly,12.0,2023-12-31,2023-12,True
304,002KIAG292,Pulse,expired,monthly,8.0,2023-02-17,2023-02,True
305,002KIAG292,Pulse,discounted,monthly,4.17,2023-04-25,2023-04,True
306,002KPEI614,LimeLight,paid,monthly,20.0,2023-12-27,2023-12,True
307,002MCDO278,LimeLight,paid,monthly,19.99,2023-03-23,2023-03,True
313,002NKQR179,LimeLight,expired,monthly,19.99,2023-07-25,2023-07,True
314,002NKQR179,LimeLight,discounted,annual,41.16,2023-10-07,2023-10,True
320,002NLTJ592,Pulse,paid,monthly,8.0,2023-01-27,2023-01,True
321,002NLTJ592,Pulse,expired,monthly,8.0,2023-02-03,2023-02,True
322,002NLTJ592,Pulse,paid,monthly,8.0,2023-05-18,2023-05,True
324,002NWGK515,Pulse,expired,monthly,8.0,2023-01-06,2023-01,True
327,002NYZB724,Pulse,paid,annual,50.0,2023-09-23,2023-09,True
330,002OADV079,ChillStream,expired,monthly,24.99,2023-11-07,2023-11,True
333,002ODJA245,Pulse,paid,annual,50.0,2023-01-07,2023-01,True
336,002OFHC379,CineQuest,paid,monthly,12.01,2023-01-23,2023-01,True
339,002OFHC379,Pulse,discounted,monthly,4.43,2023-01-18,2023-01,True
340,002OFHC379,Pulse,paid,monthly,8.0,2023-02-19,2023-02,True
341,002OHHT519,Pulse,paid,monthly,8.01,2023-06-19,2023-06,True
342,002OHHT519,Pulse,expired,monthly,8.01,2023-08-06,2023-08,True
343,002OHHT519,Pulse,paid,monthly,8.02,2023-12-28,2023-12,True
346,002PPXS156,LimeLight,expired,monthly,20.0,2023-09-15,2023-09,True
349,002QROR117,LimeLight,paid,annual,79.97,2023-11-25,2023-11,True
350,002QTOP811,LimeLight,paid,monthly,20.0,2023-10-11,2023-10,True
356,002RIEU470,CineQuest,paid,monthly,12.01,2023-08-10,2023-08,True
358,002RKAR661,ChillStream,expired,monthly,25.01,2023-02-06,2023-02,True
359,002RKAR661,ChillStream,paid,monthly,24.99,2023-06-22,2023-06,True
360,002RKAR661,ChillStream,expired,monthly,25.0,2023-09-08,2023-09,True
366,002RWXN391,CineQuest,paid,monthly,12.01,2023-05-28,2023-05,True
367,002RWXN391,CineQuest,expired,monthly,12.0,2023-10-02,2023-10,True
370,002SOIZ089,LimeLight,expired,annual,79.99,2023-07-30,2023-07,True
374,002UQOE027,RetroReel,expired,monthly,30.01,2023-12-19,2023-12,True
377,002UYEH047,Pulse,paid,monthly,8.0,2023-10-15,2023-10,True
380,002VKQJ659,Pulse,paid,monthly,7.99,2023-08-19,2023-08,True
384,002VXNA655,Pulse,paid,monthly,8.01,2023-06-22,2023-06,True
386,002WGSA012,CineQuest,expired,monthly,12.0,2023-11-03,2023-11,True
389,002WKIG010,Pulse,paid,monthly,8.0,2023-06-11,2023-06,True
393,002ZPKN335,Pulse,paid,monthly,8.0,2023-02-12,2023-02,True
394,002ZPKN335,Pulse,expired,monthly,7.99,2023-04-15,2023-04,True
395,002ZPKN335,Pulse,paid,annual,50.0,2023-10-02,2023-10,True
400,003AFDK971,CineQuest,expired,monthly,12.0,2023-03-01,2023-03,True
401,003AFDK971,CineQuest,paid,monthly,11.98,2023-05-16,2023-05,True
405,003AUQO335,Pulse,expired,annual,50.0,2023-03-20,2023-03,True
408,003FHPQ342,CineQuest,expired,annual,60.02,2023-07-25,2023-07,True
411,003FIZU237,CineQuest,paid,monthly,12.0,2023-03-06,2023-03,True
418,003FXVZ713,Pulse,expired,monthly,8.0,2023-11-12,2023-11,True
421,003GPNN238,LimeLight,paid,annual,79.99,2023-03-30,2023-03,True
424,003HHJL570,Pulse,paid,annual,49.97,2023-08-08,2023-08,True
429,003HLEM814,CineQuest,trial,monthly,6.1,2023-09-08,2023-09,True
430,003HLEM814,CineQuest,paid,monthly,12.01,2023-10-08,2023-10,True
432,003HOFE542,RetroReel,expired,monthly,30.0,2023-05-13,2023-05,True
433,003HOFE542,RetroReel,paid,monthly,30.01,2023-10-26,2023-10,True
438,003IMVF953,RetroReel,paid,monthly,29.99,2023-01-02,2023-01,True
439,003IPDP078,RetroReel,paid,monthly,30.0,2023-04-27,2023-04,True
441,003ISHD993,ChillStream,paid,monthly,25.0,2023-11-26,2023-11,True
443,003JAJC959,LimeLight,expired,monthly,19.98,2023-06-09,2023-06,True
444,003JAJC959,LimeLight,paid,monthly,20.01,2023-09-16,2023-09,True
446,003JOSE263,CineQuest,paid,monthly,12.0,2023-01-22,2023-01,True
456,003NBZB582,Pulse,discounted,monthly,4.81,2023-04-27,2023-04,True
459,003OLXB119,Pulse,expired,monthly,8.0,2023-06-29,2023-06,True
460,003OLXB119,Pulse,trial,monthly,7.07,2023-09-19,2023-09,True
471,003SUPC452,RetroReel,paid,monthly,29.98,2023-09-18,2023-09,True
472,003TCEP184,CineQuest,paid,monthly,12.01,2023-03-25,2023-03,True
473,003TCEP184,CineQuest,expired,monthly,12.0,2023-11-14,2023-11,True
476,003TEQR186,CineQuest,expired,monthly,12.0,2023-05-07,2023-05,True
477,003TEQR186,LimeLight,expired,monthly,20.0,2023-07-23,2023-07,True
478,003TEQR186,LimeLight,discounted,annual,29.12,2023-09-08,2023-09,True
482,003VDDJ532,ChillStream,paid,monthly,25.0,2023-03-09,2023-03,True
483,003WHEB120,CineQuest,paid,monthly,12.01,2023-01-05,2023-01,True
484,003WHEB120,CineQuest,expired,monthly,12.02,2023-11-19,2023-11,True
486,003WNAG684,ChillStream,expired,annual,100.0,2023-07-08,2023-07,True
488,003WSHV251,ChillStream,paid,annual,100.02,2023-04-24,2023-04,True
490,003XKHS955,LimeLight,paid,monthly,20.01,2023-02-09,2023-02,True
491,003XKHS955,RetroReel,expired,monthly,30.01,2023-03-27,2023-03,True
494,003XTUL243,CineQuest,paid,monthly,11.99,2023-03-09,2023-03,True
495,003XTUL243,CineQuest,expired,monthly,11.99,2023-05-15,2023-05,True
496,003XTUL243,CineQuest,paid,monthly,12.01,2023-07-21,2023-07,True
498,003YXVZ587,RetroReel,expired,monthly,30.01,2023-03-11,2023-03,True
499,003YXVZ587,RetroReel,paid,monthly,30.01,2023-04-24,2023-04,True
503,003YZJM392,LimeLight,discounted,monthly,18.04,2023-07-11,2023-07,True
506,003ZHRQ771,LimeLight,discounted,monthly,11.47,2023-07-30,2023-07,True
507,003ZHRQ771,LimeLight,paid,monthly,19.99,2023-08-30,2023-08,True
508,003ZHRQ771,LimeLight,expired,monthly,19.99,2023-10-30,2023-10,True
509,003ZHRQ771,LimeLight,paid,monthly,20.0,2023-11-20,2023-11,True
510,003ZUGW210,RetroReel,paid,monthly,30.0,2023-11-22,2023-11,True
512,003ZZGJ163,ChillStream,expired,monthly,24.98,2023-03-11,2023-03,True
513,003ZZGJ163,ChillStream,discounted,monthly,22.74,2023-06-17,2023-06,True
517,004AKNN688,ChillStream,expired,monthly,24.99,2023-05-27,2023-05,True
518,004AKNN688,ChillStream,trial,monthly,7.98,2023-07-19,2023-07,True
521,004AMJN950,LimeLight,paid,monthly,20.01,2023-07-09,2023-07,True
525,004AXNW235,CineQuest,expired,annual,60.0,2023-10-18,2023-10,True
526,004AXNW235,CineQuest,paid,annual,60.0,2023-12-14,2023-12,True
528,004BELU613,ChillStream,paid,monthly,25.01,2023-11-11,2023-11,True
532,004DCYD190,RetroReel,paid,annual,119.99,2023-10-16,2023-10,True
537,004EFKZ926,Pulse,paid,annual,50.0,2023-01-30,2023-01,True
541,004ERWY396,CineQuest,discounted,monthly,11.5,2023-02-22,2023-02,True
542,004ERWY396,CineQuest,expired,monthly,11.99,2023-04-01,2023-04,True
543,004ERWY396,CineQuest,discounted,monthly,8.42,2023-05-14,2023-05,True
544,004ERWY396,CineQuest,paid,monthly,12.0,2023-09-14,2023-09,True
548,004GBPK269,CineQuest,paid,monthly,11.99,2023-01-18,2023-01,True
551,004GNHV340,ChillStream,expired,annual,100.0,2023-07-27,2023-07,True
553,004JATO962,RetroReel,paid,annual,119.99,2023-05-20,2023-05,True
555,004JKTR944,RetroReel,expired,monthly,30.01,2023-03-17,2023-03,True
556,004JKTR944,RetroReel,trial,monthly,25.16,2023-04-24,2023-04,True
559,004JNYB810,Pulse,expired,annual,49.99,2023-03-30,2023-03,True
561,004JQHL248,RetroReel,paid,annual,119.98,2023-03-12,2023-03,True
570,004KXZQ857,RetroReel,expired,monthly,30.01,2023-08-20,2023-08,True
574,004LDOW280,Pulse,expired,monthly,8.0,2023-04-17,2023-04,True
575,004LDOW280,Pulse,discounted,monthly,4.7,2023-11-07,2023-11,True
582,004NNGI157,RetroReel,paid,monthly,29.99,2023-03-27,2023-03,True
583,004NNGI157,RetroReel,expired,monthly,30.01,2023-08-02,2023-08,True
585,004PAMY118,LimeLight,expired,monthly,20.01,2023-02-24,2023-02,True
586,004PAMY118,LimeLight,paid,annual,80.01,2023-09-24,2023-09,True
587,004PMLD524,LimeLight,paid,monthly,19.99,2023-06-05,2023-06,True
589,004PNMJ902,CineQuest,paid,monthly,12.01,2023-06-14,2023-06,True
592,004PNMJ902,Pulse,paid,monthly,8.0,2023-01-03,2023-01,True
596,004POHC309,LimeLight,paid,monthly,20.0,2023-10-28,2023-10,True
600,004QIOK665,RetroReel,paid,monthly,30.0,2023-06-24,2023-06,True
602,004QKDC600,RetroReel,paid,monthly,30.01,2023-11-03,2023-11,True
604,004QPCZ325,Pulse,paid,monthly,8.02,2023-08-22,2023-08,True
606,004QZPU504,RetroReel,paid,annual,120.0,2023-11-19,2023-11,True
608,004RNEC476,ChillStream,discounted,monthly,22.74,2023-01-19,2023-01,True
609,004RNEC476,ChillStream,paid,monthly,24.98,2023-02-03,2023-02,True
610,004RNEC476,ChillStream,expired,monthly,24.99,2023-10-01,2023-10,True
611,004RNEC476,ChillStream,paid,monthly,25.01,2023-11-14,2023-11,True
613,004RPPT922,ChillStream,paid,annual,100.0,2023-01-29,2023-01,True
616,004SFGA279,LimeLight,expired,annual,79.99,2023-05-19,2023-05,True
617,004SFGA279,LimeLight,paid,monthly,19.99,2023-06-28,2023-06,True
618,004SZWZ820,LimeLight,expired,monthly,20.01,2023-04-05,2023-04,True
621,004SZWZ820,Pulse,expired,monthly,7.99,2023-03-23,2023-03,True
622,004SZWZ820,Pulse,paid,monthly,8.0,2023-10-10,2023-10,True
625,004UOHX798,LimeLight,paid,annual,80.01,2023-07-27,2023-07,True
628,004VACU875,ChillStream,paid,monthly,25.01,2023-06-30,2023-06,True
629,004VACU875,ChillStream,expired,monthly,25.01,2023-09-13,2023-09,True
632,004VACU875,Pulse,discounted,monthly,4.23,2023-03-23,2023-03,True
633,004VACU875,Pulse,paid,monthly,8.01,2023-05-29,2023-05,True
637,004WBSE248,ChillStream,expired,monthly,25.01,2023-03-30,2023-03,True
642,004WBSE248,CineQuest,expired,monthly,12.01,2023-10-05,2023-10,True
644,004WBSE248,Pulse,expired,monthly,8.0,2023-07-06,2023-07,True
645,004WBSE248,Pulse,paid,monthly,8.01,2023-08-07,2023-08,True
649,004WDNE622,Pulse,paid,monthly,8.0,2023-05-03,2023-05,True
650,004WDNE622,Pulse,expired,monthly,8.0,2023-12-09,2023-12,True
655,004WPRH738,ChillStream,paid,monthly,24.99,2023-09-11,2023-09,True
658,004WSAQ537,ChillStream,paid,monthly,25.0,2023-04-13,2023-04,True
659,004WSAQ537,ChillStream,expired,monthly,25.01,2023-07-23,2023-07,True
662,004XMMN681,LimeLight,paid,monthly,19.99,2023-02-27,2023-02,True
670,004XVQK228,CineQuest,expired,monthly,11.99,2023-12-11,2023-12,True
672,004ZETP103,RetroReel,trial,monthly,23.74,2023-02-19,2023-02,True
673,004ZETP103,RetroReel,paid,monthly,30.0,2023-03-17,2023-03,True
679,004ZVVX124,CineQuest,paid,monthly,11.99,2023-03-27,2023-03,True
684,004ZXAB891,CineQuest,paid,monthly,12.01,2023-08-31,2023-08,True
685,004ZXAB891,CineQuest,expired,monthly,12.01,2023-12-17,2023-12,True
689,005AJTJ963,CineQuest,expired,monthly,12.0,2023-03-11,2023-03,True
690,005AJTJ963,CineQuest,paid,annual,60.01,2023-04-03,2023-04,True
691,005AJTJ963,CineQuest,expired,annual,59.99,2023-12-14,2023-12,True
692,005AJTJ963,Pulse,expired,annual,50.02,2023-04-12,2023-04,True
695,005APHH960,CineQuest,expired,monthly,11.99,2023-10-29,2023-10,True
697,005APHH960,Pulse,expired,annual,50.0,2023-12-07,2023-12,True
703,005BCIQ004,LimeLight,paid,monthly,20.0,2023-03-02,2023-03,True
706,005CBWF649,Pulse,trial,annual,20.06,2023-04-16,2023-04,True
707,005CBWF649,Pulse,paid,annual,50.0,2023-06-10,2023-06,True
709,005CKJF445,LimeLight,expired,monthly,20.0,2023-04-19,2023-04,True
710,005CKJF445,LimeLight,paid,monthly,20.0,2023-05-05,2023-05,True
716,005CRSD874,CineQuest,paid,annual,60.01,2023-01-09,2023-01,True
717,005CRSD874,CineQuest,expired,annual,60.0,2023-06-17,2023-06,True
718,005CRSD874,CineQuest,paid,annual,60.0,2023-10-29,2023-10,True
719,005CRSD874,CineQuest,expired,annual,60.01,2023-11-10,2023-11,True
720,005CRSD874,LimeLight,expired,monthly,19.99,2023-01-03,2023-01,True
721,005CRSD874,Pulse,discounted,annual,22.27,2023-02-10,2023-02,True
722,005CRSD874,Pulse,paid,annual,50.01,2023-04-02,2023-04,True
727,005CVMO725,LimeLight,paid,annual,79.99,2023-06-21,2023-06,True
729,005CVMO725,RetroReel,paid,monthly,30.01,2023-01-06,2023-01,True
731,005DEST751,ChillStream,paid,annual,100.02,2023-09-22,2023-09,True
733,005DEST751,CineQuest,expired,annual,60.0,2023-05-08,2023-05,True
736,005EBJD636,Pulse,expired,annual,50.01,2023-09-20,2023-09,True
737,005EBJD636,Pulse,discounted,monthly,4.73,2023-12-19,2023-12,True
740,005EDVN799,RetroReel,paid,monthly,29.99,2023-02-03,2023-02,True
746,005IKHP676,CineQuest,expired,monthly,12.0,2023-04-10,2023-04,True
747,005IKHP676,CineQuest,paid,monthly,12.0,2023-12-01,2023-12,True
750,005IKHP676,LimeLight,discounted,monthly,10.64,2023-10-09,2023-10,True
752,005ITHJ033,LimeLight,expired,monthly,20.0,2023-06-14,2023-06,True
753,005ITHJ033,LimeLight,paid,monthly,19.99,2023-12-23,2023-12,True
755,005IWIX098,RetroReel,paid,monthly,30.01,2023-07-22,2023-07,True
757,005IZSJ697,LimeLight,expired,monthly,19.99,2023-08-16,2023-08,True
758,005IZSJ697,LimeLight,paid,monthly,19.99,2023-09-30,2023-09,True
761,005KLHD033,ChillStream,paid,monthly,25.0,2023-09-07,2023-09,True
762,005KLHD033,LimeLight,expired,annual,79.98,2023-04-29,2023-04,True
764,005KMLV801,RetroReel,expired,annual,120.01,2023-10-14,2023-10,True
767,005LMLD320,LimeLight,paid,monthly,19.99,2023-02-09,2023-02,True
770,005MQWT219,LimeLight,paid,monthly,20.01,2023-06-23,2023-06,True
771,005MQWT219,LimeLight,expired,monthly,20.01,2023-11-07,2023-11,True
778,005MVVN443,Pulse,expired,monthly,8.0,2023-02-25,2023-02,True
779,005MVVN443,Pulse,paid,monthly,8.0,2023-08-03,2023-08,True
780,005MVVN443,Pulse,expired,monthly,8.0,2023-10-25,2023-10,True
782,005NNEI219,CineQuest,paid,monthly,12.0,2023-07-04,2023-07,True
786,005NTLW643,CineQuest,paid,monthly,11.98,2023-06-15,2023-06,True
787,005NTLW643,CineQuest,expired,monthly,12.0,2023-10-01,2023-10,True
790,005OXQY492,Pulse,discounted,monthly,5.17,2023-09-27,2023-09,True
791,005OXQY492,Pulse,paid,monthly,8.0,2023-12-22,2023-12,True
797,005PUYF561,LimeLight,paid,monthly,20.01,2023-02-25,2023-02,True
801,005PXUP242,LimeLight,paid,monthly,19.99,2023-11-05,2023-11,True
806,005PXZW655,Pulse,paid,monthly,8.0,2023-02-25,2023-02,True
811,005QIBK768,Pulse,trial,monthly,4.71,2023-01-17,2023-01,True
812,005QIBK768,Pulse,paid,monthly,8.0,2023-05-10,2023-05,True
813,005QIBK768,Pulse,expired,monthly,7.99,2023-11-12,2023-11,True
815,005QWTZ542,LimeLight,paid,monthly,19.99,2023-07-17,2023-07,True
819,005RCWZ068,LimeLight,paid,monthly,20.01,2023-04-28,2023-04,True
822,005RVSJ622,RetroReel,expired,monthly,30.0,2023-05-06,2023-05,True
824,005TBNY053,Pulse,trial,annual,32.86,2023-08-28,2023-08,True
825,005TBNY053,Pulse,paid,annual,49.99,2023-12-14,2023-12,True
827,005TCXI940,CineQuest,expired,monthly,11.99,2023-11-01,2023-11,True
828,005TLRF516,ChillStream,paid,monthly,24.99,2023-09-04,2023-09,True
831,005TLRF516,Pulse,paid,monthly,8.0,2023-06-10,2023-06,True
837,005UXRN097,ChillStream,expired,monthly,25.01,2023-01-11,2023-01,True
838,005UXRN097,ChillStream,paid,monthly,25.01,2023-05-15,2023-05,True
841,005UYEU370,CineQuest,expired,monthly,12.0,2023-08-14,2023-08,True
845,005VGAL262,CineQuest,expired,monthly,12.01,2023-02-23,2023-02,True
846,005VGAL262,CineQuest,paid,monthly,12.0,2023-09-12,2023-09,True
